; Candidate 16536
; ADRP+ADD at VM 0xfffffff009ed5904 (fileoff 0x2ed1904): page=0x1fd971000 add_imm=0xd95

0xfffffff009ed5884: 05a8fe97  bl	#0xfffffff009e7f898
0xfffffff009ed5888: 75fdff17  b	#0xfffffff009ed4e5c
0xfffffff009ed588c: 19d38352  mov	w25, #0x1e98
0xfffffff009ed5890: 7f6a3938  strb	wzr, [x19, x25]
0xfffffff009ed5894: e8c30291  add	x8, sp, #0xb0
0xfffffff009ed5898: 68560ff9  str	x8, [x19, #0x1ea8]
0xfffffff009ed589c: bf0319f8  stur	xzr, [x29, #-0x70]
0xfffffff009ed58a0: f84b40f9  ldr	x24, [sp, #0x90]
0xfffffff009ed58a4: a3c301d1  sub	x3, x29, #0x70
0xfffffff009ed58a8: e00313aa  mov	x0, x19
0xfffffff009ed58ac: e10315aa  mov	x1, x21
0xfffffff009ed58b0: e20318aa  mov	x2, x24
0xfffffff009ed58b4: e40317aa  mov	x4, x23
0xfffffff009ed58b8: 245eff97  bl	#0xfffffff009ead148
0xfffffff009ed58bc: f40300aa  mov	x20, x0
0xfffffff009ed58c0: 7f6a3938  strb	wzr, [x19, x25]
0xfffffff009ed58c4: e1c30291  add	x1, sp, #0xb0
0xfffffff009ed58c8: e00313aa  mov	x0, x19
0xfffffff009ed58cc: e653ff97  bl	#0xfffffff009eaa864
0xfffffff009ed58d0: 7f560ff9  str	xzr, [x19, #0x1ea8]
0xfffffff009ed58d4: e00313aa  mov	x0, x19
0xfffffff009ed58d8: e10318aa  mov	x1, x24
0xfffffff009ed58dc: 020080d2  mov	x2, #0
0xfffffff009ed58e0: 9c880094  bl	#0xfffffff009ef7b50
0xfffffff009ed58e4: 40bcff34  cbz	w0, #0xfffffff009ed506c
0xfffffff009ed58e8: 083e8452  mov	w8, #0x21f0
0xfffffff009ed58ec: 6802088b  add	x8, x19, x8
0xfffffff009ed58f0: 89f98552  mov	w9, #0x2fcc
0xfffffff009ed58f4: 8acbfeb0  adrp	x10, #0xfffffff007846000
0xfffffff009ed58f8: 4a2d3691  add	x10, x10, #0xd8b
0xfffffff009ed58fc: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ed5900: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff009ed5904: 80cbfeb0  adrp	x0, #0xfffffff007846000
0xfffffff009ed5908: 00543691  add	x0, x0, #0xd95
0xfffffff009ed590c: a4feff17  b	#0xfffffff009ed539c
0xfffffff009ed5910: a82e4079  ldrh	w8, [x21, #0x16]
0xfffffff009ed5914: 1fc10071  cmp	w8, #0x30
0xfffffff009ed5918: e1040054  b.ne	#0xfffffff009ed59b4
0xfffffff009ed591c: 14008052  mov	w20, #0
0xfffffff009ed5920: a82a4079  ldrh	w8, [x21, #0x14]
0xfffffff009ed5924: a802088b  add	x8, x21, x8
0xfffffff009ed5928: 081940f9  ldr	x8, [x8, #0x30]
0xfffffff009ed592c: e84f00f9  str	x8, [sp, #0x98]
0xfffffff009ed5930: 38008052  mov	w24, #1
0xfffffff009ed5934: 37feff17  b	#0xfffffff009ed5210
0xfffffff009ed5938: f72340f9  ldr	x23, [sp, #0x40]
0xfffffff009ed593c: 773a0ff9  str	x23, [x19, #0x1e70]
0xfffffff009ed5940: e00313aa  mov	x0, x19
0xfffffff009ed5944: 8e2c0094  bl	#0xfffffff009ee0b7c
0xfffffff009ed5948: b8820291  add	x24, x21, #0xa0
0xfffffff009ed594c: e00318aa  mov	x0, x24
0xfffffff009ed5950: 18607b97  bl	#0xfffffff007dad9b0
0xfffffff009ed5954: f62740f9  ldr	x22, [sp, #0x48]
0xfffffff009ed5958: f9c30291  add	x25, sp, #0xb0
0xfffffff009ed595c: e3c30291  add	x3, sp, #0xb0
0xfffffff009ed5960: e5430291  add	x5, sp, #0x90
0xfffffff009ed5964: e00313aa  mov	x0, x19
0xfffffff009ed5968: e10315aa  mov	x1, x21
0xfffffff009ed596c: e20316aa  mov	x2, x22
0xfffffff009ed5970: 44008052  mov	w4, #2
0xfffffff009ed5974: ef50ff97  bl	#0xfffffff009ea9d30
0xfffffff009ed5978: a0060034  cbz	w0, #0xfffffff009ed5a4c
0xfffffff009ed597c: f40300aa  mov	x20, x0
0xfffffff009ed5980: 083e8452  mov	w8, #0x21f0
