; Candidate 14765
; ADRP+ADD at VM 0xfffffff009908fb4 (fileoff 0x2904fb4): page=0xa8d000 add_imm=0xdd0

0xfffffff009908f34: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009908f38: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff009908f3c: ff0f5fd6  retab	
0xfffffff009908f40: 5f2403d5  bti	c
0xfffffff009908f44: ec6da717  b	#0xfffffff0082e46f4
0xfffffff009908f48: 5f2403d5  bti	c
0xfffffff009908f4c: ea6da717  b	#0xfffffff0082e46f4
0xfffffff009908f50: 5f2403d5  bti	c
0xfffffff009908f54: e86da717  b	#0xfffffff0082e46f4
0xfffffff009908f58: 5f2403d5  bti	c
0xfffffff009908f5c: e66da717  b	#0xfffffff0082e46f4
0xfffffff009908f60: 7f2303d5  pacibsp	
0xfffffff009908f64: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009908f68: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009908f6c: fd430091  add	x29, sp, #0x10
0xfffffff009908f70: 735400b0  adrp	x19, #0xfffffff00a395000
0xfffffff009908f74: 73a23691  add	x19, x19, #0xda8
0xfffffff009908f78: a1e6fed0  adrp	x1, #0xfffffff0075de000
0xfffffff009908f7c: 21a81a91  add	x1, x1, #0x6aa
0xfffffff009908f80: 541bffb0  adrp	x20, #0xfffffff007c71000
0xfffffff009908f84: 944a42f9  ldr	x20, [x20, #0x490]
0xfffffff009908f88: e00313aa  mov	x0, x19
0xfffffff009908f8c: e20314aa  mov	x2, x20
0xfffffff009908f90: 03048052  mov	w3, #0x20
0xfffffff009908f94: e96aa797  bl	#0xfffffff0082e3b38
0xfffffff009908f98: 701bffd0  adrp	x16, #0xfffffff007c76000
0xfffffff009908f9c: 10e22e91  add	x16, x16, #0xbb8
0xfffffff009908fa0: 10420091  add	x16, x16, #0x10
0xfffffff009908fa4: f10313aa  mov	x17, x19
0xfffffff009908fa8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009908fac: 300ac1da  pacda	x16, x17
0xfffffff009908fb0: 700200f9  str	x16, [x19]
0xfffffff009908fb4: 605400b0  adrp	x0, #0xfffffff00a395000
0xfffffff009908fb8: 00403791  add	x0, x0, #0xdd0
0xfffffff009908fbc: a1e6fed0  adrp	x1, #0xfffffff0075de000
0xfffffff009908fc0: 21881b91  add	x1, x1, #0x6e2
0xfffffff009908fc4: e20313aa  mov	x2, x19
0xfffffff009908fc8: 03058052  mov	w3, #0x28
0xfffffff009908fcc: db6aa797  bl	#0xfffffff0082e3b38
0xfffffff009908fd0: 701bffd0  adrp	x16, #0xfffffff007c76000
0xfffffff009908fd4: 10a23391  add	x16, x16, #0xce8
0xfffffff009908fd8: 10420091  add	x16, x16, #0x10
0xfffffff009908fdc: f10300aa  mov	x17, x0
0xfffffff009908fe0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009908fe4: 300ac1da  pacda	x16, x17
0xfffffff009908fe8: 100000f9  str	x16, [x0]
0xfffffff009908fec: 605400b0  adrp	x0, #0xfffffff00a395000
0xfffffff009908ff0: 00e03791  add	x0, x0, #0xdf8
0xfffffff009908ff4: a1e6fed0  adrp	x1, #0xfffffff0075de000
0xfffffff009908ff8: 21541c91  add	x1, x1, #0x715
0xfffffff009908ffc: e20314aa  mov	x2, x20
0xfffffff009909000: 03058052  mov	w3, #0x28
0xfffffff009909004: cd6aa797  bl	#0xfffffff0082e3b38
0xfffffff009909008: 701bffb0  adrp	x16, #0xfffffff007c76000
0xfffffff00990900c: 10423891  add	x16, x16, #0xe10
0xfffffff009909010: 10420091  add	x16, x16, #0x10
0xfffffff009909014: f10300aa  mov	x17, x0
0xfffffff009909018: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00990901c: 300ac1da  pacda	x16, x17
0xfffffff009909020: 100000f9  str	x16, [x0]
0xfffffff009909024: 60540090  adrp	x0, #0xfffffff00a395000
0xfffffff009909028: 00803891  add	x0, x0, #0xe20
0xfffffff00990902c: a1e6feb0  adrp	x1, #0xfffffff0075de000
0xfffffff009909030: 21001d91  add	x1, x1, #0x740
