; Candidate 4888
; ADRP+ADD at VM 0xfffffff0087cba84 (fileoff 0x17c7a84): page=0x1fea1e000 add_imm=0xe80

0xfffffff0087cba04: a00f8052  mov	w0, #0x7d
0xfffffff0087cba08: 84bf0294  bl	#0xfffffff00887b818
0xfffffff0087cba0c: f40300aa  mov	x20, x0
0xfffffff0087cba10: e7a10394  bl	#0xfffffff0088b41ac
0xfffffff0087cba14: f50300aa  mov	x21, x0
0xfffffff0087cba18: e0008052  mov	w0, #7
0xfffffff0087cba1c: 8dbf0294  bl	#0xfffffff00887b850
0xfffffff0087cba20: b4010034  cbz	w20, #0xfffffff0087cba54
0xfffffff0087cba24: 683f51f9  ldr	x8, [x27, #0x2278]
0xfffffff0087cba28: 691b40b9  ldr	w9, [x27, #0x18]
0xfffffff0087cba2c: 0ac740b9  ldr	w10, [x24, #0xc4]
0xfffffff0087cba30: 081140b9  ldr	w8, [x8, #0x10]
0xfffffff0087cba34: ea2302a9  stp	x10, x8, [sp, #0x20]
0xfffffff0087cba38: e02701a9  stp	x0, x9, [sp, #0x10]
0xfffffff0087cba3c: a80f8052  mov	w8, #0x7d
0xfffffff0087cba40: f52300a9  stp	x21, x8, [sp]
0xfffffff0087cba44: 2052ff90  adrp	x0, #0xfffffff00720f000
0xfffffff0087cba48: 00d03591  add	x0, x0, #0xd74
0xfffffff0087cba4c: 85aed797  bl	#0xfffffff007db7460
0xfffffff0087cba50: 15000014  b	#0xfffffff0087cbaa4
0xfffffff0087cba54: d6a10394  bl	#0xfffffff0088b41ac
0xfffffff0087cba58: f40300aa  mov	x20, x0
0xfffffff0087cba5c: e0008052  mov	w0, #7
0xfffffff0087cba60: 7cbf0294  bl	#0xfffffff00887b850
0xfffffff0087cba64: 683f51f9  ldr	x8, [x27, #0x2278]
0xfffffff0087cba68: 691b40b9  ldr	w9, [x27, #0x18]
0xfffffff0087cba6c: 0ac740b9  ldr	w10, [x24, #0xc4]
0xfffffff0087cba70: 081140b9  ldr	w8, [x8, #0x10]
0xfffffff0087cba74: ea2302a9  stp	x10, x8, [sp, #0x20]
0xfffffff0087cba78: e02701a9  stp	x0, x9, [sp, #0x10]
0xfffffff0087cba7c: a80f8052  mov	w8, #0x7d
0xfffffff0087cba80: f42300a9  stp	x20, x8, [sp]
0xfffffff0087cba84: e050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cba88: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cba8c: e191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cba90: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cba94: 6353ffd0  adrp	x3, #0xfffffff007239000
0xfffffff0087cba98: 63a40c91  add	x3, x3, #0x329
0xfffffff0087cba9c: 02008052  mov	w2, #0
0xfffffff0087cbaa0: a49ded97  bl	#0xfffffff008333130
0xfffffff0087cbaa4: a90358b8  ldur	w9, [x29, #-0x80]
0xfffffff0087cbaa8: 683f51f9  ldr	x8, [x27, #0x2278]
0xfffffff0087cbaac: 09a10079  strh	w9, [x8, #0x50]
0xfffffff0087cbab0: a9c357b8  ldur	w9, [x29, #-0x84]
0xfffffff0087cbab4: 09a90079  strh	w9, [x8, #0x54]
0xfffffff0087cbab8: 1fa50079  strh	wzr, [x8, #0x52]
0xfffffff0087cbabc: 1f6105b8  stur	wzr, [x8, #0x56]
0xfffffff0087cbac0: 49eb4039  ldrb	w9, [x26, #0x3a]
0xfffffff0087cbac4: 09690139  strb	w9, [x8, #0x5a]
0xfffffff0087cbac8: 49e74039  ldrb	w9, [x26, #0x39]
0xfffffff0087cbacc: 096d0139  strb	w9, [x8, #0x5b]
0xfffffff0087cbad0: 195d00b9  str	w25, [x8, #0x5c]
0xfffffff0087cbad4: 29008052  mov	w9, #1
0xfffffff0087cbad8: 09810139  strb	w9, [x8, #0x60]
0xfffffff0087cbadc: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0087cbae0: 000f2afd  str	d0, [x24, #0x5418]
0xfffffff0087cbae4: 1f1500b9  str	wzr, [x8, #0x14]
0xfffffff0087cbae8: aa735838  ldurb	w10, [x29, #-0x79]
0xfffffff0087cbaec: aa020034  cbz	w10, #0xfffffff0087cbb40
0xfffffff0087cbaf0: 16008052  mov	w22, #0
0xfffffff0087cbaf4: 491300b9  str	w9, [x26, #0x10]
0xfffffff0087cbaf8: 1f333d39  strb	wzr, [x24, #0xf4c]
0xfffffff0087cbafc: 49008052  mov	w9, #2
0xfffffff0087cbb00: 092100b9  str	w9, [x8, #0x20]
