; Candidate 6136
; ADRP+ADD at VM 0xfffffff008816c18 (fileoff 0x1812c18): page=0x1fe9d3000 add_imm=0xe80

0xfffffff008816b98: 085d2b91  add	x8, x8, #0xad7
0xfffffff008816b9c: c9ea8052  mov	w9, #0x756
0xfffffff008816ba0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008816ba4: 4850ff90  adrp	x8, #0xfffffff00721e000
0xfffffff008816ba8: 089d2491  add	x8, x8, #0x927
0xfffffff008816bac: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008816bb0: 880e8052  mov	w8, #0x74
0xfffffff008816bb4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008816bb8: f60300f9  str	x22, [sp]
0xfffffff008816bbc: 804efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008816bc0: 00003a91  add	x0, x0, #0xe80
0xfffffff008816bc4: 818fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008816bc8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008816bcc: 8351ffd0  adrp	x3, #0xfffffff007248000
0xfffffff008816bd0: 63602291  add	x3, x3, #0x898
0xfffffff008816bd4: 02008052  mov	w2, #0
0xfffffff008816bd8: 5671ec97  bl	#0xfffffff008333130
0xfffffff008816bdc: 2e000014  b	#0xfffffff008816c94
0xfffffff008816be0: 73750294  bl	#0xfffffff0088b41ac
0xfffffff008816be4: fa0300aa  mov	x26, x0
0xfffffff008816be8: 80008052  mov	w0, #4
0xfffffff008816bec: 19930194  bl	#0xfffffff00887b850
0xfffffff008816bf0: c84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff008816bf4: 08b92791  add	x8, x8, #0x9ee
0xfffffff008816bf8: e9eb8052  mov	w9, #0x75f
0xfffffff008816bfc: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008816c00: 4850ff90  adrp	x8, #0xfffffff00721e000
0xfffffff008816c04: 089d2491  add	x8, x8, #0x927
0xfffffff008816c08: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008816c0c: 880e8052  mov	w8, #0x74
0xfffffff008816c10: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008816c14: fa0300f9  str	x26, [sp]
0xfffffff008816c18: 804efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008816c1c: 00003a91  add	x0, x0, #0xe80
0xfffffff008816c20: 818fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008816c24: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008816c28: 8351ffd0  adrp	x3, #0xfffffff007248000
0xfffffff008816c2c: 635c2491  add	x3, x3, #0x917
0xfffffff008816c30: 02008052  mov	w2, #0
0xfffffff008816c34: 3f71ec97  bl	#0xfffffff008333130
0xfffffff008816c38: bcfeff17  b	#0xfffffff008816728
0xfffffff008816c3c: 5c750294  bl	#0xfffffff0088b41ac
0xfffffff008816c40: f60300aa  mov	x22, x0
0xfffffff008816c44: 80008052  mov	w0, #4
0xfffffff008816c48: 02930194  bl	#0xfffffff00887b850
0xfffffff008816c4c: 4850ff90  adrp	x8, #0xfffffff00721e000
0xfffffff008816c50: 08dd2c91  add	x8, x8, #0xb37
0xfffffff008816c54: 49eb8052  mov	w9, #0x75a
0xfffffff008816c58: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008816c5c: 4850ff90  adrp	x8, #0xfffffff00721e000
0xfffffff008816c60: 089d2491  add	x8, x8, #0x927
0xfffffff008816c64: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008816c68: 880e8052  mov	w8, #0x74
0xfffffff008816c6c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008816c70: f60300f9  str	x22, [sp]
0xfffffff008816c74: 804efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008816c78: 00003a91  add	x0, x0, #0xe80
0xfffffff008816c7c: 818fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008816c80: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008816c84: 8351ffd0  adrp	x3, #0xfffffff007248000
0xfffffff008816c88: 63642391  add	x3, x3, #0x8d9
0xfffffff008816c8c: 02008052  mov	w2, #0
0xfffffff008816c90: 2871ec97  bl	#0xfffffff008333130
0xfffffff008816c94: 487d8012  mov	w8, #-0x3eb
