; Candidate 4303
; ADRP+ADD at VM 0xfffffff00879dde0 (fileoff 0x1799de0): page=0x1fe994000 add_imm=0xd90

0xfffffff00879dd60: 700240f9  ldr	x16, [x19]
0xfffffff00879dd64: b01ac1da  autda	x16, x21
0xfffffff00879dd68: 080e47f8  ldr	x8, [x16, #0x70]!
0xfffffff00879dd6c: e90310aa  mov	x9, x16
0xfffffff00879dd70: e2c30391  add	x2, sp, #0xf0
0xfffffff00879dd74: e00313aa  mov	x0, x19
0xfffffff00879dd78: e10316aa  mov	x1, x22
0xfffffff00879dd7c: 03008052  mov	w3, #0
0xfffffff00879dd80: f10309aa  mov	x17, x9
0xfffffff00879dd84: 71fae8f2  movk	x17, #0x47d3, lsl #48
0xfffffff00879dd88: 11093fd7  blraa	x8, x17
0xfffffff00879dd8c: 20090034  cbz	w0, #0xfffffff00879deb0
0xfffffff00879dd90: 7f3a21b9  str	wzr, [x19, #0x2138]
0xfffffff00879dd94: 763e21b9  str	w22, [x19, #0x213c]
0xfffffff00879dd98: e87b40f9  ldr	x8, [sp, #0xf0]
0xfffffff00879dd9c: 09210091  add	x9, x8, #8
0xfffffff00879dda0: 69a210f9  str	x9, [x19, #0x2140]
0xfffffff00879dda4: 280a00b4  cbz	x8, #0xfffffff00879dee8
0xfffffff00879dda8: 1ffd1429  stp	wzr, wzr, [x8, #0xa4]
0xfffffff00879ddac: 5b000014  b	#0xfffffff00879df18
0xfffffff00879ddb0: 7f9210f9  str	xzr, [x19, #0x2120]
0xfffffff00879ddb4: a04cff90  adrp	x0, #0xfffffff007131000
0xfffffff00879ddb8: 00403691  add	x0, x0, #0xd90
0xfffffff00879ddbc: 0193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00879ddc0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879ddc4: 634dff90  adrp	x3, #0xfffffff007149000
0xfffffff00879ddc8: 63503491  add	x3, x3, #0xd14
0xfffffff00879ddcc: 02008052  mov	w2, #0
0xfffffff00879ddd0: d854ee97  bl	#0xfffffff008333130
0xfffffff00879ddd4: 08008052  mov	w8, #0
0xfffffff00879ddd8: 0b000014  b	#0xfffffff00879de04
0xfffffff00879dddc: 7f9a10f9  str	xzr, [x19, #0x2130]
0xfffffff00879dde0: a04cff90  adrp	x0, #0xfffffff007131000
0xfffffff00879dde4: 00403691  add	x0, x0, #0xd90
0xfffffff00879dde8: 0193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00879ddec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879ddf0: 634dff90  adrp	x3, #0xfffffff007149000
0xfffffff00879ddf4: 63b03391  add	x3, x3, #0xcec
0xfffffff00879ddf8: 02008052  mov	w2, #0
0xfffffff00879ddfc: cd54ee97  bl	#0xfffffff008333130
0xfffffff00879de00: 08008052  mov	w8, #0
0xfffffff00879de04: 34268052  mov	w20, #0x131
0xfffffff00879de08: 89034039  ldrb	w9, [x28]
0xfffffff00879de0c: 69010034  cbz	w9, #0xfffffff00879de38
0xfffffff00879de10: a8000034  cbz	w8, #0xfffffff00879de24
0xfffffff00879de14: 605a46f9  ldr	x0, [x19, #0xcb0]
0xfffffff00879de18: 600000b4  cbz	x0, #0xfffffff00879de24
0xfffffff00879de1c: 616261b9  ldr	w1, [x19, #0x2160]
0xfffffff00879de20: edecff97  bl	#0xfffffff0087991d4
0xfffffff00879de24: 9f070039  strb	wzr, [x28, #1]
0xfffffff00879de28: 9f6a0671  cmp	w20, #0x19a
0xfffffff00879de2c: 28268052  mov	w8, #0x131
0xfffffff00879de30: 8002881a  csel	w0, w20, w8, eq
0xfffffff00879de34: 11000014  b	#0xfffffff00879de78
0xfffffff00879de38: e80319aa  mov	x8, x25
0xfffffff00879de3c: e85300a9  stp	x8, x20, [sp]
0xfffffff00879de40: a04cff90  adrp	x0, #0xfffffff007131000
0xfffffff00879de44: 00403691  add	x0, x0, #0xd90
0xfffffff00879de48: 0193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00879de4c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879de50: 634dffb0  adrp	x3, #0xfffffff00714a000
0xfffffff00879de54: 63801791  add	x3, x3, #0x5e0
0xfffffff00879de58: 02008052  mov	w2, #0
0xfffffff00879de5c: b554ee97  bl	#0xfffffff008333130
