; Candidate 2793
; ADRP+ADD at VM 0xfffffff0086e81dc (fileoff 0x16e41dc): page=0x1fea49000 add_imm=0xd90

0xfffffff0086e815c: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086e8160: 3f01146a  tst	w9, w20
0xfffffff0086e8164: 00020054  b.eq	#0xfffffff0086e81a4
0xfffffff0086e8168: f52300a9  stp	x21, x8, [sp]
0xfffffff0086e816c: 4052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e8170: 00403691  add	x0, x0, #0xd90
0xfffffff0086e8174: a198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e8178: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e817c: 4352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e8180: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e8184: 02008052  mov	w2, #0
0xfffffff0086e8188: ea2bf197  bl	#0xfffffff008333130
0xfffffff0086e818c: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086e8190: 05000014  b	#0xfffffff0086e81a4
0xfffffff0086e8194: 17008052  mov	w23, #0
0xfffffff0086e8198: 16028052  mov	w22, #0x10
0xfffffff0086e819c: e8030aaa  mov	x8, x10
0xfffffff0086e81a0: f50309aa  mov	x21, x9
0xfffffff0086e81a4: e903164b  neg	w9, w22
0xfffffff0086e81a8: a926c91a  lsr	w9, w21, w9
0xfffffff0086e81ac: 3701172a  orr	w23, w9, w23
0xfffffff0086e81b0: a922d61a  lsl	w9, w21, w22
0xfffffff0086e81b4: 0801164b  sub	w8, w8, w22
0xfffffff0086e81b8: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086e81bc: 6ace5eb9  ldr	w10, [x19, #0x1ecc]
0xfffffff0086e81c0: 5f01146a  tst	w10, w20
0xfffffff0086e81c4: e0010054  b.eq	#0xfffffff0086e8200
0xfffffff0086e81c8: f72301a9  stp	x23, x8, [sp, #0x10]
0xfffffff0086e81cc: 4853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086e81d0: 08b90e91  add	x8, x8, #0x3ae
0xfffffff0086e81d4: 09028052  mov	w9, #0x10
0xfffffff0086e81d8: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e81dc: 4052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e81e0: 00403691  add	x0, x0, #0xd90
0xfffffff0086e81e4: a198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e81e8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e81ec: 4352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e81f0: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e81f4: 02008052  mov	w2, #0
0xfffffff0086e81f8: ce2bf197  bl	#0xfffffff008333130
0xfffffff0086e81fc: 69224529  ldp	w9, w8, [x19, #0x28]
0xfffffff0086e8200: ea060011  add	w10, w23, #1
0xfffffff0086e8204: 6b2a40f9  ldr	x11, [x19, #0x50]
0xfffffff0086e8208: 6a4d00b9  str	w10, [x11, #0x4c]
0xfffffff0086e820c: 1f3d0071  cmp	w8, #0xf
0xfffffff0086e8210: a8040054  b.hi	#0xfffffff0086e82a4
0xfffffff0086e8214: 0a008052  mov	w10, #0
0xfffffff0086e8218: 15008052  mov	w21, #0
0xfffffff0086e821c: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e8220: 8b008052  mov	w11, #4
0xfffffff0086e8224: 6d3241a9  ldp	x13, x12, [x19, #0x10]
0xfffffff0086e8228: b55e1853  lsl	w21, w21, #8
0xfffffff0086e822c: bf010ceb  cmp	x13, x12
0xfffffff0086e8230: 02010054  b.hs	#0xfffffff0086e8250
0xfffffff0086e8234: 4a210011  add	w10, w10, #8
0xfffffff0086e8238: 6a2e00b9  str	w10, [x19, #0x2c]
0xfffffff0086e823c: ae050091  add	x14, x13, #1
0xfffffff0086e8240: 6e0a00f9  str	x14, [x19, #0x10]
0xfffffff0086e8244: ad014039  ldrb	w13, [x13]
0xfffffff0086e8248: b5020d2a  orr	w21, w21, w13
0xfffffff0086e824c: ed030eaa  mov	x13, x14
0xfffffff0086e8250: 6b050071  subs	w11, w11, #1
0xfffffff0086e8254: a1feff54  b.ne	#0xfffffff0086e8228
0xfffffff0086e8258: 0b028052  mov	w11, #0x10
