; Candidate 976
; ADRP+ADD at VM 0xfffffff00814a2fc (fileoff 0x11462fc): page=0x1fef34000 add_imm=0xd99

0xfffffff00814a27c: e8079f1a  cset	w8, ne
0xfffffff00814a280: 8802080a  and	w8, w20, w8
0xfffffff00814a284: 1f050071  cmp	w8, #1
0xfffffff00814a288: 81000054  b.ne	#0xfffffff00814a298
0xfffffff00814a28c: e0031aaa  mov	x0, x26
0xfffffff00814a290: e1031baa  mov	x1, x27
0xfffffff00814a294: 4dadf897  bl	#0xfffffff007f757c8
0xfffffff00814a298: e00319aa  mov	x0, x25
0xfffffff00814a29c: a81c0094  bl	#0xfffffff00815153c
0xfffffff00814a2a0: fc0000b4  cbz	x28, #0xfffffff00814a2bc
0xfffffff00814a2a4: e0031caa  mov	x0, x28
0xfffffff00814a2a8: e10f40b9  ldr	w1, [sp, #0xc]
0xfffffff00814a2ac: 1a71f997  bl	#0xfffffff007fa6714
0xfffffff00814a2b0: e0031caa  mov	x0, x28
0xfffffff00814a2b4: 01008052  mov	w1, #0
0xfffffff00814a2b8: 5c56f997  bl	#0xfffffff007f9fc28
0xfffffff00814a2bc: 60c1fff0  adrp	x0, #0xfffffff007979000
0xfffffff00814a2c0: 00c02191  add	x0, x0, #0x870
0xfffffff00814a2c4: e10316aa  mov	x1, x22
0xfffffff00814a2c8: 51fef297  bl	#0xfffffff007e09c0c
0xfffffff00814a2cc: f60318aa  mov	x22, x24
0xfffffff00814a2d0: b8f2ffb5  cbnz	x24, #0xfffffff00814a124
0xfffffff00814a2d4: 10000014  b	#0xfffffff00814a314
0xfffffff00814a2d8: e00319aa  mov	x0, x25
0xfffffff00814a2dc: e10317aa  mov	x1, x23
0xfffffff00814a2e0: 02008052  mov	w2, #0
0xfffffff00814a2e4: 0586f197  bl	#0xfffffff007dabaf8
0xfffffff00814a2e8: a1ffff17  b	#0xfffffff00814a16c
0xfffffff00814a2ec: e00319aa  mov	x0, x25
0xfffffff00814a2f0: e10317aa  mov	x1, x23
0xfffffff00814a2f4: 1c89f197  bl	#0xfffffff007dac764
0xfffffff00814a2f8: e0ffff17  b	#0xfffffff00814a278
0xfffffff00814a2fc: a079ff90  adrp	x0, #0xfffffff00707e000
0xfffffff00814a300: 00643691  add	x0, x0, #0xd99
0xfffffff00814a304: a179ff90  adrp	x1, #0xfffffff00707e000
0xfffffff00814a308: 21942d91  add	x1, x1, #0xb65
0xfffffff00814a30c: a21f8052  mov	w2, #0xfd
0xfffffff00814a310: 41550d94  bl	#0xfffffff00849f814
0xfffffff00814a314: e80340f9  ldr	x8, [sp]
0xfffffff00814a318: 150140f9  ldr	x21, [x8]
0xfffffff00814a31c: f51000b4  cbz	x21, #0xfffffff00814a538
0xfffffff00814a320: 96d038d5  mrs	x22, tpidr_el1
0xfffffff00814a324: e90340f9  ldr	x9, [sp]
0xfffffff00814a328: 280140f9  ldr	x8, [x9]
0xfffffff00814a32c: 1f0115eb  cmp	x8, x21
0xfffffff00814a330: a0000054  b.eq	#0xfffffff00814a344
0xfffffff00814a334: e90308aa  mov	x9, x8
0xfffffff00814a338: 080140f9  ldr	x8, [x8]
0xfffffff00814a33c: 1f0115eb  cmp	x8, x21
0xfffffff00814a340: a1ffff54  b.ne	#0xfffffff00814a334
0xfffffff00814a344: b70240f9  ldr	x23, [x21]
0xfffffff00814a348: 370100f9  str	x23, [x9]
0xfffffff00814a34c: b80a40f9  ldr	x24, [x21, #0x10]
0xfffffff00814a350: 981200b4  cbz	x24, #0xfffffff00814a5a0
0xfffffff00814a354: 080080d2  mov	x8, #0
0xfffffff00814a358: b90640f9  ldr	x25, [x21, #8]
0xfffffff00814a35c: c91a44b9  ldr	w9, [x22, #0x418]
0xfffffff00814a360: 0a230091  add	x10, x24, #8
0xfffffff00814a364: 497de8c8  casa	x8, x9, [x10]
0xfffffff00814a368: 1f0100f1  cmp	x8, #0
0xfffffff00814a36c: 610b0054  b.ne	#0xfffffff00814a4d8
0xfffffff00814a370: 3a1740f9  ldr	x26, [x25, #0x28]
0xfffffff00814a374: 13c340b9  ldr	w19, [x24, #0xc0]
0xfffffff00814a378: b3006836  tbz	w19, #0xd, #0xfffffff00814a38c
