; Candidate 15876
; ADRP+ADD at VM 0xfffffff009db4f5c (fileoff 0x2db0f5c): page=0x608000 add_imm=0xe30

0xfffffff009db4edc: 0a000014  b	#0xfffffff009db4f04
0xfffffff009db4ee0: 6a0e0094  bl	#0xfffffff009db8888
0xfffffff009db4ee4: c0010034  cbz	w0, #0xfffffff009db4f1c
0xfffffff009db4ee8: f30300aa  mov	x19, x0
0xfffffff009db4eec: f30300f9  str	x19, [sp]
0xfffffff009db4ef0: e0c6feb0  adrp	x0, #0xfffffff007691000
0xfffffff009db4ef4: 00580d91  add	x0, x0, #0x356
0xfffffff009db4ef8: 4a889697  bl	#0xfffffff008357020
0xfffffff009db4efc: 800240f9  ldr	x0, [x20]
0xfffffff009db4f00: 0fde7f97  bl	#0xfffffff007dac73c
0xfffffff009db4f04: e00313aa  mov	x0, x19
0xfffffff009db4f08: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009db4f0c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009db4f10: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009db4f14: ff030191  add	sp, sp, #0x40
0xfffffff009db4f18: ff0f5fd6  retab	
0xfffffff009db4f1c: 40048052  mov	w0, #0x22
0xfffffff009db4f20: 71919197  bl	#0xfffffff0082194e4
0xfffffff009db4f24: 200100b4  cbz	x0, #0xfffffff009db4f48
0xfffffff009db4f28: 3d020094  bl	#0xfffffff009db581c
0xfffffff009db4f2c: f30300aa  mov	x19, x0
0xfffffff009db4f30: 60010034  cbz	w0, #0xfffffff009db4f5c
0xfffffff009db4f34: f30300f9  str	x19, [sp]
0xfffffff009db4f38: e0c6feb0  adrp	x0, #0xfffffff007691000
0xfffffff009db4f3c: 000c0f91  add	x0, x0, #0x3c3
0xfffffff009db4f40: 38889697  bl	#0xfffffff008357020
0xfffffff009db4f44: eeffff17  b	#0xfffffff009db4efc
0xfffffff009db4f48: e0c6feb0  adrp	x0, #0xfffffff007691000
0xfffffff009db4f4c: 00280e91  add	x0, x0, #0x38a
0xfffffff009db4f50: 34889697  bl	#0xfffffff008357020
0xfffffff009db4f54: b3008052  mov	w19, #5
0xfffffff009db4f58: e9ffff17  b	#0xfffffff009db4efc
0xfffffff009db4f5c: 40300090  adrp	x0, #0xfffffff00a3bc000
0xfffffff009db4f60: 00c03891  add	x0, x0, #0xe30
0xfffffff009db4f64: 7e999097  bl	#0xfffffff0081db55c
0xfffffff009db4f68: bf8a0eb9  str	wzr, [x21, #0xe88]
0xfffffff009db4f6c: e4ffff17  b	#0xfffffff009db4efc
0xfffffff009db4f70: 7f2303d5  pacibsp	
0xfffffff009db4f74: ffc300d1  sub	sp, sp, #0x30
0xfffffff009db4f78: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009db4f7c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009db4f80: fd830091  add	x29, sp, #0x20
0xfffffff009db4f84: f30300aa  mov	x19, x0
0xfffffff009db4f88: 48300090  adrp	x8, #0xfffffff00a3bc000
0xfffffff009db4f8c: 08413a91  add	x8, x8, #0xe90
0xfffffff009db4f90: ff0700f9  str	xzr, [sp, #8]
0xfffffff009db4f94: 50fbfe90  adrp	x16, #0xfffffff007d1c000
0xfffffff009db4f98: 10d243f9  ldr	x16, [x16, #0x7a0]
0xfffffff009db4f9c: 510f86d2  mov	x17, #0x307a
0xfffffff009db4fa0: 3002c1da  pacia	x16, x17
0xfffffff009db4fa4: 100100f9  str	x16, [x8]
0xfffffff009db4fa8: 50fbfe90  adrp	x16, #0xfffffff007d1c000
0xfffffff009db4fac: 10d643f9  ldr	x16, [x16, #0x7a8]
0xfffffff009db4fb0: d19f9cd2  mov	x17, #0xe4fe
0xfffffff009db4fb4: 3002c1da  pacia	x16, x17
0xfffffff009db4fb8: 100500f9  str	x16, [x8, #8]
0xfffffff009db4fbc: 100000b0  adrp	x16, #0xfffffff009db5000
0xfffffff009db4fc0: 10820791  add	x16, x16, #0x1e0
0xfffffff009db4fc4: d12587d2  mov	x17, #0x392e
0xfffffff009db4fc8: 3002c1da  pacia	x16, x17
0xfffffff009db4fcc: 100900f9  str	x16, [x8, #0x10]
0xfffffff009db4fd0: 50fbfe90  adrp	x16, #0xfffffff007d1c000
0xfffffff009db4fd4: 10da43f9  ldr	x16, [x16, #0x7b0]
0xfffffff009db4fd8: b19597d2  mov	x17, #0xbcad
