; Candidate 11471
; ADRP+ADD at VM 0xfffffff008f5812c (fileoff 0x1f5412c): page=0x1fe4c7000 add_imm=0xd07

0xfffffff008f580ac: 01108052  mov	w1, #0x80
0xfffffff008f580b0: a5dc2a94  bl	#0xfffffff009a0f344
0xfffffff008f580b4: f40300aa  mov	x20, x0
0xfffffff008f580b8: 760e40f9  ldr	x22, [x19, #0x18]
0xfffffff008f580bc: 700240f9  ldr	x16, [x19]
0xfffffff008f580c0: f10313aa  mov	x17, x19
0xfffffff008f580c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f580c8: 301ac1da  autda	x16, x17
0xfffffff008f580cc: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f580d0: e90310aa  mov	x9, x16
0xfffffff008f580d4: e00313aa  mov	x0, x19
0xfffffff008f580d8: f10309aa  mov	x17, x9
0xfffffff008f580dc: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f580e0: 11093fd7  blraa	x8, x17
0xfffffff008f580e4: 1d32ce97  bl	#0xfffffff0082e4958
0xfffffff008f580e8: d60100b4  cbz	x22, #0xfffffff008f58120
0xfffffff008f580ec: f7d700a9  stp	x23, x21, [sp, #8]
0xfffffff008f580f0: e00300f9  str	x0, [sp]
0xfffffff008f580f4: 2226fff0  adrp	x2, #0xfffffff00741f000
0xfffffff008f580f8: 421c3491  add	x2, x2, #0xd07
0xfffffff008f580fc: e00316aa  mov	x0, x22
0xfffffff008f58100: 41008052  mov	w1, #2
0xfffffff008f58104: 50b14094  bl	#0xfffffff009f84644
0xfffffff008f58108: 0c000014  b	#0xfffffff008f58138
0xfffffff008f5810c: f7a300a9  stp	x23, x8, [sp, #8]
0xfffffff008f58110: e00300f9  str	x0, [sp]
0xfffffff008f58114: 2026fff0  adrp	x0, #0xfffffff00741f000
0xfffffff008f58118: 007c3391  add	x0, x0, #0xcdf
0xfffffff008f5811c: d5ffff17  b	#0xfffffff008f58070
0xfffffff008f58120: e80315aa  mov	x8, x21
0xfffffff008f58124: f7a300a9  stp	x23, x8, [sp, #8]
0xfffffff008f58128: e00300f9  str	x0, [sp]
0xfffffff008f5812c: 2026fff0  adrp	x0, #0xfffffff00741f000
0xfffffff008f58130: 001c3491  add	x0, x0, #0xd07
0xfffffff008f58134: bbfbcf97  bl	#0xfffffff008357020
0xfffffff008f58138: 760e40f9  ldr	x22, [x19, #0x18]
0xfffffff008f5813c: 700240f9  ldr	x16, [x19]
0xfffffff008f58140: f10313aa  mov	x17, x19
0xfffffff008f58144: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f58148: 301ac1da  autda	x16, x17
0xfffffff008f5814c: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f58150: e90310aa  mov	x9, x16
0xfffffff008f58154: e00313aa  mov	x0, x19
0xfffffff008f58158: f10309aa  mov	x17, x9
0xfffffff008f5815c: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f58160: 11093fd7  blraa	x8, x17
0xfffffff008f58164: fd31ce97  bl	#0xfffffff0082e4958
0xfffffff008f58168: 360100b4  cbz	x22, #0xfffffff008f5818c
0xfffffff008f5816c: f7d300a9  stp	x23, x20, [sp, #8]
0xfffffff008f58170: e00300f9  str	x0, [sp]
0xfffffff008f58174: 2226fff0  adrp	x2, #0xfffffff00741f000
0xfffffff008f58178: 42983491  add	x2, x2, #0xd26
0xfffffff008f5817c: e00316aa  mov	x0, x22
0xfffffff008f58180: 41008052  mov	w1, #2
0xfffffff008f58184: 30b14094  bl	#0xfffffff009f84644
0xfffffff008f58188: 07000014  b	#0xfffffff008f581a4
0xfffffff008f5818c: e80314aa  mov	x8, x20
0xfffffff008f58190: f7a300a9  stp	x23, x8, [sp, #8]
0xfffffff008f58194: e00300f9  str	x0, [sp]
0xfffffff008f58198: 2026fff0  adrp	x0, #0xfffffff00741f000
0xfffffff008f5819c: 00983491  add	x0, x0, #0xd26
0xfffffff008f581a0: a0fbcf97  bl	#0xfffffff008357020
0xfffffff008f581a4: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff008f581a8: a2021a32  orr	w2, w21, #0x40
