; Candidate 4899
; ADRP+ADD at VM 0xfffffff0087cc31c (fileoff 0x17c831c): page=0x1fea1d000 add_imm=0xe80

0xfffffff0087cc29c: 405c0034  cbz	w0, #0xfffffff0087cce24
0xfffffff0087cc2a0: 60008052  mov	w0, #3
0xfffffff0087cc2a4: 5dbd0294  bl	#0xfffffff00887b818
0xfffffff0087cc2a8: f40300aa  mov	x20, x0
0xfffffff0087cc2ac: c09f0394  bl	#0xfffffff0088b41ac
0xfffffff0087cc2b0: f30300aa  mov	x19, x0
0xfffffff0087cc2b4: 80008052  mov	w0, #4
0xfffffff0087cc2b8: 66bd0294  bl	#0xfffffff00887b850
0xfffffff0087cc2bc: b43a0034  cbz	w20, #0xfffffff0087cca10
0xfffffff0087cc2c0: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cc2c4: 08413c91  add	x8, x8, #0xf10
0xfffffff0087cc2c8: c9b58052  mov	w9, #0x5ae
0xfffffff0087cc2cc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cc2d0: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cc2d4: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cc2d8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cc2dc: 68008052  mov	w8, #3
0xfffffff0087cc2e0: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cc2e4: 0052fff0  adrp	x0, #0xfffffff00720f000
0xfffffff0087cc2e8: 005c3b91  add	x0, x0, #0xed7
0xfffffff0087cc2ec: cd020014  b	#0xfffffff0087cce20
0xfffffff0087cc2f0: af9f0394  bl	#0xfffffff0088b41ac
0xfffffff0087cc2f4: f40300aa  mov	x20, x0
0xfffffff0087cc2f8: e0008052  mov	w0, #7
0xfffffff0087cc2fc: 55bd0294  bl	#0xfffffff00887b850
0xfffffff0087cc300: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087cc304: 09c740b9  ldr	w9, [x24, #0xc4]
0xfffffff0087cc308: ff7f03a9  stp	xzr, xzr, [sp, #0x30]
0xfffffff0087cc30c: e96702a9  stp	x9, x25, [sp, #0x20]
0xfffffff0087cc310: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cc314: a80f8052  mov	w8, #0x7d
0xfffffff0087cc318: f42300a9  stp	x20, x8, [sp]
0xfffffff0087cc31c: e050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cc320: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cc324: e191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087cc328: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cc32c: 6353ffb0  adrp	x3, #0xfffffff007239000
0xfffffff0087cc330: 63801691  add	x3, x3, #0x5a0
0xfffffff0087cc334: 02008052  mov	w2, #0
0xfffffff0087cc338: 7e9bed97  bl	#0xfffffff008333130
0xfffffff0087cc33c: 17000014  b	#0xfffffff0087cc398
0xfffffff0087cc340: 9b9f0394  bl	#0xfffffff0088b41ac
0xfffffff0087cc344: f40300aa  mov	x20, x0
0xfffffff0087cc348: e0008052  mov	w0, #7
0xfffffff0087cc34c: 41bd0294  bl	#0xfffffff00887b850
0xfffffff0087cc350: 683b51f9  ldr	x8, [x27, #0x2270]
0xfffffff0087cc354: 691b40b9  ldr	w9, [x27, #0x18]
0xfffffff0087cc358: 0ac740b9  ldr	w10, [x24, #0xc4]
0xfffffff0087cc35c: 0b1140b9  ldr	w11, [x8, #0x10]
0xfffffff0087cc360: e80317aa  mov	x8, x23
0xfffffff0087cc364: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff0087cc368: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff0087cc36c: a80f8052  mov	w8, #0x7d
0xfffffff0087cc370: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cc374: f40300f9  str	x20, [sp]
0xfffffff0087cc378: e050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cc37c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cc380: e191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087cc384: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cc388: 6353ffb0  adrp	x3, #0xfffffff007239000
0xfffffff0087cc38c: 63441591  add	x3, x3, #0x551
0xfffffff0087cc390: 02008052  mov	w2, #0
0xfffffff0087cc394: 679bed97  bl	#0xfffffff008333130
0xfffffff0087cc398: 5f0300f9  str	xzr, [x26]
