; Candidate 16419
; ADRP+ADD at VM 0xfffffff009e9b090 (fileoff 0x2e97090): page=0x1fd9a2000 add_imm=0xd65

0xfffffff009e9b010: 1a008052  mov	w26, #0
0xfffffff009e9b014: beffff17  b	#0xfffffff009e9af0c
0xfffffff009e9b018: 08db8352  mov	w8, #0x1ed8
0xfffffff009e9b01c: 7802088b  add	x24, x19, x8
0xfffffff009e9b020: e00318aa  mov	x0, x24
0xfffffff009e9b024: aa427c97  bl	#0xfffffff007dabacc
0xfffffff009e9b028: 08018052  mov	w8, #8
0xfffffff009e9b02c: 68ea1eb9  str	w8, [x19, #0x1ee8]
0xfffffff009e9b030: eecb8097  bl	#0xfffffff007ecdfe8
0xfffffff009e9b034: 607e0ff9  str	x0, [x19, #0x1ef8]
0xfffffff009e9b038: e00318aa  mov	x0, x24
0xfffffff009e9b03c: c0457c97  bl	#0xfffffff007dac73c
0xfffffff009e9b040: e00317aa  mov	x0, x23
0xfffffff009e9b044: be457c97  bl	#0xfffffff007dac73c
0xfffffff009e9b048: e00313aa  mov	x0, x19
0xfffffff009e9b04c: cc160194  bl	#0xfffffff009ee0b7c
0xfffffff009e9b050: e2830291  add	x2, sp, #0xa0
0xfffffff009e9b054: e00313aa  mov	x0, x19
0xfffffff009e9b058: e10314aa  mov	x1, x20
0xfffffff009e9b05c: f60a0094  bl	#0xfffffff009e9dc34
0xfffffff009e9b060: f70300aa  mov	x23, x0
0xfffffff009e9b064: c0010034  cbz	w0, #0xfffffff009e9b09c
0xfffffff009e9b068: 083e8452  mov	w8, #0x21f0
0xfffffff009e9b06c: 6802088b  add	x8, x19, x8
0xfffffff009e9b070: 890640f9  ldr	x9, [x20, #8]
0xfffffff009e9b074: ea0317aa  mov	x10, x23
0xfffffff009e9b078: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009e9b07c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e9b080: 08cdfed0  adrp	x8, #0xfffffff00783d000
0xfffffff009e9b084: 082d3491  add	x8, x8, #0xd0b
0xfffffff009e9b088: 09988052  mov	w9, #0x4c0
0xfffffff009e9b08c: e82700a9  stp	x8, x9, [sp]
0xfffffff009e9b090: 00cdfed0  adrp	x0, #0xfffffff00783d000
0xfffffff009e9b094: 00943591  add	x0, x0, #0xd65
0xfffffff009e9b098: 0b92ff97  bl	#0xfffffff009e7f8c4
0xfffffff009e9b09c: e00313aa  mov	x0, x19
0xfffffff009e9b0a0: cc160194  bl	#0xfffffff009ee0bd0
0xfffffff009e9b0a4: e00313aa  mov	x0, x19
0xfffffff009e9b0a8: 690a0094  bl	#0xfffffff009e9da4c
0xfffffff009e9b0ac: a0020034  cbz	w0, #0xfffffff009e9b100
0xfffffff009e9b0b0: 08d78352  mov	w8, #0x1eb8
0xfffffff009e9b0b4: 7802088b  add	x24, x19, x8
0xfffffff009e9b0b8: 08db8352  mov	w8, #0x1ed8
0xfffffff009e9b0bc: 7902088b  add	x25, x19, x8
0xfffffff009e9b0c0: e00319aa  mov	x0, x25
0xfffffff009e9b0c4: 82427c97  bl	#0xfffffff007dabacc
0xfffffff009e9b0c8: 7fea1eb9  str	wzr, [x19, #0x1ee8]
0xfffffff009e9b0cc: 7f7e0ff9  str	xzr, [x19, #0x1ef8]
0xfffffff009e9b0d0: e00319aa  mov	x0, x25
0xfffffff009e9b0d4: 9a457c97  bl	#0xfffffff007dac73c
0xfffffff009e9b0d8: e00318aa  mov	x0, x24
0xfffffff009e9b0dc: b34d7c97  bl	#0xfffffff007dae7a8
0xfffffff009e9b0e0: 08d98352  mov	w8, #0x1ec8
0xfffffff009e9b0e4: 7802088b  add	x24, x19, x8
0xfffffff009e9b0e8: e00318aa  mov	x0, x24
0xfffffff009e9b0ec: 78427c97  bl	#0xfffffff007dabacc
0xfffffff009e9b0f0: e00313aa  mov	x0, x19
0xfffffff009e9b0f4: 080b0094  bl	#0xfffffff009e9dd14
0xfffffff009e9b0f8: e00318aa  mov	x0, x24
0xfffffff009e9b0fc: 90457c97  bl	#0xfffffff007dac73c
0xfffffff009e9b100: e00313aa  mov	x0, x19
0xfffffff009e9b104: 9e160194  bl	#0xfffffff009ee0b7c
0xfffffff009e9b108: fb5f40b9  ldr	w27, [sp, #0x5c]
0xfffffff009e9b10c: a7fbff17  b	#0xfffffff009e99fa8
