; Candidate 2679
; ADRP+ADD at VM 0xfffffff0086ddfa8 (fileoff 0x16d9fa8): page=0x1fea54000 add_imm=0xd90

0xfffffff0086ddf28: 6c1240f9  ldr	x12, [x19, #0x20]
0xfffffff0086ddf2c: 8c01088b  add	x12, x12, x8
0xfffffff0086ddf30: 8c9106d1  sub	x12, x12, #0x1a4
0xfffffff0086ddf34: 8d0140b9  ldr	w13, [x12]
0xfffffff0086ddf38: 6b7d0953  lsr	w11, w11, #9
0xfffffff0086ddf3c: 6d551733  bfi	w13, w11, #9, #0x16
0xfffffff0086ddf40: 8d0100b9  str	w13, [x12]
0xfffffff0086ddf44: 6b1240f9  ldr	x11, [x19, #0x20]
0xfffffff0086ddf48: 7f6928b8  str	wzr, [x11, x8]
0xfffffff0086ddf4c: 4a0540b9  ldr	w10, [x10, #4]
0xfffffff0086ddf50: 6b1240f9  ldr	x11, [x19, #0x20]
0xfffffff0086ddf54: 6c6968b8  ldr	w12, [x11, x8]
0xfffffff0086ddf58: 4c250033  bfxil	w12, w10, #0, #0xa
0xfffffff0086ddf5c: 6c6928b8  str	w12, [x11, x8]
0xfffffff0086ddf60: 08110091  add	x8, x8, #4
0xfffffff0086ddf64: 29210291  add	x9, x9, #0x88
0xfffffff0086ddf68: 1fe108f1  cmp	x8, #0x238
0xfffffff0086ddf6c: a1fbff54  b.ne	#0xfffffff0086ddee0
0xfffffff0086ddf70: c80240f9  ldr	x8, [x22]
0xfffffff0086ddf74: 1f9500b9  str	wzr, [x8, #0x94]
0xfffffff0086ddf78: c80240f9  ldr	x8, [x22]
0xfffffff0086ddf7c: 1f3902b9  str	wzr, [x8, #0x238]
0xfffffff0086ddf80: 48db4039  ldrb	w8, [x26, #0x36]
0xfffffff0086ddf84: ec2340f9  ldr	x12, [sp, #0x40]
0xfffffff0086ddf88: 88061836  tbz	w8, #3, #0xfffffff0086de058
0xfffffff0086ddf8c: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0086ddf90: 083146f9  ldr	x8, [x8, #0xc60]
0xfffffff0086ddf94: 1f1d40f2  tst	x8, #0xff
0xfffffff0086ddf98: 60040054  b.eq	#0xfffffff0086de024
0xfffffff0086ddf9c: 8953ffd0  adrp	x9, #0xfffffff00714f000
0xfffffff0086ddfa0: 29bd1991  add	x9, x9, #0x66f
0xfffffff0086ddfa4: e92300a9  stp	x9, x8, [sp]
0xfffffff0086ddfa8: a052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086ddfac: 00403691  add	x0, x0, #0xd90
0xfffffff0086ddfb0: 0199ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ddfb4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ddfb8: a352ffd0  adrp	x3, #0xfffffff007133000
0xfffffff0086ddfbc: 63341291  add	x3, x3, #0x48d
0xfffffff0086ddfc0: 02008052  mov	w2, #0
0xfffffff0086ddfc4: 5b54f197  bl	#0xfffffff008333130
0xfffffff0086ddfc8: 18030014  b	#0xfffffff0086dec28
0xfffffff0086ddfcc: 3f090071  cmp	w9, #2
0xfffffff0086ddfd0: 61000054  b.ne	#0xfffffff0086ddfdc
0xfffffff0086ddfd4: 7f210071  cmp	w11, #8
0xfffffff0086ddfd8: c0000054  b.eq	#0xfffffff0086ddff0
0xfffffff0086ddfdc: 3f0d0071  cmp	w9, #3
0xfffffff0086ddfe0: e1e4ff54  b.ne	#0xfffffff0086ddc7c
0xfffffff0086ddfe4: 6c250051  sub	w12, w11, #9
0xfffffff0086ddfe8: 9f050071  cmp	w12, #1
0xfffffff0086ddfec: 88e4ff54  b.hi	#0xfffffff0086ddc7c
0xfffffff0086ddff0: eba700a9  stp	x11, x9, [sp, #8]
0xfffffff0086ddff4: 8853ffd0  adrp	x8, #0xfffffff00714f000
0xfffffff0086ddff8: 08bd1991  add	x8, x8, #0x66f
0xfffffff0086ddffc: e80300f9  str	x8, [sp]
0xfffffff0086de000: 8052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086de004: 00403691  add	x0, x0, #0xd90
0xfffffff0086de008: e198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086de00c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086de010: a352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086de014: 63a40f91  add	x3, x3, #0x3e9
0xfffffff0086de018: 02008052  mov	w2, #0
0xfffffff0086de01c: 4554f197  bl	#0xfffffff008333130
0xfffffff0086de020: 02030014  b	#0xfffffff0086dec28
0xfffffff0086de024: 095d1812  and	w9, w8, #0xffffff00
