; Candidate 8173
; ADRP+ADD at VM 0xfffffff008899c50 (fileoff 0x1895c50): page=0x1fe950000 add_imm=0xe80

0xfffffff008899bd0: 01018052  mov	w1, #8
0xfffffff008899bd4: ff86ff97  bl	#0xfffffff00887b7d0
0xfffffff008899bd8: c0040034  cbz	w0, #0xfffffff008899c70
0xfffffff008899bdc: 400b8052  mov	w0, #0x5a
0xfffffff008899be0: 0e87ff97  bl	#0xfffffff00887b818
0xfffffff008899be4: f40300aa  mov	x20, x0
0xfffffff008899be8: 71690094  bl	#0xfffffff0088b41ac
0xfffffff008899bec: fc0300aa  mov	x28, x0
0xfffffff008899bf0: 00018052  mov	w0, #8
0xfffffff008899bf4: 1787ff97  bl	#0xfffffff00887b850
0xfffffff008899bf8: 74010034  cbz	w20, #0xfffffff008899c24
0xfffffff008899bfc: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008899c00: e8e703a9  stp	x8, x25, [sp, #0x38]
0xfffffff008899c04: f6cf02a9  stp	x22, x19, [sp, #0x28]
0xfffffff008899c08: f5e301a9  stp	x21, x24, [sp, #0x18]
0xfffffff008899c0c: fa8300a9  stp	x26, x0, [sp, #8]
0xfffffff008899c10: fc0300f9  str	x28, [sp]
0xfffffff008899c14: a04cfff0  adrp	x0, #0xfffffff007230000
0xfffffff008899c18: 00840091  add	x0, x0, #0x21
0xfffffff008899c1c: 1176d497  bl	#0xfffffff007db7460
0xfffffff008899c20: 14000014  b	#0xfffffff008899c70
0xfffffff008899c24: 62690094  bl	#0xfffffff0088b41ac
0xfffffff008899c28: f40300aa  mov	x20, x0
0xfffffff008899c2c: 00018052  mov	w0, #8
0xfffffff008899c30: 0887ff97  bl	#0xfffffff00887b850
0xfffffff008899c34: e80319aa  mov	x8, x25
0xfffffff008899c38: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008899c3c: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff008899c40: f6cf02a9  stp	x22, x19, [sp, #0x28]
0xfffffff008899c44: f5e301a9  stp	x21, x24, [sp, #0x18]
0xfffffff008899c48: fa8300a9  stp	x26, x0, [sp, #8]
0xfffffff008899c4c: f40300f9  str	x20, [sp]
0xfffffff008899c50: 804aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008899c54: 00003a91  add	x0, x0, #0xe80
0xfffffff008899c58: 618bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008899c5c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008899c60: 02008052  mov	w2, #0
0xfffffff008899c64: 234efff0  adrp	x3, #0xfffffff007260000
0xfffffff008899c68: 63140391  add	x3, x3, #0xc5
0xfffffff008899c6c: 3165ea97  bl	#0xfffffff008333130
0xfffffff008899c70: 680240f9  ldr	x8, [x19]
0xfffffff008899c74: 081940b9  ldr	w8, [x8, #0x18]
0xfffffff008899c78: 087d1b1b  mul	w8, w8, w27
0xfffffff008899c7c: 3f03086b  cmp	w25, w8
0xfffffff008899c80: 6a070054  b.ge	#0xfffffff008899d6c
0xfffffff008899c84: 007d8052  mov	w0, #0x3e8
0xfffffff008899c88: e0f4ea97  bl	#0xfffffff008357008
0xfffffff008899c8c: 60a241a9  ldp	x0, x8, [x19, #0x18]
0xfffffff008899c90: 020540b9  ldr	w2, [x8, #4]
0xfffffff008899c94: 41008052  mov	w1, #2
0xfffffff008899c98: 1cadff97  bl	#0xfffffff008885108
0xfffffff008899c9c: 39070011  add	w25, w25, #1
0xfffffff008899ca0: 60f90736  tbz	w0, #0, #0xfffffff008899bcc
0xfffffff008899ca4: e00313aa  mov	x0, x19
0xfffffff008899ca8: 21008052  mov	w1, #1
0xfffffff008899cac: 75000094  bl	#0xfffffff008899e80
0xfffffff008899cb0: 570100b4  cbz	x23, #0xfffffff008899cd8
0xfffffff008899cb4: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff008899cb8: 090940b9  ldr	w9, [x8, #8]
0xfffffff008899cbc: 3f050071  cmp	w9, #1
0xfffffff008899cc0: cb000054  b.lt	#0xfffffff008899cd8
0xfffffff008899cc4: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff008899cc8: 020d40b9  ldr	w2, [x8, #0xc]
0xfffffff008899ccc: 41008052  mov	w1, #2
