; Candidate 14665
; ADRP+ADD at VM 0xfffffff0098730b8 (fileoff 0x286f0b8): page=0x1fe3f0000 add_imm=0xe50

0xfffffff009873038: 208e38d4  brk	#0xc471
0xfffffff00987303c: c0e59417  b	#0xfffffff007dac73c
0xfffffff009873040: 5f2403d5  bti	c
0xfffffff009873044: e20301aa  mov	x2, x1
0xfffffff009873048: 083440f9  ldr	x8, [x0, #0x68]
0xfffffff00987304c: 017440b9  ldr	w1, [x0, #0x74]
0xfffffff009873050: e00308aa  mov	x0, x8
0xfffffff009873054: 70300014  b	#0xfffffff00987f214
0xfffffff009873058: 5f2403d5  bti	c
0xfffffff00987305c: 082840f9  ldr	x8, [x0, #0x50]
0xfffffff009873060: 082d42b9  ldr	w8, [x8, #0x22c]
0xfffffff009873064: 88000034  cbz	w8, #0xfffffff009873074
0xfffffff009873068: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff00987306c: 00010291  add	x0, x8, #0x80
0xfffffff009873070: c0035fd6  ret	
0xfffffff009873074: 000080d2  mov	x0, #0
0xfffffff009873078: c0035fd6  ret	
0xfffffff00987307c: 7f2303d5  pacibsp	
0xfffffff009873080: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009873084: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009873088: fd430091  add	x29, sp, #0x10
0xfffffff00987308c: 620200b4  cbz	x2, #0xfffffff0098730d8
0xfffffff009873090: f30300aa  mov	x19, x0
0xfffffff009873094: 480840b9  ldr	w8, [x2, #8]
0xfffffff009873098: 088000b9  str	w8, [x0, #0x80]
0xfffffff00987309c: 484c4039  ldrb	w8, [x2, #0x13]
0xfffffff0098730a0: 08100239  strb	w8, [x0, #0x84]
0xfffffff0098730a4: 48544039  ldrb	w8, [x2, #0x15]
0xfffffff0098730a8: 88012036  tbz	w8, #4, #0xfffffff0098730d8
0xfffffff0098730ac: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0098730b0: 08010f32  orr	w8, w8, #0x20000
0xfffffff0098730b4: 681200b9  str	w8, [x19, #0x10]
0xfffffff0098730b8: 801fff90  adrp	x0, #0xfffffff007c63000
0xfffffff0098730bc: 00403991  add	x0, x0, #0xe50
0xfffffff0098730c0: 0d8dab97  bl	#0xfffffff0083564f4
0xfffffff0098730c4: 602e00f9  str	x0, [x19, #0x58]
0xfffffff0098730c8: 8bdeff97  bl	#0xfffffff00986aaf4
0xfffffff0098730cc: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff0098730d0: 00010191  add	x0, x8, #0x40
0xfffffff0098730d4: 88deff97  bl	#0xfffffff00986aaf4
0xfffffff0098730d8: 20008052  mov	w0, #1
0xfffffff0098730dc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0098730e0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0098730e4: ff0f5fd6  retab	
0xfffffff0098730e8: 7f2303d5  pacibsp	
0xfffffff0098730ec: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0098730f0: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0098730f4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0098730f8: fd830091  add	x29, sp, #0x20
0xfffffff0098730fc: f30300aa  mov	x19, x0
0xfffffff009873100: 082840f9  ldr	x8, [x0, #0x50]
0xfffffff009873104: 08c94739  ldrb	w8, [x8, #0x1f2]
0xfffffff009873108: 08011a12  and	w8, w8, #0x40
0xfffffff00987310c: 3f0000f1  cmp	x1, #0
0xfffffff009873110: e9079f1a  cset	w9, ne
0xfffffff009873114: 3f19486a  tst	w9, w8, lsr #6
0xfffffff009873118: 88008052  mov	w8, #4
0xfffffff00987311c: 09119f9a  csel	x9, x8, xzr, ne
0xfffffff009873120: 610400b4  cbz	x1, #0xfffffff0098731ac
0xfffffff009873124: f40301aa  mov	x20, x1
0xfffffff009873128: 281440b9  ldr	w8, [x1, #0x14]
0xfffffff00987312c: 0afd4cd3  lsr	x10, x8, #0xc
0xfffffff009873130: 4a017992  and	x10, x10, #0x80
0xfffffff009873134: 0a1544b3  bfxil	x10, x8, #4, #2
