; Candidate 16805
; ADRP+ADD at VM 0xfffffff009f699d8 (fileoff 0x2f659d8): page=0x46b000 add_imm=0xe10

0xfffffff009f69958: 208e38d4  brk	#0xc471
0xfffffff009f6995c: 50f78d17  b	#0xfffffff0082e769c
0xfffffff009f69960: 5f2403d5  bti	c
0xfffffff009f69964: 77699017  b	#0xfffffff008383f40
0xfffffff009f69968: 5f2403d5  bti	c
0xfffffff009f6996c: 000080d2  mov	x0, #0
0xfffffff009f69970: c0035fd6  ret	
0xfffffff009f69974: 5f2403d5  bti	c
0xfffffff009f69978: 5feb8d17  b	#0xfffffff0082e46f4
0xfffffff009f6997c: 5f2403d5  bti	c
0xfffffff009f69980: 5deb8d17  b	#0xfffffff0082e46f4
0xfffffff009f69984: 7f2303d5  pacibsp	
0xfffffff009f69988: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009f6998c: fd030091  mov	x29, sp
0xfffffff009f69990: 402300f0  adrp	x0, #0xfffffff00a3d4000
0xfffffff009f69994: 00403891  add	x0, x0, #0xe10
0xfffffff009f69998: e1c7fed0  adrp	x1, #0xfffffff007867000
0xfffffff009f6999c: 21e02d91  add	x1, x1, #0xb78
0xfffffff009f699a0: 82eefef0  adrp	x2, #0xfffffff007d3c000
0xfffffff009f699a4: 425442f9  ldr	x2, [x2, #0x4a8]
0xfffffff009f699a8: 03128052  mov	w3, #0x90
0xfffffff009f699ac: 63e88d97  bl	#0xfffffff0082e3b38
0xfffffff009f699b0: b0eefe90  adrp	x16, #0xfffffff007d3d000
0xfffffff009f699b4: 10c22591  add	x16, x16, #0x970
0xfffffff009f699b8: 10420091  add	x16, x16, #0x10
0xfffffff009f699bc: f10300aa  mov	x17, x0
0xfffffff009f699c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f699c4: 300ac1da  pacda	x16, x17
0xfffffff009f699c8: 100000f9  str	x16, [x0]
0xfffffff009f699cc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009f699d0: ff0f5fd6  retab	
0xfffffff009f699d4: 5f2403d5  bti	c
0xfffffff009f699d8: 402300f0  adrp	x0, #0xfffffff00a3d4000
0xfffffff009f699dc: 00403891  add	x0, x0, #0xe10
0xfffffff009f699e0: 45eb8d17  b	#0xfffffff0082e46f4
0xfffffff009f699e4: 7f2303d5  pacibsp	
0xfffffff009f699e8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009f699ec: fd030091  mov	x29, sp
0xfffffff009f699f0: e1c7fed0  adrp	x1, #0xfffffff007867000
0xfffffff009f699f4: 21e02d91  add	x1, x1, #0xb78
0xfffffff009f699f8: 82eefef0  adrp	x2, #0xfffffff007d3c000
0xfffffff009f699fc: 425442f9  ldr	x2, [x2, #0x4a8]
0xfffffff009f69a00: 03128052  mov	w3, #0x90
0xfffffff009f69a04: 4de88d97  bl	#0xfffffff0082e3b38
0xfffffff009f69a08: b0eefe90  adrp	x16, #0xfffffff007d3d000
0xfffffff009f69a0c: 10c22591  add	x16, x16, #0x970
0xfffffff009f69a10: 10420091  add	x16, x16, #0x10
0xfffffff009f69a14: f10300aa  mov	x17, x0
0xfffffff009f69a18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f69a1c: 300ac1da  pacda	x16, x17
0xfffffff009f69a20: 100000f9  str	x16, [x0]
0xfffffff009f69a24: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009f69a28: ff0f5fd6  retab	
0xfffffff009f69a2c: 7f2303d5  pacibsp	
0xfffffff009f69a30: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009f69a34: fd030091  mov	x29, sp
0xfffffff009f69a38: 2c699097  bl	#0xfffffff008383ee8
0xfffffff009f69a3c: d0eefeb0  adrp	x16, #0xfffffff007d42000
0xfffffff009f69a40: 10c23991  add	x16, x16, #0xe70
0xfffffff009f69a44: 10420091  add	x16, x16, #0x10
0xfffffff009f69a48: f10300aa  mov	x17, x0
0xfffffff009f69a4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f69a50: 300ac1da  pacda	x16, x17
0xfffffff009f69a54: 100000f9  str	x16, [x0]
