; Candidate 2009
; ADRP+ADD at VM 0xfffffff008549398 (fileoff 0x1545398): page=0x1feb98000 add_imm=0xe02

0xfffffff008549318: 01038052  mov	w1, #0x18
0xfffffff00854931c: c778f697  bl	#0xfffffff0082e7638
0xfffffff008549320: f30300aa  mov	x19, x0
0xfffffff008549324: 74ec00b0  adrp	x20, #0xfffffff00a2d6000
0xfffffff008549328: 94e20791  add	x20, x20, #0x1f8
0xfffffff00854932c: e10314aa  mov	x1, x20
0xfffffff008549330: 0f79f697  bl	#0xfffffff0082e776c
0xfffffff008549334: b0a2ffb0  adrp	x16, #0xfffffff00799e000
0xfffffff008549338: 10222691  add	x16, x16, #0x988
0xfffffff00854933c: 10420091  add	x16, x16, #0x10
0xfffffff008549340: f10300aa  mov	x17, x0
0xfffffff008549344: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008549348: 300ac1da  pacda	x16, x17
0xfffffff00854934c: 100000f9  str	x16, [x0]
0xfffffff008549350: e00314aa  mov	x0, x20
0xfffffff008549354: 786ff697  bl	#0xfffffff0082e5134
0xfffffff008549358: e00313aa  mov	x0, x19
0xfffffff00854935c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008549360: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008549364: ff0f5fd6  retab	
0xfffffff008549368: 5f2403d5  bti	c
0xfffffff00854936c: e26cf617  b	#0xfffffff0082e46f4
0xfffffff008549370: 5f2403d5  bti	c
0xfffffff008549374: e06cf617  b	#0xfffffff0082e46f4
0xfffffff008549378: 7f2303d5  pacibsp	
0xfffffff00854937c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008549380: fd030091  mov	x29, sp
0xfffffff008549384: c05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008549388: 00603791  add	x0, x0, #0xdd8
0xfffffff00854938c: ab7ff797  bl	#0xfffffff008329238
0xfffffff008549390: 68ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008549394: 00bd00f9  str	x0, [x8, #0x178]
0xfffffff008549398: c05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00854939c: 00083891  add	x0, x0, #0xe02
0xfffffff0085493a0: a67ff797  bl	#0xfffffff008329238
0xfffffff0085493a4: 68ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085493a8: 00c100f9  str	x0, [x8, #0x180]
0xfffffff0085493ac: c05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0085493b0: 00883891  add	x0, x0, #0xe22
0xfffffff0085493b4: a17ff797  bl	#0xfffffff008329238
0xfffffff0085493b8: 68ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085493bc: 00c500f9  str	x0, [x8, #0x188]
0xfffffff0085493c0: c05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0085493c4: 00e43891  add	x0, x0, #0xe39
0xfffffff0085493c8: 9c7ff797  bl	#0xfffffff008329238
0xfffffff0085493cc: 68ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085493d0: 00c900f9  str	x0, [x8, #0x190]
0xfffffff0085493d4: c05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0085493d8: 004c3991  add	x0, x0, #0xe53
0xfffffff0085493dc: 977ff797  bl	#0xfffffff008329238
0xfffffff0085493e0: 68ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085493e4: 00cd00f9  str	x0, [x8, #0x198]
0xfffffff0085493e8: c05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0085493ec: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0085493f0: 927ff797  bl	#0xfffffff008329238
0xfffffff0085493f4: 68ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085493f8: 00d100f9  str	x0, [x8, #0x1a0]
0xfffffff0085493fc: 60ec00b0  adrp	x0, #0xfffffff00a2d6000
0xfffffff008549400: 00a00691  add	x0, x0, #0x1a8
0xfffffff008549404: a15cffd0  adrp	x1, #0xfffffff0070df000
0xfffffff008549408: 21e03991  add	x1, x1, #0xe78
0xfffffff00854940c: 62ec00b0  adrp	x2, #0xfffffff00a2d6000
0xfffffff008549410: 42400791  add	x2, x2, #0x1d0
0xfffffff008549414: 03448052  mov	w3, #0x220
