; Candidate 16326
; ADRP+ADD at VM 0xfffffff009e5be70 (fileoff 0x2e57e70): page=0x1fd9d2000 add_imm=0xe31

0xfffffff009e5bdf0: 02108052  mov	w2, #0x80
0xfffffff009e5bdf4: 73c37b97  bl	#0xfffffff007d4cbc0
0xfffffff009e5bdf8: e86240f9  ldr	x8, [x23, #0xc0]
0xfffffff009e5bdfc: 08e14039  ldrb	w8, [x8, #0x38]
0xfffffff009e5be00: 08150553  ubfx	w8, w8, #5, #1
0xfffffff009e5be04: 68f20139  strb	w8, [x19, #0x7c]
0xfffffff009e5be08: ba2240f9  ldr	x26, [x21, #0x40]
0xfffffff009e5be0c: e9c241f9  ldr	x9, [x23, #0x380]
0xfffffff009e5be10: 690000b5  cbnz	x9, #0xfffffff009e5be1c
0xfffffff009e5be14: e96a40f9  ldr	x9, [x23, #0xd0]
0xfffffff009e5be18: 29210391  add	x9, x9, #0xc8
0xfffffff009e5be1c: 290140f9  ldr	x9, [x9]
0xfffffff009e5be20: 29ed44b9  ldr	w9, [x9, #0x4ec]
0xfffffff009e5be24: 697a00b9  str	w9, [x19, #0x78]
0xfffffff009e5be28: 0900f0d2  mov	x9, #-0x8000000000000000
0xfffffff009e5be2c: 49ef40b3  bfxil	x9, x26, #0, #0x3c
0xfffffff009e5be30: 1f010071  cmp	w8, #0
0xfffffff009e5be34: 28019a9a  csel	x8, x9, x26, eq
0xfffffff009e5be38: f80313aa  mov	x24, x19
0xfffffff009e5be3c: 088f00f8  str	x8, [x24, #8]!
0xfffffff009e5be40: 760a00f9  str	x22, [x19, #0x10]
0xfffffff009e5be44: 7a0200f9  str	x26, [x19]
0xfffffff009e5be48: e1e30091  add	x1, sp, #0x38
0xfffffff009e5be4c: e00317aa  mov	x0, x23
0xfffffff009e5be50: 83000094  bl	#0xfffffff009e5c05c
0xfffffff009e5be54: 20020034  cbz	w0, #0xfffffff009e5be98
0xfffffff009e5be58: f90300aa  mov	x25, x0
0xfffffff009e5be5c: 88cefed0  adrp	x8, #0xfffffff00782d000
0xfffffff009e5be60: 082d3991  add	x8, x8, #0xe4b
0xfffffff009e5be64: e9138052  mov	w9, #0x9f
0xfffffff009e5be68: e9e700a9  stp	x9, x25, [sp, #8]
0xfffffff009e5be6c: e80300f9  str	x8, [sp]
0xfffffff009e5be70: 80cefed0  adrp	x0, #0xfffffff00782d000
0xfffffff009e5be74: 00c43891  add	x0, x0, #0xe31
0xfffffff009e5be78: 938e0094  bl	#0xfffffff009e7f8c4
0xfffffff009e5be7c: f41f40f9  ldr	x20, [sp, #0x38]
0xfffffff009e5be80: 28fc95d2  mov	x8, #0xafe1
0xfffffff009e5be84: 28f4bbf2  movk	x8, #0xdfa1, lsl #16
0xfffffff009e5be88: 4817c0f2  movk	x8, #0xba, lsl #32
0xfffffff009e5be8c: 680200f9  str	x8, [x19]
0xfffffff009e5be90: 340b00b5  cbnz	x20, #0xfffffff009e5bff4
0xfffffff009e5be94: 5a000014  b	#0xfffffff009e5bffc
0xfffffff009e5be98: f41f40f9  ldr	x20, [sp, #0x38]
0xfffffff009e5be9c: d40c00b4  cbz	x20, #0xfffffff009e5c034
0xfffffff009e5bea0: 360400b4  cbz	x22, #0xfffffff009e5bf24
0xfffffff009e5bea4: 08028052  mov	w8, #0x10
0xfffffff009e5bea8: e83700b9  str	w8, [sp, #0x34]
0xfffffff009e5beac: 69f24139  ldrb	w9, [x19, #0x7c]
0xfffffff009e5beb0: 3f010071  cmp	w9, #0
0xfffffff009e5beb4: 09038052  mov	w9, #0x18
0xfffffff009e5beb8: 2801881a  csel	w8, w9, w8, eq
0xfffffff009e5bebc: e83300b9  str	w8, [sp, #0x30]
0xfffffff009e5bec0: e17e40f9  ldr	x1, [x23, #0xf8]
0xfffffff009e5bec4: 65620091  add	x5, x19, #0x18
0xfffffff009e5bec8: a8220391  add	x8, x21, #0xc8
0xfffffff009e5becc: e80700f9  str	x8, [sp, #8]
0xfffffff009e5bed0: ff0300b9  str	wzr, [sp]
0xfffffff009e5bed4: e3d30091  add	x3, sp, #0x34
0xfffffff009e5bed8: e6c30091  add	x6, sp, #0x30
0xfffffff009e5bedc: e00314aa  mov	x0, x20
0xfffffff009e5bee0: e20318aa  mov	x2, x24
0xfffffff009e5bee4: 04028052  mov	w4, #0x10
0xfffffff009e5bee8: 27008052  mov	w7, #1
0xfffffff009e5beec: ba240394  bl	#0xfffffff009f251d4
