; Candidate 5605
; ADRP+ADD at VM 0xfffffff0087fbdd4 (fileoff 0x17f7dd4): page=0x1fe9ee000 add_imm=0xe80

0xfffffff0087fbd54: 40058a1a  cinc	w0, w10, ne
0xfffffff0087fbd58: 3f4d0071  cmp	w9, #0x13
0xfffffff0087fbd5c: 2d010054  b.le	#0xfffffff0087fbd80
0xfffffff0087fbd60: 3f510071  cmp	w9, #0x14
0xfffffff0087fbd64: e0010054  b.eq	#0xfffffff0087fbda0
0xfffffff0087fbd68: 3f950071  cmp	w9, #0x25
0xfffffff0087fbd6c: a0010054  b.eq	#0xfffffff0087fbda0
0xfffffff0087fbd70: 0ae28452  mov	w10, #0x2710
0xfffffff0087fbd74: 3f010a6b  cmp	w9, w10
0xfffffff0087fbd78: 40010054  b.eq	#0xfffffff0087fbda0
0xfffffff0087fbd7c: 27000014  b	#0xfffffff0087fbe18
0xfffffff0087fbd80: 09010034  cbz	w9, #0xfffffff0087fbda0
0xfffffff0087fbd84: 3f050071  cmp	w9, #1
0xfffffff0087fbd88: 81040054  b.ne	#0xfffffff0087fbe18
0xfffffff0087fbd8c: 882240b9  ldr	w8, [x20, #0x20]
0xfffffff0087fbd90: 1f1d0071  cmp	w8, #7
0xfffffff0087fbd94: 41050054  b.ne	#0xfffffff0087fbe3c
0xfffffff0087fbd98: 00028052  mov	w0, #0x10
0xfffffff0087fbd9c: 1f000014  b	#0xfffffff0087fbe18
0xfffffff0087fbda0: 09994339  ldrb	w9, [x8, #0xe6]
0xfffffff0087fbda4: a9030034  cbz	w9, #0xfffffff0087fbe18
0xfffffff0087fbda8: 08a14eb8  ldur	w8, [x8, #0xea]
0xfffffff0087fbdac: 0001000b  add	w0, w8, w0
0xfffffff0087fbdb0: 1a000014  b	#0xfffffff0087fbe18
0xfffffff0087fbdb4: fee00294  bl	#0xfffffff0088b41ac
0xfffffff0087fbdb8: f40300aa  mov	x20, x0
0xfffffff0087fbdbc: 80008052  mov	w0, #4
0xfffffff0087fbdc0: a4fe0194  bl	#0xfffffff00887b850
0xfffffff0087fbdc4: 080740b9  ldr	w8, [x24, #4]
0xfffffff0087fbdc8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087fbdcc: 880e8052  mov	w8, #0x74
0xfffffff0087fbdd0: f42300a9  stp	x20, x8, [sp]
0xfffffff0087fbdd4: 604fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fbdd8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fbddc: 6190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fbde0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fbde4: 2352ffd0  adrp	x3, #0xfffffff007241000
0xfffffff0087fbde8: 63803491  add	x3, x3, #0xd20
0xfffffff0087fbdec: 02008052  mov	w2, #0
0xfffffff0087fbdf0: d0dcec97  bl	#0xfffffff008333130
0xfffffff0087fbdf4: 08008052  mov	w8, #0
0xfffffff0087fbdf8: c92a4029  ldp	w9, w10, [x22]
0xfffffff0087fbdfc: 497d091b  mul	w9, w10, w9
0xfffffff0087fbe00: 7f2a0071  cmp	w19, #0xa
0xfffffff0087fbe04: e00a437a  ccmp	w23, #3, #0, eq
0xfffffff0087fbe08: 0a20a052  mov	w10, #0x1000000
0xfffffff0087fbe0c: 20014a7a  ccmp	w9, w10, #0, eq
0xfffffff0087fbe10: 09018052  mov	w9, #8
0xfffffff0087fbe14: 2081881a  csel	w0, w9, w8, hi
0xfffffff0087fbe18: 1f400071  cmp	w0, #0x10
0xfffffff0087fbe1c: 08028052  mov	w8, #0x10
0xfffffff0087fbe20: 00b0881a  csel	w0, w0, w8, lt
0xfffffff0087fbe24: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0087fbe28: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0087fbe2c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0087fbe30: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0087fbe34: ff830191  add	sp, sp, #0x60
0xfffffff0087fbe38: ff0f5fd6  retab	
0xfffffff0087fbe3c: 880240b9  ldr	w8, [x20]
0xfffffff0087fbe40: c0064029  ldp	w0, w1, [x22]
0xfffffff0087fbe44: a8000034  cbz	w8, #0xfffffff0087fbe58
0xfffffff0087fbe48: a20240b9  ldr	w2, [x21]
0xfffffff0087fbe4c: a33640b9  ldr	w3, [x21, #0x34]
0xfffffff0087fbe50: f7f80294  bl	#0xfffffff0088ba22c
