; Candidate 4551
; ADRP+ADD at VM 0xfffffff0087badd0 (fileoff 0x17b6dd0): page=0x1fe977000 add_imm=0xd90

0xfffffff0087bad50: 203dc13d  ldr	q0, [x9, #0x4f0]
0xfffffff0087bad54: 0055813d  str	q0, [x8, #0x550]
0xfffffff0087bad58: 1f6105b9  str	wzr, [x8, #0x560]
0xfffffff0087bad5c: 09bd41b9  ldr	w9, [x8, #0x1bc]
0xfffffff0087bad60: 3f050071  cmp	w9, #1
0xfffffff0087bad64: f52740b9  ldr	w21, [sp, #0x24]
0xfffffff0087bad68: eb0d0054  b.lt	#0xfffffff0087baf24
0xfffffff0087bad6c: 214dff90  adrp	x1, #0xfffffff00715e000
0xfffffff0087bad70: 213c2a91  add	x1, x1, #0xa8f
0xfffffff0087bad74: 34008052  mov	w20, #1
0xfffffff0087bad78: e00313aa  mov	x0, x19
0xfffffff0087bad7c: 22008052  mov	w2, #1
0xfffffff0087bad80: 50010094  bl	#0xfffffff0087bb2c0
0xfffffff0087bad84: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bad88: 005105b9  str	w0, [x8, #0x550]
0xfffffff0087bad8c: c00c0034  cbz	w0, #0xfffffff0087baf24
0xfffffff0087bad90: 08bd41b9  ldr	w8, [x8, #0x1bc]
0xfffffff0087bad94: c8f602b9  str	w8, [x22, #0x2f4]
0xfffffff0087bad98: 214dff90  adrp	x1, #0xfffffff00715e000
0xfffffff0087bad9c: 217c2a91  add	x1, x1, #0xa9f
0xfffffff0087bada0: e00313aa  mov	x0, x19
0xfffffff0087bada4: 42008052  mov	w2, #2
0xfffffff0087bada8: 46010094  bl	#0xfffffff0087bb2c0
0xfffffff0087badac: 8922c01a  lsl	w9, w20, w0
0xfffffff0087badb0: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087badb4: 095505b9  str	w9, [x8, #0x554]
0xfffffff0087badb8: 2a250051  sub	w10, w9, #9
0xfffffff0087badbc: 5f250031  cmn	w10, #9
0xfffffff0087badc0: e8030054  b.hi	#0xfffffff0087bae3c
0xfffffff0087badc4: a84cffd0  adrp	x8, #0xfffffff007150000
0xfffffff0087badc8: 08f90591  add	x8, x8, #0x17e
0xfffffff0087badcc: e82700a9  stp	x8, x9, [sp]
0xfffffff0087badd0: a04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087badd4: 00403691  add	x0, x0, #0xd90
0xfffffff0087badd8: 0192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087baddc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bade0: 834cffd0  adrp	x3, #0xfffffff00714c000
0xfffffff0087bade4: 634c3f91  add	x3, x3, #0xfd3
0xfffffff0087bade8: 02008052  mov	w2, #0
0xfffffff0087badec: d1e0ed97  bl	#0xfffffff008333130
0xfffffff0087badf0: 7bf9ff17  b	#0xfffffff0087b93dc
0xfffffff0087badf4: 692e40f9  ldr	x9, [x19, #0x58]
0xfffffff0087badf8: 2a3540b9  ldr	w10, [x9, #0x34]
0xfffffff0087badfc: 0aadff34  cbz	w10, #0xfffffff0087ba39c
0xfffffff0087bae00: 292940b9  ldr	w9, [x9, #0x28]
0xfffffff0087bae04: c9acff34  cbz	w9, #0xfffffff0087ba39c
0xfffffff0087bae08: 094540b9  ldr	w9, [x8, #0x44]
0xfffffff0087bae0c: 3f791e72  tst	w9, #0xfffffffd
0xfffffff0087bae10: 60acff54  b.eq	#0xfffffff0087ba39c
0xfffffff0087bae14: 214dff90  adrp	x1, #0xfffffff00715e000
0xfffffff0087bae18: 21f42991  add	x1, x1, #0xa7d
0xfffffff0087bae1c: e00313aa  mov	x0, x19
0xfffffff0087bae20: 22008052  mov	w2, #1
0xfffffff0087bae24: 27010094  bl	#0xfffffff0087bb2c0
0xfffffff0087bae28: 1f000071  cmp	w0, #0
0xfffffff0087bae2c: e8079f1a  cset	w8, ne
0xfffffff0087bae30: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff0087bae34: 28750239  strb	w8, [x9, #0x9d]
0xfffffff0087bae38: 5afdff17  b	#0xfffffff0087ba3a0
0xfffffff0087bae3c: 09714239  ldrb	w9, [x8, #0x9c]
0xfffffff0087bae40: 49020034  cbz	w9, #0xfffffff0087bae88
0xfffffff0087bae44: 005945b9  ldr	w0, [x8, #0x558]
0xfffffff0087bae48: 17000014  b	#0xfffffff0087baea4
0xfffffff0087bae4c: c8948752  mov	w8, #0x3ca6
