; Candidate 8408
; ADRP+ADD at VM 0xfffffff0088a9014 (fileoff 0x18a5014): page=0x1fe940000 add_imm=0xe80

0xfffffff0088a8f94: fd1bfe97  bl	#0xfffffff00882ff88
0xfffffff0088a8f98: f50300aa  mov	x21, x0
0xfffffff0088a8f9c: e00314aa  mov	x0, x20
0xfffffff0088a8fa0: 0f1cfe97  bl	#0xfffffff00882ffdc
0xfffffff0088a8fa4: bf0200eb  cmp	x21, x0
0xfffffff0088a8fa8: e0010054  b.eq	#0xfffffff0088a8fe4
0xfffffff0088a8fac: 284bff90  adrp	x8, #0xfffffff00720c000
0xfffffff0088a8fb0: 08dd47fd  ldr	d8, [x8, #0xfb8]
0xfffffff0088a8fb4: 16008092  mov	x22, #-1
0xfffffff0088a8fb8: a80a00fd  str	d8, [x21, #0x10]
0xfffffff0088a8fbc: b60e00f9  str	x22, [x21, #0x18]
0xfffffff0088a8fc0: e0e7076f  movi	v0.2d, #0xffffffffffffffff
0xfffffff0088a8fc4: a01200fd  str	d0, [x21, #0x20]
0xfffffff0088a8fc8: e00315aa  mov	x0, x21
0xfffffff0088a8fcc: c219fe97  bl	#0xfffffff00882f6d4
0xfffffff0088a8fd0: f50300aa  mov	x21, x0
0xfffffff0088a8fd4: e00314aa  mov	x0, x20
0xfffffff0088a8fd8: 011cfe97  bl	#0xfffffff00882ffdc
0xfffffff0088a8fdc: bf0200eb  cmp	x21, x0
0xfffffff0088a8fe0: c1feff54  b.ne	#0xfffffff0088a8fb8
0xfffffff0088a8fe4: 14008052  mov	w20, #0
0xfffffff0088a8fe8: 45000014  b	#0xfffffff0088a90fc
0xfffffff0088a8fec: 702c0094  bl	#0xfffffff0088b41ac
0xfffffff0088a8ff0: f40300aa  mov	x20, x0
0xfffffff0088a8ff4: e0008052  mov	w0, #7
0xfffffff0088a8ff8: 164aff97  bl	#0xfffffff00887b850
0xfffffff0088a8ffc: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a9000: 08253d91  add	x8, x8, #0xf49
0xfffffff0088a9004: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088a9008: c80f8052  mov	w8, #0x7e
0xfffffff0088a900c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a9010: f40300f9  str	x20, [sp]
0xfffffff0088a9014: 004aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a9018: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a901c: e18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a9020: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a9024: c34dffb0  adrp	x3, #0xfffffff007262000
0xfffffff0088a9028: 63143e91  add	x3, x3, #0xf85
0xfffffff0088a902c: 02008052  mov	w2, #0
0xfffffff0088a9030: 4028ea97  bl	#0xfffffff008333130
0xfffffff0088a9034: d3faffb5  cbnz	x19, #0xfffffff0088a8f8c
0xfffffff0088a9038: c00f8052  mov	w0, #0x7e
0xfffffff0088a903c: 81008052  mov	w1, #4
0xfffffff0088a9040: e449ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a9044: a0050034  cbz	w0, #0xfffffff0088a90f8
0xfffffff0088a9048: c00f8052  mov	w0, #0x7e
0xfffffff0088a904c: f349ff97  bl	#0xfffffff00887b818
0xfffffff0088a9050: f50300aa  mov	x21, x0
0xfffffff0088a9054: 562c0094  bl	#0xfffffff0088b41ac
0xfffffff0088a9058: f40300aa  mov	x20, x0
0xfffffff0088a905c: 80008052  mov	w0, #4
0xfffffff0088a9060: fc49ff97  bl	#0xfffffff00887b850
0xfffffff0088a9064: f5010034  cbz	w21, #0xfffffff0088a90a0
0xfffffff0088a9068: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a906c: 08793d91  add	x8, x8, #0xf5e
0xfffffff0088a9070: 291c8052  mov	w9, #0xe1
0xfffffff0088a9074: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff0088a9078: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a907c: 08253d91  add	x8, x8, #0xf49
0xfffffff0088a9080: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a9084: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088a9088: c80f8052  mov	w8, #0x7e
0xfffffff0088a908c: 604bff90  adrp	x0, #0xfffffff007215000
0xfffffff0088a9090: 00a81491  add	x0, x0, #0x52a
