; Candidate 9658
; ADRP+ADD at VM 0xfffffff008aa03cc (fileoff 0x1a9c3cc): page=0x1fe817000 add_imm=0xe18

0xfffffff008aa034c: 60000036  tbz	w0, #0, #0xfffffff008aa0358
0xfffffff008aa0350: 01000014  b	#0xfffffff008aa0354
0xfffffff008aa0354: 2a000014  b	#0xfffffff008aa03fc
0xfffffff008aa0358: decfd097  bl	#0xfffffff007ed42d0
0xfffffff008aa035c: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff008aa0360: 080008eb  subs	x8, x0, x8
0xfffffff008aa0364: a9035ef8  ldur	x9, [x29, #-0x20]
0xfffffff008aa0368: 080109eb  subs	x8, x8, x9
0xfffffff008aa036c: e8879f1a  cset	w8, ls
0xfffffff008aa0370: 08040037  tbnz	w8, #0, #0xfffffff008aa03f0
0xfffffff008aa0374: 01000014  b	#0xfffffff008aa0378
0xfffffff008aa0378: 01000014  b	#0xfffffff008aa037c
0xfffffff008aa037c: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008aa0380: 086149b9  ldr	w8, [x8, #0x960]
0xfffffff008aa0384: 0900b052  mov	w9, #-0xffffffff80000000
0xfffffff008aa0388: 0801096a  ands	w8, w8, w9
0xfffffff008aa038c: e8179f1a  cset	w8, eq
0xfffffff008aa0390: 68020037  tbnz	w8, #0, #0xfffffff008aa03dc
0xfffffff008aa0394: 01000014  b	#0xfffffff008aa0398
0xfffffff008aa0398: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008aa039c: 09b140b9  ldr	w9, [x8, #0xb0]
0xfffffff008aa03a0: eb0309aa  mov	x11, x9
0xfffffff008aa03a4: 0a6540f9  ldr	x10, [x8, #0xc8]
0xfffffff008aa03a8: a9c35db8  ldur	w9, [x29, #-0x24]
0xfffffff008aa03ac: e80309aa  mov	x8, x9
0xfffffff008aa03b0: e9030091  mov	x9, sp
0xfffffff008aa03b4: 2b0100f9  str	x11, [x9]
0xfffffff008aa03b8: 2a0500f9  str	x10, [x9, #8]
0xfffffff008aa03bc: aa40fff0  adrp	x10, #0xfffffff0072b7000
0xfffffff008aa03c0: 4a6d3991  add	x10, x10, #0xe5b
0xfffffff008aa03c4: 2a0900f9  str	x10, [x9, #0x10]
0xfffffff008aa03c8: 280d00f9  str	x8, [x9, #0x18]
0xfffffff008aa03cc: a040fff0  adrp	x0, #0xfffffff0072b7000
0xfffffff008aa03d0: 00603891  add	x0, x0, #0xe18
0xfffffff008aa03d4: 5f3ce797  bl	#0xfffffff00846f550
0xfffffff008aa03d8: 01000014  b	#0xfffffff008aa03dc
0xfffffff008aa03dc: 01000014  b	#0xfffffff008aa03e0
0xfffffff008aa03e0: c85a8052  mov	w8, #0x2d6
0xfffffff008aa03e4: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008aa03e8: a8431fb8  stur	w8, [x29, #-0xc]
0xfffffff008aa03ec: 04000014  b	#0xfffffff008aa03fc
0xfffffff008aa03f0: 20008052  mov	w0, #1
0xfffffff008aa03f4: fddae297  bl	#0xfffffff008356fe8
0xfffffff008aa03f8: c2ffff17  b	#0xfffffff008aa0300
0xfffffff008aa03fc: 20008052  mov	w0, #1
0xfffffff008aa0400: fadae297  bl	#0xfffffff008356fe8
0xfffffff008aa0404: a0435fb8  ldur	w0, [x29, #-0xc]
0xfffffff008aa0408: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008aa040c: ffc30191  add	sp, sp, #0x70
0xfffffff008aa0410: ff0f5fd6  retab	
0xfffffff008aa0414: 5f2403d5  bti	c
0xfffffff008aa0418: ff4300d1  sub	sp, sp, #0x10
0xfffffff008aa041c: e00700f9  str	x0, [sp, #8]
0xfffffff008aa0420: e80740f9  ldr	x8, [sp, #8]
0xfffffff008aa0424: 081942b9  ldr	w8, [x8, #0x218]
0xfffffff008aa0428: 08090071  subs	w8, w8, #2
0xfffffff008aa042c: e8179f1a  cset	w8, eq
0xfffffff008aa0430: 00010012  and	w0, w8, #1
0xfffffff008aa0434: ff430091  add	sp, sp, #0x10
0xfffffff008aa0438: c0035fd6  ret	
0xfffffff008aa043c: 5f2403d5  bti	c
0xfffffff008aa0440: ff8300d1  sub	sp, sp, #0x20
0xfffffff008aa0444: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008aa0448: e10f00b9  str	w1, [sp, #0xc]
