; Candidate 5023
; ADRP+ADD at VM 0xfffffff0087d2b7c (fileoff 0x17ceb7c): page=0x1fea17000 add_imm=0xe80

0xfffffff0087d2afc: c12ad697  bl	#0xfffffff007d5d600
0xfffffff0087d2b00: f70300aa  mov	x23, x0
0xfffffff0087d2b04: 40008052  mov	w0, #2
0xfffffff0087d2b08: 01008052  mov	w1, #0
0xfffffff0087d2b0c: 31a30294  bl	#0xfffffff00887b7d0
0xfffffff0087d2b10: 60040034  cbz	w0, #0xfffffff0087d2b9c
0xfffffff0087d2b14: 40008052  mov	w0, #2
0xfffffff0087d2b18: 40a30294  bl	#0xfffffff00887b818
0xfffffff0087d2b1c: f90300aa  mov	x25, x0
0xfffffff0087d2b20: a3850394  bl	#0xfffffff0088b41ac
0xfffffff0087d2b24: f80300aa  mov	x24, x0
0xfffffff0087d2b28: 00008052  mov	w0, #0
0xfffffff0087d2b2c: 49a30294  bl	#0xfffffff00887b850
0xfffffff0087d2b30: 68c3378b  add	x8, x27, w23, sxtw
0xfffffff0087d2b34: 1b050091  add	x27, x8, #1
0xfffffff0087d2b38: 39010034  cbz	w25, #0xfffffff0087d2b5c
0xfffffff0087d2b3c: f6ef01a9  stp	x22, x27, [sp, #0x18]
0xfffffff0087d2b40: 48008052  mov	w8, #2
0xfffffff0087d2b44: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d2b48: f80300f9  str	x24, [sp]
0xfffffff0087d2b4c: e051fff0  adrp	x0, #0xfffffff007211000
0xfffffff0087d2b50: 00ec1491  add	x0, x0, #0x53b
0xfffffff0087d2b54: 4392d797  bl	#0xfffffff007db7460
0xfffffff0087d2b58: 11000014  b	#0xfffffff0087d2b9c
0xfffffff0087d2b5c: 94850394  bl	#0xfffffff0088b41ac
0xfffffff0087d2b60: f70300aa  mov	x23, x0
0xfffffff0087d2b64: 00008052  mov	w0, #0
0xfffffff0087d2b68: 3aa30294  bl	#0xfffffff00887b850
0xfffffff0087d2b6c: f6ef01a9  stp	x22, x27, [sp, #0x18]
0xfffffff0087d2b70: 48008052  mov	w8, #2
0xfffffff0087d2b74: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d2b78: f70300f9  str	x23, [sp]
0xfffffff0087d2b7c: a050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d2b80: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d2b84: a191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d2b88: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d2b8c: 4353ffb0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d2b90: 636c0191  add	x3, x3, #0x5b
0xfffffff0087d2b94: 02008052  mov	w2, #0
0xfffffff0087d2b98: 6681ed97  bl	#0xfffffff008333130
0xfffffff0087d2b9c: 40130011  add	w0, w26, #4
0xfffffff0087d2ba0: e1008052  mov	w1, #7
0xfffffff0087d2ba4: 020080d2  mov	x2, #0
0xfffffff0087d2ba8: 030080d2  mov	x3, #0
0xfffffff0087d2bac: 040080d2  mov	x4, #0
0xfffffff0087d2bb0: 050080d2  mov	x5, #0
0xfffffff0087d2bb4: d4ace697  bl	#0xfffffff00817df04
0xfffffff0087d2bb8: 55070034  cbz	w21, #0xfffffff0087d2ca0
0xfffffff0087d2bbc: 000a8052  mov	w0, #0x50
0xfffffff0087d2bc0: 81008052  mov	w1, #4
0xfffffff0087d2bc4: 03a30294  bl	#0xfffffff00887b7d0
0xfffffff0087d2bc8: c0060034  cbz	w0, #0xfffffff0087d2ca0
0xfffffff0087d2bcc: 000a8052  mov	w0, #0x50
0xfffffff0087d2bd0: 12a30294  bl	#0xfffffff00887b818
0xfffffff0087d2bd4: f80300aa  mov	x24, x0
0xfffffff0087d2bd8: 75850394  bl	#0xfffffff0088b41ac
0xfffffff0087d2bdc: f70300aa  mov	x23, x0
0xfffffff0087d2be0: 80008052  mov	w0, #4
0xfffffff0087d2be4: 1ba30294  bl	#0xfffffff00887b850
0xfffffff0087d2be8: 78020034  cbz	w24, #0xfffffff0087d2c34
0xfffffff0087d2bec: f6d704a9  stp	x22, x21, [sp, #0x48]
0xfffffff0087d2bf0: e851ffd0  adrp	x8, #0xfffffff007210000
0xfffffff0087d2bf4: 0a553791  add	x10, x8, #0xdd5
0xfffffff0087d2bf8: f3d303a9  stp	x19, x20, [sp, #0x38]
