; Candidate 9137
; ADRP+ADD at VM 0xfffffff0089fc58c (fileoff 0x19f858c): page=0x1fe898000 add_imm=0xdf4

0xfffffff0089fc50c: 4d018d9a  csel	x13, x10, x13, eq
0xfffffff0089fc510: a90100f9  str	x9, [x13]
0xfffffff0089fc514: 2c0100f9  str	x12, [x9]
0xfffffff0089fc518: 7f0d00f9  str	xzr, [x11, #0x18]
0xfffffff0089fc51c: ac0240f9  ldr	x12, [x21]
0xfffffff0089fc520: 8d810091  add	x13, x12, #0x20
0xfffffff0089fc524: 9f0115eb  cmp	x12, x21
0xfffffff0089fc528: 0d018d9a  csel	x13, x8, x13, eq
0xfffffff0089fc52c: ab0100f9  str	x11, [x13]
0xfffffff0089fc530: 6cd501a9  stp	x12, x21, [x11, #0x18]
0xfffffff0089fc534: ab0200f9  str	x11, [x21]
0xfffffff0089fc538: 7b0700d1  sub	x27, x27, #1
0xfffffff0089fc53c: 1bfeffb5  cbnz	x27, #0xfffffff0089fc4fc
0xfffffff0089fc540: c04240f9  ldr	x0, [x22, #0x80]
0xfffffff0089fc544: 7ec0ce97  bl	#0xfffffff007dac73c
0xfffffff0089fc548: bb0240f9  ldr	x27, [x21]
0xfffffff0089fc54c: 7f0315eb  cmp	x27, x21
0xfffffff0089fc550: c0f7ff54  b.eq	#0xfffffff0089fc448
0xfffffff0089fc554: 60230091  add	x0, x27, #8
0xfffffff0089fc558: 619be397  bl	#0xfffffff0082e32dc
0xfffffff0089fc55c: 7b0f40f9  ldr	x27, [x27, #0x18]
0xfffffff0089fc560: fbffff17  b	#0xfffffff0089fc54c
0xfffffff0089fc564: c844ffd0  adrp	x8, #0xfffffff007296000
0xfffffff0089fc568: 08ed0991  add	x8, x8, #0x27b
0xfffffff0089fc56c: c9338052  mov	w9, #0x19e
0xfffffff0089fc570: ca44ff90  adrp	x10, #0xfffffff007294000
0xfffffff0089fc574: 4a853991  add	x10, x10, #0xe61
0xfffffff0089fc578: cb44ffb0  adrp	x11, #0xfffffff007295000
0xfffffff0089fc57c: 6bd52291  add	x11, x11, #0x8b5
0xfffffff0089fc580: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089fc584: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089fc588: eb0300f9  str	x11, [sp]
0xfffffff0089fc58c: c044ff90  adrp	x0, #0xfffffff007294000
0xfffffff0089fc590: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089fc594: b3ebce97  bl	#0xfffffff007db7460
0xfffffff0089fc598: c7ffff17  b	#0xfffffff0089fc4b4
0xfffffff0089fc59c: c844ffd0  adrp	x8, #0xfffffff007296000
0xfffffff0089fc5a0: 08ed0991  add	x8, x8, #0x27b
0xfffffff0089fc5a4: c9368052  mov	w9, #0x1b6
0xfffffff0089fc5a8: ca44ff90  adrp	x10, #0xfffffff007294000
0xfffffff0089fc5ac: 4a853991  add	x10, x10, #0xe61
0xfffffff0089fc5b0: cb44ffd0  adrp	x11, #0xfffffff007296000
0xfffffff0089fc5b4: 6b550d91  add	x11, x11, #0x355
0xfffffff0089fc5b8: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089fc5bc: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089fc5c0: eb0300f9  str	x11, [sp]
0xfffffff0089fc5c4: c044ff90  adrp	x0, #0xfffffff007294000
0xfffffff0089fc5c8: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089fc5cc: a5ebce97  bl	#0xfffffff007db7460
0xfffffff0089fc5d0: e00317aa  mov	x0, x23
0xfffffff0089fc5d4: e10318aa  mov	x1, x24
0xfffffff0089fc5d8: 84ddff97  bl	#0xfffffff0089f3be8
0xfffffff0089fc5dc: a9ffff17  b	#0xfffffff0089fc480
0xfffffff0089fc5e0: 7f2303d5  pacibsp	
0xfffffff0089fc5e4: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0089fc5e8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0089fc5ec: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0089fc5f0: fd830091  add	x29, sp, #0x20
0xfffffff0089fc5f4: f30303aa  mov	x19, x3
0xfffffff0089fc5f8: f50302aa  mov	x21, x2
0xfffffff0089fc5fc: f60301aa  mov	x22, x1
0xfffffff0089fc600: f40300aa  mov	x20, x0
0xfffffff0089fc604: 001440f9  ldr	x0, [x0, #0x28]
0xfffffff0089fc608: 31bdce97  bl	#0xfffffff007dabacc
