; Candidate 6382
; ADRP+ADD at VM 0xfffffff008828670 (fileoff 0x1824670): page=0x1fe9c1000 add_imm=0xe80

0xfffffff0088285f0: 17020034  cbz	w23, #0xfffffff008828630
0xfffffff0088285f4: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088285f8: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0088285fc: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008828600: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828604: 093d2391  add	x9, x8, #0x8cf
0xfffffff008828608: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff00882860c: 08653291  add	x8, x8, #0xc99
0xfffffff008828610: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008828614: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008828618: e80a8052  mov	w8, #0x57
0xfffffff00882861c: 404fffd0  adrp	x0, #0xfffffff007212000
0xfffffff008828620: 00701b91  add	x0, x0, #0x6dc
0xfffffff008828624: f62300a9  stp	x22, x8, [sp]
0xfffffff008828628: 8e3bd697  bl	#0xfffffff007db7460
0xfffffff00882862c: 19000014  b	#0xfffffff008828690
0xfffffff008828630: df2e0294  bl	#0xfffffff0088b41ac
0xfffffff008828634: f60300aa  mov	x22, x0
0xfffffff008828638: e0008052  mov	w0, #7
0xfffffff00882863c: 854c0194  bl	#0xfffffff00887b850
0xfffffff008828640: e80315aa  mov	x8, x21
0xfffffff008828644: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008828648: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff00882864c: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff008828650: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828654: 0a3d2391  add	x10, x8, #0x8cf
0xfffffff008828658: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff00882865c: 08653291  add	x8, x8, #0xc99
0xfffffff008828660: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008828664: e80a8052  mov	w8, #0x57
0xfffffff008828668: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00882866c: f60300f9  str	x22, [sp]
0xfffffff008828670: 004effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008828674: 00003a91  add	x0, x0, #0xe80
0xfffffff008828678: 018fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00882867c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008828680: 0351fff0  adrp	x3, #0xfffffff00724b000
0xfffffff008828684: 63782491  add	x3, x3, #0x91e
0xfffffff008828688: 02008052  mov	w2, #0
0xfffffff00882868c: a92aec97  bl	#0xfffffff008333130
0xfffffff008828690: e00315aa  mov	x0, x21
0xfffffff008828694: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008828698: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00882869c: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0088286a0: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0088286a4: ff430291  add	sp, sp, #0x90
0xfffffff0088286a8: ff0f5fd6  retab	
0xfffffff0088286ac: 7f2303d5  pacibsp	
0xfffffff0088286b0: ff8302d1  sub	sp, sp, #0xa0
0xfffffff0088286b4: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff0088286b8: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff0088286bc: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff0088286c0: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff0088286c4: fd430291  add	x29, sp, #0x90
0xfffffff0088286c8: f40301aa  mov	x20, x1
0xfffffff0088286cc: f30300aa  mov	x19, x0
0xfffffff0088286d0: e00a8052  mov	w0, #0x57
0xfffffff0088286d4: c1008052  mov	w1, #6
0xfffffff0088286d8: 3e4c0194  bl	#0xfffffff00887b7d0
0xfffffff0088286dc: e0050034  cbz	w0, #0xfffffff008828798
0xfffffff0088286e0: e00a8052  mov	w0, #0x57
0xfffffff0088286e4: 4d4c0194  bl	#0xfffffff00887b818
0xfffffff0088286e8: f60300aa  mov	x22, x0
0xfffffff0088286ec: b02e0294  bl	#0xfffffff0088b41ac
