; Candidate 7756
; ADRP+ADD at VM 0xfffffff00887d794 (fileoff 0x1879794): page=0x1fe96c000 add_imm=0xe80

0xfffffff00887d714: 17020034  cbz	w23, #0xfffffff00887d754
0xfffffff00887d718: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff00887d71c: f4db03a9  stp	x20, x22, [sp, #0x38]
0xfffffff00887d720: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00887d724: 684dfff0  adrp	x8, #0xfffffff00722c000
0xfffffff00887d728: 09910a91  add	x9, x8, #0x2a4
0xfffffff00887d72c: 684dfff0  adrp	x8, #0xfffffff00722c000
0xfffffff00887d730: 08b91891  add	x8, x8, #0x62e
0xfffffff00887d734: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00887d738: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00887d73c: 280b8052  mov	w8, #0x59
0xfffffff00887d740: 204dff90  adrp	x0, #0xfffffff007221000
0xfffffff00887d744: 00342691  add	x0, x0, #0x98d
0xfffffff00887d748: f52300a9  stp	x21, x8, [sp]
0xfffffff00887d74c: 45e7d497  bl	#0xfffffff007db7460
0xfffffff00887d750: 19000014  b	#0xfffffff00887d7b4
0xfffffff00887d754: 96da0094  bl	#0xfffffff0088b41ac
0xfffffff00887d758: f50300aa  mov	x21, x0
0xfffffff00887d75c: e0008052  mov	w0, #7
0xfffffff00887d760: 3cf8ff97  bl	#0xfffffff00887b850
0xfffffff00887d764: e80316aa  mov	x8, x22
0xfffffff00887d768: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff00887d76c: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff00887d770: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff00887d774: 684dfff0  adrp	x8, #0xfffffff00722c000
0xfffffff00887d778: 0a910a91  add	x10, x8, #0x2a4
0xfffffff00887d77c: 684dfff0  adrp	x8, #0xfffffff00722c000
0xfffffff00887d780: 08b91891  add	x8, x8, #0x62e
0xfffffff00887d784: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00887d788: 280b8052  mov	w8, #0x59
0xfffffff00887d78c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887d790: f50300f9  str	x21, [sp]
0xfffffff00887d794: 604bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00887d798: 00003a91  add	x0, x0, #0xe80
0xfffffff00887d79c: 418cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00887d7a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887d7a4: e34effd0  adrp	x3, #0xfffffff00725b000
0xfffffff00887d7a8: 63b40591  add	x3, x3, #0x16d
0xfffffff00887d7ac: 02008052  mov	w2, #0
0xfffffff00887d7b0: 60d6ea97  bl	#0xfffffff008333130
0xfffffff00887d7b4: e00316aa  mov	x0, x22
0xfffffff00887d7b8: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff00887d7bc: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff00887d7c0: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff00887d7c4: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff00887d7c8: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff00887d7cc: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff00887d7d0: ff030391  add	sp, sp, #0xc0
0xfffffff00887d7d4: ff0f5fd6  retab	
0xfffffff00887d7d8: 200b8052  mov	w0, #0x59
0xfffffff00887d7dc: 81008052  mov	w1, #4
0xfffffff00887d7e0: fcf7ff97  bl	#0xfffffff00887b7d0
0xfffffff00887d7e4: e00c0034  cbz	w0, #0xfffffff00887d980
0xfffffff00887d7e8: 200b8052  mov	w0, #0x59
0xfffffff00887d7ec: 0bf8ff97  bl	#0xfffffff00887b818
0xfffffff00887d7f0: f60300aa  mov	x22, x0
0xfffffff00887d7f4: 6eda0094  bl	#0xfffffff0088b41ac
0xfffffff00887d7f8: f50300aa  mov	x21, x0
0xfffffff00887d7fc: 80008052  mov	w0, #4
0xfffffff00887d800: 14f8ff97  bl	#0xfffffff00887b850
0xfffffff00887d804: b6080034  cbz	w22, #0xfffffff00887d918
0xfffffff00887d808: 68264329  ldp	w8, w9, [x19, #0x18]
0xfffffff00887d80c: aa4cff90  adrp	x10, #0xfffffff007211000
0xfffffff00887d810: 4a591891  add	x10, x10, #0x616
