; Candidate 3997
; ADRP+ADD at VM 0xfffffff008781728 (fileoff 0x177d728): page=0x1fe9b0000 add_imm=0xd90

0xfffffff0087816a8: 08d941f9  ldr	x8, [x8, #0x3b0]
0xfffffff0087816ac: 080140f9  ldr	x8, [x8]
0xfffffff0087816b0: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff0087816b4: bfff3ba9  stp	xzr, xzr, [x29, #-0x48]
0xfffffff0087816b8: ffff04a9  stp	xzr, xzr, [sp, #0x48]
0xfffffff0087816bc: ffff03a9  stp	xzr, xzr, [sp, #0x38]
0xfffffff0087816c0: ffff02a9  stp	xzr, xzr, [sp, #0x28]
0xfffffff0087816c4: 15009852  mov	w21, #0xc000
0xfffffff0087816c8: 1522a072  movk	w21, #0x110, lsl #16
0xfffffff0087816cc: b62301d1  sub	x22, x29, #0x48
0xfffffff0087816d0: 8102150b  add	w1, w20, w21
0xfffffff0087816d4: 700240f9  ldr	x16, [x19]
0xfffffff0087816d8: f10313aa  mov	x17, x19
0xfffffff0087816dc: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff0087816e0: 301ac1da  autda	x16, x17
0xfffffff0087816e4: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff0087816e8: e90310aa  mov	x9, x16
0xfffffff0087816ec: e00313aa  mov	x0, x19
0xfffffff0087816f0: f10309aa  mov	x17, x9
0xfffffff0087816f4: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff0087816f8: 11093fd7  blraa	x8, x17
0xfffffff0087816fc: c06a34b8  str	w0, [x22, x20]
0xfffffff008781700: 94120091  add	x20, x20, #4
0xfffffff008781704: 9f420071  cmp	w20, #0x10
0xfffffff008781708: 41feff54  b.ne	#0xfffffff0087816d0
0xfffffff00878170c: a8277729  ldp	w8, w9, [x29, #-0x48]
0xfffffff008781710: aa2f7829  ldp	w10, w11, [x29, #-0x40]
0xfffffff008781714: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008781718: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00878171c: 764efff0  adrp	x22, #0xfffffff007150000
0xfffffff008781720: d6e62b91  add	x22, x22, #0xaf9
0xfffffff008781724: f60300f9  str	x22, [sp]
0xfffffff008781728: 804dff90  adrp	x0, #0xfffffff007131000
0xfffffff00878172c: 00403691  add	x0, x0, #0xd90
0xfffffff008781730: e193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008781734: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008781738: 234eff90  adrp	x3, #0xfffffff007145000
0xfffffff00878173c: 635c0a91  add	x3, x3, #0x297
0xfffffff008781740: 02008052  mov	w2, #0
0xfffffff008781744: 7bc6ee97  bl	#0xfffffff008333130
0xfffffff008781748: 140080d2  mov	x20, #0
0xfffffff00878174c: 95018452  mov	w21, #0x200c
0xfffffff008781750: 1522a072  movk	w21, #0x110, lsl #16
0xfffffff008781754: f7230191  add	x23, sp, #0x48
0xfffffff008781758: 8102150b  add	w1, w20, w21
0xfffffff00878175c: 700240f9  ldr	x16, [x19]
0xfffffff008781760: f10313aa  mov	x17, x19
0xfffffff008781764: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff008781768: 301ac1da  autda	x16, x17
0xfffffff00878176c: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff008781770: e90310aa  mov	x9, x16
0xfffffff008781774: e00313aa  mov	x0, x19
0xfffffff008781778: f10309aa  mov	x17, x9
0xfffffff00878177c: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff008781780: 11093fd7  blraa	x8, x17
0xfffffff008781784: e06a34b8  str	w0, [x23, x20]
0xfffffff008781788: 94120091  add	x20, x20, #4
0xfffffff00878178c: 9f420071  cmp	w20, #0x10
0xfffffff008781790: 41feff54  b.ne	#0xfffffff008781758
0xfffffff008781794: 14018052  mov	w20, #8
0xfffffff008781798: 1422a072  movk	w20, #0x110, lsl #16
0xfffffff00878179c: e8274929  ldp	w8, w9, [sp, #0x48]
0xfffffff0087817a0: ea2f4a29  ldp	w10, w11, [sp, #0x50]
0xfffffff0087817a4: eaaf01a9  stp	x10, x11, [sp, #0x18]
