; Candidate 902
; ADRP+ADD at VM 0xfffffff0080fe8ac (fileoff 0x10fa8ac): page=0x1fef7b000 add_imm=0xcdc

0xfffffff0080fe82c: 62868052  mov	w2, #0x433
0xfffffff0080fe830: f9830e94  bl	#0xfffffff00849f814
0xfffffff0080fe834: 682a40b9  ldr	w8, [x19, #0x28]
0xfffffff0080fe838: 0a09c05a  rev	w10, w8
0xfffffff0080fe83c: c87bfff0  adrp	x8, #0xfffffff007079000
0xfffffff0080fe840: 085d0d91  add	x8, x8, #0x357
0xfffffff0080fe844: 49878052  mov	w9, #0x43a
0xfffffff0080fe848: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff0080fe84c: e80300f9  str	x8, [sp]
0xfffffff0080fe850: c17bfff0  adrp	x1, #0xfffffff007079000
0xfffffff0080fe854: 21c00d91  add	x1, x1, #0x370
0xfffffff0080fe858: 9a5bf297  bl	#0xfffffff007d956c0
0xfffffff0080fe85c: da028052  mov	w26, #0x16
0xfffffff0080fe860: 9bffff17  b	#0xfffffff0080fe6cc
0xfffffff0080fe864: fa0300aa  mov	x26, x0
0xfffffff0080fe868: 10ffff17  b	#0xfffffff0080fe4a8
0xfffffff0080fe86c: c07bfff0  adrp	x0, #0xfffffff007079000
0xfffffff0080fe870: 004c3291  add	x0, x0, #0xc93
0xfffffff0080fe874: c17bfff0  adrp	x1, #0xfffffff007079000
0xfffffff0080fe878: 21500591  add	x1, x1, #0x154
0xfffffff0080fe87c: e2888052  mov	w2, #0x447
0xfffffff0080fe880: e5830e94  bl	#0xfffffff00849f814
0xfffffff0080fe884: 688b8052  mov	w8, #0x45b
0xfffffff0080fe888: c97bfff0  adrp	x9, #0xfffffff007079000
0xfffffff0080fe88c: 29cd0691  add	x9, x9, #0x1b3
0xfffffff0080fe890: ca7bfff0  adrp	x10, #0xfffffff007079000
0xfffffff0080fe894: 4a5d0d91  add	x10, x10, #0x357
0xfffffff0080fe898: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080fe89c: ea2300a9  stp	x10, x8, [sp]
0xfffffff0080fe8a0: c07bfff0  adrp	x0, #0xfffffff007079000
0xfffffff0080fe8a4: 00203191  add	x0, x0, #0xc48
0xfffffff0080fe8a8: 19570e94  bl	#0xfffffff00849450c
0xfffffff0080fe8ac: c07bfff0  adrp	x0, #0xfffffff007079000
0xfffffff0080fe8b0: 00703391  add	x0, x0, #0xcdc
0xfffffff0080fe8b4: c17bfff0  adrp	x1, #0xfffffff007079000
0xfffffff0080fe8b8: 21500591  add	x1, x1, #0x154
0xfffffff0080fe8bc: 02898052  mov	w2, #0x448
0xfffffff0080fe8c0: d5830e94  bl	#0xfffffff00849f814
0xfffffff0080fe8c4: c07bfff0  adrp	x0, #0xfffffff007079000
0xfffffff0080fe8c8: 00f80f91  add	x0, x0, #0x3fe
0xfffffff0080fe8cc: c17bfff0  adrp	x1, #0xfffffff007079000
0xfffffff0080fe8d0: 21500591  add	x1, x1, #0x154
0xfffffff0080fe8d4: 828b8052  mov	w2, #0x45c
0xfffffff0080fe8d8: cf830e94  bl	#0xfffffff00849f814
0xfffffff0080fe8dc: fa0300aa  mov	x26, x0
0xfffffff0080fe8e0: 3dffff17  b	#0xfffffff0080fe5d4
0xfffffff0080fe8e4: fa0300aa  mov	x26, x0
0xfffffff0080fe8e8: 61ffff17  b	#0xfffffff0080fe66c
0xfffffff0080fe8ec: fa0300aa  mov	x26, x0
0xfffffff0080fe8f0: 6affff17  b	#0xfffffff0080fe698
0xfffffff0080fe8f4: 567df197  bl	#0xfffffff007d5de4c
0xfffffff0080fe8f8: 7f2303d5  pacibsp	
0xfffffff0080fe8fc: ff8302d1  sub	sp, sp, #0xa0
0xfffffff0080fe900: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff0080fe904: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff0080fe908: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff0080fe90c: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff0080fe910: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff0080fe914: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff0080fe918: fd430291  add	x29, sp, #0x90
0xfffffff0080fe91c: 480601b0  adrp	x8, #0xfffffff00a1c7000
0xfffffff0080fe920: 08010091  add	x8, x8, #0
0xfffffff0080fe924: 080140f9  ldr	x8, [x8]
0xfffffff0080fe928: e81f00f9  str	x8, [sp, #0x38]
