; Candidate 10388
; ADRP+ADD at VM 0xfffffff008d24ce8 (fileoff 0x1d20ce8): page=0x1fe658000 add_imm=0xcfc

0xfffffff008d24c68: 68a641a9  ldp	x8, x9, [x19, #0x18]
0xfffffff008d24c6c: d632ffd0  adrp	x22, #0xfffffff00737e000
0xfffffff008d24c70: d6520291  add	x22, x22, #0x94
0xfffffff008d24c74: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008d24c78: f60300f9  str	x22, [sp]
0xfffffff008d24c7c: c032ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d24c80: 00283291  add	x0, x0, #0xc8a
0xfffffff008d24c84: de2d0094  bl	#0xfffffff008d303fc
0xfffffff008d24c88: 78de42a9  ldp	x24, x23, [x19, #0x28]
0xfffffff008d24c8c: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff008d24c90: 100040f9  ldr	x16, [x0]
0xfffffff008d24c94: f10300aa  mov	x17, x0
0xfffffff008d24c98: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d24c9c: 301ac1da  autda	x16, x17
0xfffffff008d24ca0: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff008d24ca4: e90310aa  mov	x9, x16
0xfffffff008d24ca8: f10309aa  mov	x17, x9
0xfffffff008d24cac: 5172f6f2  movk	x17, #0xb392, lsl #48
0xfffffff008d24cb0: 11093fd7  blraa	x8, x17
0xfffffff008d24cb4: f80301a9  stp	x24, x0, [sp, #0x10]
0xfffffff008d24cb8: f65f00a9  stp	x22, x23, [sp]
0xfffffff008d24cbc: c032ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d24cc0: 00dc3291  add	x0, x0, #0xcb7
0xfffffff008d24cc4: ce2d0094  bl	#0xfffffff008d303fc
0xfffffff008d24cc8: 69a242a9  ldp	x9, x8, [x19, #0x28]
0xfffffff008d24ccc: 0a01158b  add	x10, x8, x21
0xfffffff008d24cd0: 0801148b  add	x8, x8, x20
0xfffffff008d24cd4: 6aa203a9  stp	x10, x8, [x19, #0x38]
0xfffffff008d24cd8: 2801158b  add	x8, x9, x21
0xfffffff008d24cdc: 2901148b  add	x9, x9, x20
0xfffffff008d24ce0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008d24ce4: f60300f9  str	x22, [sp]
0xfffffff008d24ce8: c032ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d24cec: 00f03391  add	x0, x0, #0xcfc
0xfffffff008d24cf0: c32d0094  bl	#0xfffffff008d303fc
0xfffffff008d24cf4: 20008052  mov	w0, #1
0xfffffff008d24cf8: 0e000014  b	#0xfffffff008d24d30
0xfffffff008d24cfc: c832ffd0  adrp	x8, #0xfffffff00737e000
0xfffffff008d24d00: 08510291  add	x8, x8, #0x94
0xfffffff008d24d04: e87f00a9  stp	x8, xzr, [sp]
0xfffffff008d24d08: c032ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d24d0c: 00fc1a91  add	x0, x0, #0x6bf
0xfffffff008d24d10: 06000014  b	#0xfffffff008d24d28
0xfffffff008d24d14: c832ffd0  adrp	x8, #0xfffffff00737e000
0xfffffff008d24d18: 08510291  add	x8, x8, #0x94
0xfffffff008d24d1c: e87f00a9  stp	x8, xzr, [sp]
0xfffffff008d24d20: c032ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d24d24: 00ec1b91  add	x0, x0, #0x6fb
0xfffffff008d24d28: b52d0094  bl	#0xfffffff008d303fc
0xfffffff008d24d2c: 00008052  mov	w0, #0
0xfffffff008d24d30: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008d24d34: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008d24d38: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008d24d3c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008d24d40: ff830191  add	sp, sp, #0x60
0xfffffff008d24d44: ff0f5fd6  retab	
0xfffffff008d24d48: 5f2403d5  bti	c
0xfffffff008d24d4c: 004000d1  sub	x0, x0, #0x10
0xfffffff008d24d50: 7dffff17  b	#0xfffffff008d24b44
0xfffffff008d24d54: 5f2403d5  bti	c
0xfffffff008d24d58: 09008052  mov	w9, #0
0xfffffff008d24d5c: 081c40f9  ldr	x8, [x0, #0x38]
0xfffffff008d24d60: 1f0100b9  str	wzr, [x8]
0xfffffff008d24d64: 0a2040f9  ldr	x10, [x0, #0x40]
