; Candidate 10114
; ADRP+ADD at VM 0xfffffff008ca8b34 (fileoff 0x1ca4b34): page=0x1fe6aa000 add_imm=0xde0

0xfffffff008ca8ab4: 881e7d39  ldrb	w8, [x20, #0xf47]
0xfffffff008ca8ab8: 68010034  cbz	w8, #0xfffffff008ca8ae4
0xfffffff008ca8abc: e00313aa  mov	x0, x19
0xfffffff008ca8ac0: 10842a94  bl	#0xfffffff009749b00
0xfffffff008ca8ac4: 1f080071  cmp	w0, #2
0xfffffff008ca8ac8: e0000054  b.eq	#0xfffffff008ca8ae4
0xfffffff008ca8acc: 41008052  mov	w1, #2
0xfffffff008ca8ad0: 02000014  b	#0xfffffff008ca8ad8
0xfffffff008ca8ad4: 21008052  mov	w1, #1
0xfffffff008ca8ad8: e00313aa  mov	x0, x19
0xfffffff008ca8adc: 07862a94  bl	#0xfffffff00974a2f8
0xfffffff008ca8ae0: 36008052  mov	w22, #1
0xfffffff008ca8ae4: e00314aa  mov	x0, x20
0xfffffff008ca8ae8: 61008052  mov	w1, #3
0xfffffff008ca8aec: aae02a94  bl	#0xfffffff009760d94
0xfffffff008ca8af0: 80020036  tbz	w0, #0, #0xfffffff008ca8b40
0xfffffff008ca8af4: b6010034  cbz	w22, #0xfffffff008ca8b28
0xfffffff008ca8af8: 700240f9  ldr	x16, [x19]
0xfffffff008ca8afc: f10313aa  mov	x17, x19
0xfffffff008ca8b00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca8b04: 301ac1da  autda	x16, x17
0xfffffff008ca8b08: 11ae80d2  mov	x17, #0x570
0xfffffff008ca8b0c: 1002118b  add	x16, x16, x17
0xfffffff008ca8b10: 080240f9  ldr	x8, [x16]
0xfffffff008ca8b14: e90310aa  mov	x9, x16
0xfffffff008ca8b18: e00313aa  mov	x0, x19
0xfffffff008ca8b1c: f10309aa  mov	x17, x9
0xfffffff008ca8b20: 5162f0f2  movk	x17, #0x8312, lsl #48
0xfffffff008ca8b24: 11093fd7  blraa	x8, x17
0xfffffff008ca8b28: 16008052  mov	w22, #0
0xfffffff008ca8b2c: 88f27d39  ldrb	w8, [x20, #0xf7c]
0xfffffff008ca8b30: a8032036  tbz	w8, #4, #0xfffffff008ca8ba4
0xfffffff008ca8b34: 4035ffd0  adrp	x0, #0xfffffff007352000
0xfffffff008ca8b38: 00803791  add	x0, x0, #0xde0
0xfffffff008ca8b3c: 17000014  b	#0xfffffff008ca8b98
0xfffffff008ca8b40: 700240f9  ldr	x16, [x19]
0xfffffff008ca8b44: f10313aa  mov	x17, x19
0xfffffff008ca8b48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca8b4c: 301ac1da  autda	x16, x17
0xfffffff008ca8b50: 11ae80d2  mov	x17, #0x570
0xfffffff008ca8b54: 1002118b  add	x16, x16, x17
0xfffffff008ca8b58: 080240f9  ldr	x8, [x16]
0xfffffff008ca8b5c: e90310aa  mov	x9, x16
0xfffffff008ca8b60: e00313aa  mov	x0, x19
0xfffffff008ca8b64: f10309aa  mov	x17, x9
0xfffffff008ca8b68: 5162f0f2  movk	x17, #0x8312, lsl #48
0xfffffff008ca8b6c: 11093fd7  blraa	x8, x17
0xfffffff008ca8b70: e00314aa  mov	x0, x20
0xfffffff008ca8b74: e10313aa  mov	x1, x19
0xfffffff008ca8b78: 02008052  mov	w2, #0
0xfffffff008ca8b7c: 1fe72a94  bl	#0xfffffff0097627f8
0xfffffff008ca8b80: 16008052  mov	w22, #0
0xfffffff008ca8b84: 00010037  tbnz	w0, #0, #0xfffffff008ca8ba4
0xfffffff008ca8b88: 4035ffd0  adrp	x0, #0xfffffff007352000
0xfffffff008ca8b8c: 00243691  add	x0, x0, #0xd89
0xfffffff008ca8b90: 96578052  mov	w22, #0x2bc
0xfffffff008ca8b94: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008ca8b98: 88a27c39  ldrb	w8, [x20, #0xf28]
0xfffffff008ca8b9c: e80300f9  str	x8, [sp]
0xfffffff008ca8ba0: 20b9da97  bl	#0xfffffff008357020
0xfffffff008ca8ba4: 75030034  cbz	w21, #0xfffffff008ca8c10
0xfffffff008ca8ba8: 88e247f9  ldr	x8, [x20, #0xfc0]
0xfffffff008ca8bac: 480200b4  cbz	x8, #0xfffffff008ca8bf4
0xfffffff008ca8bb0: 700240f9  ldr	x16, [x19]
