; Candidate 16658
; ADRP+ADD at VM 0xfffffff009f142d8 (fileoff 0x2f102d8): page=0x1fd942000 add_imm=0xe8f

0xfffffff009f14258: 7f2a00f9  str	xzr, [x19, #0x50]
0xfffffff009f1425c: 0e000014  b	#0xfffffff009f14294
0xfffffff009f14260: 40008052  mov	w0, #2
0xfffffff009f14264: d6ffff17  b	#0xfffffff009f141bc
0xfffffff009f14268: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff009f1426c: 69ee4939  ldrb	w9, [x19, #0x27b]
0xfffffff009f14270: 29f57ed3  lsl	x9, x9, #2
0xfffffff009f14274: c96a6978  ldrh	w9, [x22, x9]
0xfffffff009f14278: 0a038052  mov	w10, #0x18
0xfffffff009f1427c: 297d0a9b  mul	x9, x9, x10
0xfffffff009f14280: 0069e93c  ldr	q0, [x8, x9]
0xfffffff009f14284: 08feff92  mov	x8, #0xfffffffffffff
0xfffffff009f14288: 010d084e  dup	v1.2d, x8
0xfffffff009f1428c: 001c214e  and	v0.16b, v0.16b, v1.16b
0xfffffff009f14290: 6012803d  str	q0, [x19, #0x40]
0xfffffff009f14294: e00313aa  mov	x0, x19
0xfffffff009f14298: e10315aa  mov	x1, x21
0xfffffff009f1429c: 99020094  bl	#0xfffffff009f14d00
0xfffffff009f142a0: e00313aa  mov	x0, x19
0xfffffff009f142a4: e10314aa  mov	x1, x20
0xfffffff009f142a8: 83020094  bl	#0xfffffff009f14cb4
0xfffffff009f142ac: 90ffff17  b	#0xfffffff009f140ec
0xfffffff009f142b0: 680240f9  ldr	x8, [x19]
0xfffffff009f142b4: 086540f9  ldr	x8, [x8, #0xc8]
0xfffffff009f142b8: 0a8942f9  ldr	x10, [x8, #0x510]
0xfffffff009f142bc: 69a24039  ldrb	w9, [x19, #0x28]
0xfffffff009f142c0: e98301a9  stp	x9, x0, [sp, #0x18]
0xfffffff009f142c4: 08cafed0  adrp	x8, #0xfffffff007856000
0xfffffff009f142c8: 08813891  add	x8, x8, #0xe20
0xfffffff009f142cc: 094e8052  mov	w9, #0x270
0xfffffff009f142d0: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009f142d4: e80300f9  str	x8, [sp]
0xfffffff009f142d8: 00cafed0  adrp	x0, #0xfffffff007856000
0xfffffff009f142dc: 003c3a91  add	x0, x0, #0xe8f
0xfffffff009f142e0: a1ffff17  b	#0xfffffff009f14164
0xfffffff009f142e4: 5f2403d5  bti	c
0xfffffff009f142e8: 08e840b9  ldr	w8, [x0, #0xe8]
0xfffffff009f142ec: 09008012  mov	w9, #-1
0xfffffff009f142f0: 2809484a  eor	w8, w9, w8, lsr #2
0xfffffff009f142f4: 08014092  and	x8, x8, #1
0xfffffff009f142f8: 09068052  mov	w9, #0x30
0xfffffff009f142fc: 0901099b  madd	x9, x8, x9, x0
0xfffffff009f14300: 2a8d46f8  ldr	x10, [x9, #0x68]!
0xfffffff009f14304: 5f0102eb  cmp	x10, x2
0xfffffff009f14308: 42000054  b.hs	#0xfffffff009f14310
0xfffffff009f1430c: 220100f9  str	x2, [x9]
0xfffffff009f14310: 09068052  mov	w9, #0x30
0xfffffff009f14314: 0001099b  madd	x0, x8, x9, x0
0xfffffff009f14318: 08a4c5a9  ldp	x8, x9, [x0, #0x58]!
0xfffffff009f1431c: 08050091  add	x8, x8, #1
0xfffffff009f14320: 2901028b  add	x9, x9, x2
0xfffffff009f14324: 082400a9  stp	x8, x9, [x0]
0xfffffff009f14328: 18040014  b	#0xfffffff009f15388
0xfffffff009f1432c: 7f2303d5  pacibsp	
0xfffffff009f14330: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff009f14334: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009f14338: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009f1433c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009f14340: fdc30091  add	x29, sp, #0x30
0xfffffff009f14344: f30304aa  mov	x19, x4
0xfffffff009f14348: f40303aa  mov	x20, x3
0xfffffff009f1434c: f50302aa  mov	x21, x2
0xfffffff009f14350: f60301aa  mov	x22, x1
0xfffffff009f14354: f70300aa  mov	x23, x0
