; Candidate 1328
; ADRP+ADD at VM 0xfffffff008352e70 (fileoff 0x134ee70): page=0x1fed51000 add_imm=0xd29

0xfffffff008352df0: 3f010a6b  cmp	w9, w10
0xfffffff008352df4: e1030054  b.ne	#0xfffffff008352e70
0xfffffff008352df8: 092140b9  ldr	w9, [x8, #0x20]
0xfffffff008352dfc: 08910091  add	x8, x8, #0x24
0xfffffff008352e00: 89000034  cbz	w9, #0xfffffff008352e10
0xfffffff008352e04: 08410091  add	x8, x8, #0x10
0xfffffff008352e08: 29050071  subs	w9, w9, #1
0xfffffff008352e0c: c1ffff54  b.ne	#0xfffffff008352e04
0xfffffff008352e10: 080140f9  ldr	x8, [x8]
0xfffffff008352e14: e9c784d2  mov	x9, #0x263f
0xfffffff008352e18: 4946a4f2  movk	x9, #0x2232, lsl #16
0xfffffff008352e1c: 89fdcff2  movk	x9, #0x7fec, lsl #32
0xfffffff008352e20: 8958f5f2  movk	x9, #0xaac4, lsl #48
0xfffffff008352e24: 1f0109eb  cmp	x8, x9
0xfffffff008352e28: a1010054  b.ne	#0xfffffff008352e5c
0xfffffff008352e2c: 2000c03d  ldr	q0, [x1]
0xfffffff008352e30: e003803d  str	q0, [sp]
0xfffffff008352e34: 280840f9  ldr	x8, [x1, #0x10]
0xfffffff008352e38: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008352e3c: 10070090  adrp	x16, #0xfffffff008432000
0xfffffff008352e40: 10f21f91  add	x16, x16, #0x7fc
0xfffffff008352e44: b19597d2  mov	x17, #0xbcad
0xfffffff008352e48: 3002c1da  pacia	x16, x17
0xfffffff008352e4c: e10310aa  mov	x1, x16
0xfffffff008352e50: e0030091  mov	x0, sp
0xfffffff008352e54: 0b000094  bl	#0xfffffff008352e80
0xfffffff008352e58: 03000014  b	#0xfffffff008352e64
0xfffffff008352e5c: e0588052  mov	w0, #0x2c7
0xfffffff008352e60: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008352e64: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008352e68: ffc30091  add	sp, sp, #0x30
0xfffffff008352e6c: ff0f5fd6  retab	
0xfffffff008352e70: 806affb0  adrp	x0, #0xfffffff0070a3000
0xfffffff008352e74: 00a43491  add	x0, x0, #0xd29
0xfffffff008352e78: a641fe97  bl	#0xfffffff0082e3510
0xfffffff008352e7c: 200020d4  brk	#1
0xfffffff008352e80: 7f2303d5  pacibsp	
0xfffffff008352e84: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff008352e88: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008352e8c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008352e90: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008352e94: fdc30091  add	x29, sp, #0x30
0xfffffff008352e98: f3578052  mov	w19, #0x2bf
0xfffffff008352e9c: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008352ea0: 170040f9  ldr	x23, [x0]
0xfffffff008352ea4: e82240b9  ldr	w8, [x23, #0x20]
0xfffffff008352ea8: 1f0d0071  cmp	w8, #3
0xfffffff008352eac: 41090054  b.ne	#0xfffffff008352fd4
0xfffffff008352eb0: e84246f8  ldur	x8, [x23, #0x64]
0xfffffff008352eb4: 1f0d00f1  cmp	x8, #3
0xfffffff008352eb8: e1080054  b.ne	#0xfffffff008352fd4
0xfffffff008352ebc: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff008352ec0: 1f110271  cmp	w8, #0x84
0xfffffff008352ec4: 83080054  b.lo	#0xfffffff008352fd4
0xfffffff008352ec8: f40301aa  mov	x20, x1
0xfffffff008352ecc: 160440f9  ldr	x22, [x0, #8]
0xfffffff008352ed0: 960000b4  cbz	x22, #0xfffffff008352ee0
0xfffffff008352ed4: 081440b9  ldr	w8, [x0, #0x14]
0xfffffff008352ed8: 1f510171  cmp	w8, #0x54
0xfffffff008352edc: c3070054  b.lo	#0xfffffff008352fd4
0xfffffff008352ee0: e04247f8  ldur	x0, [x23, #0x74]
0xfffffff008352ee4: 200200b4  cbz	x0, #0xfffffff008352f28
0xfffffff008352ee8: 100040f9  ldr	x16, [x0]
0xfffffff008352eec: f10300aa  mov	x17, x0
