; Candidate 7298
; ADRP+ADD at VM 0xfffffff008865b48 (fileoff 0x1861b48): page=0x1fe9c3000 add_imm=0xe74

0xfffffff008865ac8: 040080d2  mov	x4, #0
0xfffffff008865acc: 25d00094  bl	#0xfffffff008899b60
0xfffffff008865ad0: 00090034  cbz	w0, #0xfffffff008865bf0
0xfffffff008865ad4: f40300aa  mov	x20, x0
0xfffffff008865ad8: 600c8052  mov	w0, #0x63
0xfffffff008865adc: 81008052  mov	w1, #4
0xfffffff008865ae0: 3c570094  bl	#0xfffffff00887b7d0
0xfffffff008865ae4: c09aff34  cbz	w0, #0xfffffff008864e3c
0xfffffff008865ae8: 600c8052  mov	w0, #0x63
0xfffffff008865aec: 4b570094  bl	#0xfffffff00887b818
0xfffffff008865af0: f60300aa  mov	x22, x0
0xfffffff008865af4: ae390194  bl	#0xfffffff0088b41ac
0xfffffff008865af8: f50300aa  mov	x21, x0
0xfffffff008865afc: 80008052  mov	w0, #4
0xfffffff008865b00: 54570094  bl	#0xfffffff00887b850
0xfffffff008865b04: 560b0034  cbz	w22, #0xfffffff008865c6c
0xfffffff008865b08: 683a40f9  ldr	x8, [x19, #0x70]
0xfffffff008865b0c: e90314aa  mov	x9, x20
0xfffffff008865b10: 6a4240b9  ldr	w10, [x19, #0x40]
0xfffffff008865b14: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff008865b18: 494dfff0  adrp	x9, #0xfffffff007210000
0xfffffff008865b1c: 2bb92791  add	x11, x9, #0x9ee
0xfffffff008865b20: f3ab03a9  stp	x19, x10, [sp, #0x38]
0xfffffff008865b24: c87b8052  mov	w8, #0x3de
0xfffffff008865b28: 094efff0  adrp	x9, #0xfffffff007228000
0xfffffff008865b2c: 29813091  add	x9, x9, #0xc20
0xfffffff008865b30: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff008865b34: 084effd0  adrp	x8, #0xfffffff007227000
0xfffffff008865b38: 08811191  add	x8, x8, #0x460
0xfffffff008865b3c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008865b40: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008865b44: 680c8052  mov	w8, #0x63
0xfffffff008865b48: 004efff0  adrp	x0, #0xfffffff007228000
0xfffffff008865b4c: 00d03991  add	x0, x0, #0xe74
0xfffffff008865b50: f52300a9  stp	x21, x8, [sp]
0xfffffff008865b54: 4346d597  bl	#0xfffffff007db7460
0xfffffff008865b58: b9fcff17  b	#0xfffffff008864e3c
0xfffffff008865b5c: a10358f8  ldur	x1, [x29, #-0x80]
0xfffffff008865b60: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff008865b64: 24530094  bl	#0xfffffff00887a7f4
0xfffffff008865b68: 91390194  bl	#0xfffffff0088b41ac
0xfffffff008865b6c: f50300aa  mov	x21, x0
0xfffffff008865b70: 80008052  mov	w0, #4
0xfffffff008865b74: 37570094  bl	#0xfffffff00887b850
0xfffffff008865b78: f60300aa  mov	x22, x0
0xfffffff008865b7c: 783a40f9  ldr	x24, [x19, #0x70]
0xfffffff008865b80: b70358f8  ldur	x23, [x29, #-0x80]
0xfffffff008865b84: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff008865b88: e10317aa  mov	x1, x23
0xfffffff008865b8c: 1a530094  bl	#0xfffffff00887a7f4
0xfffffff008865b90: e80314aa  mov	x8, x20
0xfffffff008865b94: e02305a9  stp	x0, x8, [sp, #0x50]
0xfffffff008865b98: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008865b9c: 484dfff0  adrp	x8, #0xfffffff007210000
0xfffffff008865ba0: 08b92791  add	x8, x8, #0x9ee
0xfffffff008865ba4: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008865ba8: 287b8052  mov	w8, #0x3d9
0xfffffff008865bac: 094efff0  adrp	x9, #0xfffffff007228000
0xfffffff008865bb0: 29813091  add	x9, x9, #0xc20
0xfffffff008865bb4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008865bb8: 084effd0  adrp	x8, #0xfffffff007227000
0xfffffff008865bbc: 08811191  add	x8, x8, #0x460
0xfffffff008865bc0: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff008865bc4: 680c8052  mov	w8, #0x63
