; Candidate 15927
; ADRP+ADD at VM 0xfffffff009de8160 (fileoff 0x2de4160): page=0x5d6000 add_imm=0xd28

0xfffffff009de80e0: 408e38d4  brk	#0xc472
0xfffffff009de80e4: 08e20491  add	x8, x16, #0x138
0xfffffff009de80e8: 099e40f9  ldr	x9, [x16, #0x138]
0xfffffff009de80ec: e00313aa  mov	x0, x19
0xfffffff009de80f0: f10308aa  mov	x17, x8
0xfffffff009de80f4: 71c7e5f2  movk	x17, #0x2e3b, lsl #48
0xfffffff009de80f8: 31093fd7  blraa	x9, x17
0xfffffff009de80fc: a8f9feb0  adrp	x8, #0xfffffff007d1d000
0xfffffff009de8100: 083943f9  ldr	x8, [x8, #0x670]
0xfffffff009de8104: 010140f9  ldr	x1, [x8]
0xfffffff009de8108: fbee9397  bl	#0xfffffff0082e3cf4
0xfffffff009de810c: e20300aa  mov	x2, x0
0xfffffff009de8110: e00314aa  mov	x0, x20
0xfffffff009de8114: e10315aa  mov	x1, x21
0xfffffff009de8118: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009de811c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009de8120: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff009de8124: ff2303d5  autibsp	
0xfffffff009de8128: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009de812c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009de8134
0xfffffff009de8130: 208e38d4  brk	#0xc471
0xfffffff009de8134: f2000014  b	#0xfffffff009de84fc
0xfffffff009de8138: 7f2303d5  pacibsp	
0xfffffff009de813c: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff009de8140: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009de8144: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009de8148: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009de814c: fdc30091  add	x29, sp, #0x30
0xfffffff009de8150: f40303aa  mov	x20, x3
0xfffffff009de8154: f50302aa  mov	x21, x2
0xfffffff009de8158: f60301aa  mov	x22, x1
0xfffffff009de815c: f70300aa  mov	x23, x0
0xfffffff009de8160: a02e00d0  adrp	x0, #0xfffffff00a3be000
0xfffffff009de8164: 00a03491  add	x0, x0, #0xd28
0xfffffff009de8168: 100040f9  ldr	x16, [x0]
0xfffffff009de816c: f10300aa  mov	x17, x0
0xfffffff009de8170: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009de8174: 301ac1da  autda	x16, x17
0xfffffff009de8178: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff009de817c: e90310aa  mov	x9, x16
0xfffffff009de8180: f10309aa  mov	x17, x9
0xfffffff009de8184: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff009de8188: 11093fd7  blraa	x8, x17
0xfffffff009de818c: f30300aa  mov	x19, x0
0xfffffff009de8190: 600200b4  cbz	x0, #0xfffffff009de81dc
0xfffffff009de8194: e00313aa  mov	x0, x19
0xfffffff009de8198: e10317aa  mov	x1, x23
0xfffffff009de819c: e20316aa  mov	x2, x22
0xfffffff009de81a0: e30315aa  mov	x3, x21
0xfffffff009de81a4: e40314aa  mov	x4, x20
0xfffffff009de81a8: 13000094  bl	#0xfffffff009de81f4
0xfffffff009de81ac: 80010037  tbnz	w0, #0, #0xfffffff009de81dc
0xfffffff009de81b0: 700240f9  ldr	x16, [x19]
0xfffffff009de81b4: f10313aa  mov	x17, x19
0xfffffff009de81b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009de81bc: 301ac1da  autda	x16, x17
0xfffffff009de81c0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009de81c4: e90310aa  mov	x9, x16
0xfffffff009de81c8: e00313aa  mov	x0, x19
0xfffffff009de81cc: f10309aa  mov	x17, x9
0xfffffff009de81d0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009de81d4: 11093fd7  blraa	x8, x17
0xfffffff009de81d8: 130080d2  mov	x19, #0
0xfffffff009de81dc: e00313aa  mov	x0, x19
