; Candidate 14210
; ADRP+ADD at VM 0xfffffff00974e404 (fileoff 0x274a404): page=0xc3d000 add_imm=0xd58

0xfffffff00974e384: 5f2403d5  bti	c
0xfffffff00974e388: 100040f9  ldr	x16, [x0]
0xfffffff00974e38c: f10300aa  mov	x17, x0
0xfffffff00974e390: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974e394: 301ac1da  autda	x16, x17
0xfffffff00974e398: 11b380d2  mov	x17, #0x598
0xfffffff00974e39c: 1002118b  add	x16, x16, x17
0xfffffff00974e3a0: 080240f9  ldr	x8, [x16]
0xfffffff00974e3a4: e10310aa  mov	x1, x16
0xfffffff00974e3a8: f00308aa  mov	x16, x8
0xfffffff00974e3ac: f10301aa  mov	x17, x1
0xfffffff00974e3b0: 51ededf2  movk	x17, #0x6f6a, lsl #48
0xfffffff00974e3b4: 110a1fd7  braa	x16, x17
0xfffffff00974e3b8: 7f2303d5  pacibsp	
0xfffffff00974e3bc: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00974e3c0: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00974e3c4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00974e3c8: fd830091  add	x29, sp, #0x20
0xfffffff00974e3cc: f30300aa  mov	x19, x0
0xfffffff00974e3d0: 100040f9  ldr	x16, [x0]
0xfffffff00974e3d4: f10300aa  mov	x17, x0
0xfffffff00974e3d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974e3dc: 301ac1da  autda	x16, x17
0xfffffff00974e3e0: 11a880d2  mov	x17, #0x540
0xfffffff00974e3e4: 1002118b  add	x16, x16, x17
0xfffffff00974e3e8: 080240f9  ldr	x8, [x16]
0xfffffff00974e3ec: e90310aa  mov	x9, x16
0xfffffff00974e3f0: f10309aa  mov	x17, x9
0xfffffff00974e3f4: 5188f3f2  movk	x17, #0x9c42, lsl #48
0xfffffff00974e3f8: 11093fd7  blraa	x8, x17
0xfffffff00974e3fc: a00400b4  cbz	x0, #0xfffffff00974e490
0xfffffff00974e400: f40300aa  mov	x20, x0
0xfffffff00974e404: e06100b0  adrp	x0, #0xfffffff00a38b000
0xfffffff00974e408: 00603591  add	x0, x0, #0xd58
0xfffffff00974e40c: 5359ae97  bl	#0xfffffff0082e4958
0xfffffff00974e410: f50300aa  mov	x21, x0
0xfffffff00974e414: 900240f9  ldr	x16, [x20]
0xfffffff00974e418: f10314aa  mov	x17, x20
0xfffffff00974e41c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974e420: 301ac1da  autda	x16, x17
0xfffffff00974e424: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974e428: e90310aa  mov	x9, x16
0xfffffff00974e42c: e00314aa  mov	x0, x20
0xfffffff00974e430: f10309aa  mov	x17, x9
0xfffffff00974e434: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974e438: 11093fd7  blraa	x8, x17
0xfffffff00974e43c: f60300aa  mov	x22, x0
0xfffffff00974e440: 700240f9  ldr	x16, [x19]
0xfffffff00974e444: f10313aa  mov	x17, x19
0xfffffff00974e448: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974e44c: 301ac1da  autda	x16, x17
0xfffffff00974e450: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974e454: e90310aa  mov	x9, x16
0xfffffff00974e458: e00313aa  mov	x0, x19
0xfffffff00974e45c: f10309aa  mov	x17, x9
0xfffffff00974e460: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974e464: 11093fd7  blraa	x8, x17
0xfffffff00974e468: e50300aa  mov	x5, x0
0xfffffff00974e46c: c43e0012  and	w4, w22, #0xffff
0xfffffff00974e470: 42f2feb0  adrp	x2, #0xfffffff007597000
0xfffffff00974e474: 42b43991  add	x2, x2, #0xe6d
0xfffffff00974e478: e00314aa  mov	x0, x20
0xfffffff00974e47c: e10315aa  mov	x1, x21
0xfffffff00974e480: a33e8052  mov	w3, #0x1f5
