; Candidate 3256
; ADRP+ADD at VM 0xfffffff008726e74 (fileoff 0x1722e74): page=0x1fea0b000 add_imm=0xd90

0xfffffff008726df4: a90a0054  b.ls	#0xfffffff008726f48
0xfffffff008726df8: 8951ff90  adrp	x9, #0xfffffff007156000
0xfffffff008726dfc: 29210c91  add	x9, x9, #0x308
0xfffffff008726e00: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff008726e04: e95701a9  stp	x9, x21, [sp, #0x10]
0xfffffff008726e08: c8c78152  mov	w8, #0xe3e
0xfffffff008726e0c: 8951ff90  adrp	x9, #0xfffffff007156000
0xfffffff008726e10: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008726e14: e92300a9  stp	x9, x8, [sp]
0xfffffff008726e18: 4050fff0  adrp	x0, #0xfffffff007131000
0xfffffff008726e1c: 00403691  add	x0, x0, #0xd90
0xfffffff008726e20: a196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008726e24: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008726e28: 8350fff0  adrp	x3, #0xfffffff007139000
0xfffffff008726e2c: 63b03891  add	x3, x3, #0xe2c
0xfffffff008726e30: 02008052  mov	w2, #0
0xfffffff008726e34: bf30f097  bl	#0xfffffff008333130
0xfffffff008726e38: 00008052  mov	w0, #0
0xfffffff008726e3c: f9020014  b	#0xfffffff008727a20
0xfffffff008726e40: 8a51ff90  adrp	x10, #0xfffffff007156000
0xfffffff008726e44: 4a890b91  add	x10, x10, #0x2e2
0xfffffff008726e48: eaa702a9  stp	x10, x9, [sp, #0x28]
0xfffffff008726e4c: 8951ff90  adrp	x9, #0xfffffff007156000
0xfffffff008726e50: 29710b91  add	x9, x9, #0x2dc
0xfffffff008726e54: 8b51ff90  adrp	x11, #0xfffffff007156000
0xfffffff008726e58: 6bb50b91  add	x11, x11, #0x2ed
0xfffffff008726e5c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008726e60: 88c38152  mov	w8, #0xe1c
0xfffffff008726e64: 8951ff90  adrp	x9, #0xfffffff007156000
0xfffffff008726e68: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008726e6c: e8af00a9  stp	x8, x11, [sp, #8]
0xfffffff008726e70: e90300f9  str	x9, [sp]
0xfffffff008726e74: 4050fff0  adrp	x0, #0xfffffff007131000
0xfffffff008726e78: 00403691  add	x0, x0, #0xd90
0xfffffff008726e7c: a196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008726e80: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008726e84: 8350fff0  adrp	x3, #0xfffffff007139000
0xfffffff008726e88: 63203491  add	x3, x3, #0xd08
0xfffffff008726e8c: 02008052  mov	w2, #0
0xfffffff008726e90: a830f097  bl	#0xfffffff008333130
0xfffffff008726e94: 00008052  mov	w0, #0
0xfffffff008726e98: e2020014  b	#0xfffffff008727a20
0xfffffff008726e9c: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008726ea0: 8851ff90  adrp	x8, #0xfffffff007156000
0xfffffff008726ea4: 08890b91  add	x8, x8, #0x2e2
0xfffffff008726ea8: 8951ff90  adrp	x9, #0xfffffff007156000
0xfffffff008726eac: 29710b91  add	x9, x9, #0x2dc
0xfffffff008726eb0: 8a51ff90  adrp	x10, #0xfffffff007156000
0xfffffff008726eb4: 4afd0a91  add	x10, x10, #0x2bf
0xfffffff008726eb8: f52302a9  stp	x21, x8, [sp, #0x20]
0xfffffff008726ebc: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff008726ec0: c8c28152  mov	w8, #0xe16
0xfffffff008726ec4: 8951ff90  adrp	x9, #0xfffffff007156000
0xfffffff008726ec8: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008726ecc: e92300a9  stp	x9, x8, [sp]
0xfffffff008726ed0: 4050fff0  adrp	x0, #0xfffffff007131000
0xfffffff008726ed4: 00403691  add	x0, x0, #0xd90
0xfffffff008726ed8: a196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008726edc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008726ee0: 8350fff0  adrp	x3, #0xfffffff007139000
0xfffffff008726ee4: 63243391  add	x3, x3, #0xcc9
0xfffffff008726ee8: 02008052  mov	w2, #0
0xfffffff008726eec: 9130f097  bl	#0xfffffff008333130
0xfffffff008726ef0: 00008052  mov	w0, #0
