; Candidate 7849
; ADRP+ADD at VM 0xfffffff0088830ec (fileoff 0x187f0ec): page=0x1fe966000 add_imm=0xe80

0xfffffff00888306c: 09410591  add	x9, x8, #0x150
0xfffffff008883070: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff008883074: 08fd0891  add	x8, x8, #0x23f
0xfffffff008883078: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00888307c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008883080: 880b8052  mov	w8, #0x5c
0xfffffff008883084: 404dffd0  adrp	x0, #0xfffffff00722d000
0xfffffff008883088: 00880591  add	x0, x0, #0x162
0xfffffff00888308c: fa2300a9  stp	x26, x8, [sp]
0xfffffff008883090: f4d0d497  bl	#0xfffffff007db7460
0xfffffff008883094: 1c000014  b	#0xfffffff008883104
0xfffffff008883098: 45c40094  bl	#0xfffffff0088b41ac
0xfffffff00888309c: fa0300aa  mov	x26, x0
0xfffffff0088830a0: 00018052  mov	w0, #8
0xfffffff0088830a4: ebe1ff97  bl	#0xfffffff00887b850
0xfffffff0088830a8: e80319aa  mov	x8, x25
0xfffffff0088830ac: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0088830b0: e83300f9  str	x8, [sp, #0x60]
0xfffffff0088830b4: e803182a  mov	w8, w24
0xfffffff0088830b8: f72305a9  stp	x23, x8, [sp, #0x50]
0xfffffff0088830bc: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0088830c0: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0088830c4: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff0088830c8: 08410591  add	x8, x8, #0x150
0xfffffff0088830cc: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088830d0: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff0088830d4: 08fd0891  add	x8, x8, #0x23f
0xfffffff0088830d8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088830dc: 880b8052  mov	w8, #0x5c
0xfffffff0088830e0: c34eff90  adrp	x3, #0xfffffff00725b000
0xfffffff0088830e4: 63c83e91  add	x3, x3, #0xfb2
0xfffffff0088830e8: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088830ec: 204bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088830f0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088830f4: 218cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088830f8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088830fc: 02008052  mov	w2, #0
0xfffffff008883100: 0cc0ea97  bl	#0xfffffff008333130
0xfffffff008883104: e00319aa  mov	x0, x25
0xfffffff008883108: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff00888310c: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff008883110: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff008883114: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff008883118: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff00888311c: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff008883120: ff430391  add	sp, sp, #0xd0
0xfffffff008883124: ff0f5fd6  retab	
0xfffffff008883128: 19008052  mov	w25, #0
0xfffffff00888312c: bdffff17  b	#0xfffffff008883020
0xfffffff008883130: 797f8012  mov	w25, #-0x3fc
0xfffffff008883134: bbffff17  b	#0xfffffff008883020
0xfffffff008883138: 7f2303d5  pacibsp	
0xfffffff00888313c: ff4303d1  sub	sp, sp, #0xd0
0xfffffff008883140: fc6f07a9  stp	x28, x27, [sp, #0x70]
0xfffffff008883144: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff008883148: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff00888314c: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff008883150: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff008883154: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff008883158: fd030391  add	x29, sp, #0xc0
0xfffffff00888315c: f80305aa  mov	x24, x5
0xfffffff008883160: f70304aa  mov	x23, x4
0xfffffff008883164: f60303aa  mov	x22, x3
0xfffffff008883168: f50302aa  mov	x21, x2
