; Candidate 12606
; ADRP+ADD at VM 0xfffffff0090c3c40 (fileoff 0x20bfc40): page=0x1fe396000 add_imm=0xe24

0xfffffff0090c3bc0: e8c30091  add	x8, sp, #0x30
0xfffffff0090c3bc4: e80300f9  str	x8, [sp]
0xfffffff0090c3bc8: 81920090  adrp	x1, #0xfffffff00a313000
0xfffffff0090c3bcc: 21403a91  add	x1, x1, #0xe90
0xfffffff0090c3bd0: b0fffff0  adrp	x16, #0xfffffff0090ba000
0xfffffff0090c3bd4: 10a20a91  add	x16, x16, #0x2a8
0xfffffff0090c3bd8: 519081d2  mov	x17, #0xc82
0xfffffff0090c3bdc: 3002c1da  pacia	x16, x17
0xfffffff0090c3be0: e00310aa  mov	x0, x16
0xfffffff0090c3be4: a7d300d1  sub	x7, x29, #0x34
0xfffffff0090c3be8: e20315aa  mov	x2, x21
0xfffffff0090c3bec: e30313aa  mov	x3, x19
0xfffffff0090c3bf0: 24008052  mov	w4, #1
0xfffffff0090c3bf4: 050080d2  mov	x5, #0
0xfffffff0090c3bf8: 06008052  mov	w6, #0
0xfffffff0090c3bfc: caf0ff97  bl	#0xfffffff0090bff24
0xfffffff0090c3c00: f30300aa  mov	x19, x0
0xfffffff0090c3c04: 20050035  cbnz	w0, #0xfffffff0090c3ca8
0xfffffff0090c3c08: a8c35cb8  ldur	w8, [x29, #-0x34]
0xfffffff0090c3c0c: 880200f9  str	x8, [x20]
0xfffffff0090c3c10: 48018052  mov	w8, #0xa
0xfffffff0090c3c14: e9c24339  ldrb	w9, [x23, #0xf0]
0xfffffff0090c3c18: 1f01096b  cmp	w8, w9
0xfffffff0090c3c1c: 83010054  b.lo	#0xfffffff0090c3c4c
0xfffffff0090c3c20: e80313aa  mov	x8, x19
0xfffffff0090c3c24: 087d4093  sxtw	x8, w8
0xfffffff0090c3c28: 291dffd0  adrp	x9, #0xfffffff007469000
0xfffffff0090c3c2c: 297d2491  add	x9, x9, #0x91f
0xfffffff0090c3c30: 0a1dff90  adrp	x10, #0xfffffff007463000
0xfffffff0090c3c34: 4ad12991  add	x10, x10, #0xa74
0xfffffff0090c3c38: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090c3c3c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c3c40: a01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090c3c44: 00903891  add	x0, x0, #0xe24
0xfffffff0090c3c48: f64cca97  bl	#0xfffffff008357020
0xfffffff0090c3c4c: e00313aa  mov	x0, x19
0xfffffff0090c3c50: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0090c3c54: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0090c3c58: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0090c3c5c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0090c3c60: ff030291  add	sp, sp, #0x80
0xfffffff0090c3c64: ff0f5fd6  retab	
0xfffffff0090c3c68: 48298052  mov	w8, #0x14a
0xfffffff0090c3c6c: 291dffd0  adrp	x9, #0xfffffff007469000
0xfffffff0090c3c70: 29511b91  add	x9, x9, #0x6d4
0xfffffff0090c3c74: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090c3c78: a81cffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090c3c7c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090c3c80: 2a1dffd0  adrp	x10, #0xfffffff007469000
0xfffffff0090c3c84: 4ad52491  add	x10, x10, #0x935
0xfffffff0090c3c88: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090c3c8c: ea0300f9  str	x10, [sp]
0xfffffff0090c3c90: a01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090c3c94: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090c3c98: e24cca97  bl	#0xfffffff008357020
0xfffffff0090c3c9c: c8088052  mov	w8, #0x46
0xfffffff0090c3ca0: 53008012  mov	w19, #-3
0xfffffff0090c3ca4: dcffff17  b	#0xfffffff0090c3c14
0xfffffff0090c3ca8: 687e4093  sxtw	x8, w19
0xfffffff0090c3cac: 092a8052  mov	w9, #0x150
0xfffffff0090c3cb0: 2a1dffd0  adrp	x10, #0xfffffff007469000
0xfffffff0090c3cb4: 4a511b91  add	x10, x10, #0x6d4
0xfffffff0090c3cb8: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff0090c3cbc: a91cffd0  adrp	x9, #0xfffffff007459000
