; Candidate 13662
; ADRP+ADD at VM 0xfffffff0093c072c (fileoff 0x23bc72c): page=0x1fe147000 add_imm=0xe92

0xfffffff0093c06ac: f40300aa  mov	x20, x0
0xfffffff0093c06b0: a8464439  ldrb	w8, [x21, #0x111]
0xfffffff0093c06b4: 28042036  tbz	w8, #4, #0xfffffff0093c0738
0xfffffff0093c06b8: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff0093c06bc: ff3700b9  str	wzr, [sp, #0x34]
0xfffffff0093c06c0: e0e30091  add	x0, sp, #0x38
0xfffffff0093c06c4: e1d30091  add	x1, sp, #0x34
0xfffffff0093c06c8: 0f4fac97  bl	#0xfffffff007ed4304
0xfffffff0093c06cc: f61f40f9  ldr	x22, [sp, #0x38]
0xfffffff0093c06d0: b00240f9  ldr	x16, [x21]
0xfffffff0093c06d4: f10315aa  mov	x17, x21
0xfffffff0093c06d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093c06dc: 301ac1da  autda	x16, x17
0xfffffff0093c06e0: f10310aa  mov	x17, x16
0xfffffff0093c06e4: f147c1da  xpacd	x17
0xfffffff0093c06e8: 1f0211eb  cmp	x16, x17
0xfffffff0093c06ec: 40000054  b.eq	#0xfffffff0093c06f4
0xfffffff0093c06f0: 408e38d4  brk	#0xc472
0xfffffff0093c06f4: 08a20791  add	x8, x16, #0x1e8
0xfffffff0093c06f8: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0093c06fc: f73740b9  ldr	w23, [sp, #0x34]
0xfffffff0093c0700: e00315aa  mov	x0, x21
0xfffffff0093c0704: 010080d2  mov	x1, #0
0xfffffff0093c0708: f10308aa  mov	x17, x8
0xfffffff0093c070c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0093c0710: 31093fd7  blraa	x9, x17
0xfffffff0093c0714: 68024079  ldrh	w8, [x19]
0xfffffff0093c0718: e85302a9  stp	x8, x20, [sp, #0x20]
0xfffffff0093c071c: 280afff0  adrp	x8, #0xfffffff007507000
0xfffffff0093c0720: 08013b91  add	x8, x8, #0xec0
0xfffffff0093c0724: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0093c0728: f65f00a9  stp	x22, x23, [sp]
0xfffffff0093c072c: 200afff0  adrp	x0, #0xfffffff007507000
0xfffffff0093c0730: 00483a91  add	x0, x0, #0xe92
0xfffffff0093c0734: 3b5abe97  bl	#0xfffffff008357020
0xfffffff0093c0738: e00314aa  mov	x0, x20
0xfffffff0093c073c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0093c0740: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0093c0744: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0093c0748: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0093c074c: ff030291  add	sp, sp, #0x80
0xfffffff0093c0750: ff0f5fd6  retab	
0xfffffff0093c0754: 94560011  add	w20, w20, #0x15
0xfffffff0093c0758: d6ffff17  b	#0xfffffff0093c06b0
0xfffffff0093c075c: 7f2303d5  pacibsp	
0xfffffff0093c0760: ff8300d1  sub	sp, sp, #0x20
0xfffffff0093c0764: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0093c0768: fd430091  add	x29, sp, #0x10
0xfffffff0093c076c: 287490d2  mov	x8, #0x83a1
0xfffffff0093c0770: 4800e0f2  movk	x8, #2, lsl #48
0xfffffff0093c0774: e80700f9  str	x8, [sp, #8]
0xfffffff0093c0778: 085440f9  ldr	x8, [x0, #0xa8]
0xfffffff0093c077c: a80200b4  cbz	x8, #0xfffffff0093c07d0
0xfffffff0093c0780: e20301aa  mov	x2, x1
0xfffffff0093c0784: 085c40f9  ldr	x8, [x0, #0xb8]
0xfffffff0093c0788: 08094039  ldrb	w8, [x8, #2]
0xfffffff0093c078c: e81b0079  strh	w8, [sp, #0xc]
0xfffffff0093c0790: 100040f9  ldr	x16, [x0]
0xfffffff0093c0794: f10300aa  mov	x17, x0
0xfffffff0093c0798: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093c079c: 301ac1da  autda	x16, x17
0xfffffff0093c07a0: 11a880d2  mov	x17, #0x540
0xfffffff0093c07a4: 1002118b  add	x16, x16, x17
0xfffffff0093c07a8: 080240f9  ldr	x8, [x16]
