; Candidate 13892
; ADRP+ADD at VM 0xfffffff0095fc818 (fileoff 0x25f8818): page=0x1fdf6a000 add_imm=0xe35

0xfffffff0095fc798: f70300aa  mov	x23, x0
0xfffffff0095fc79c: 00008852  mov	w0, #0x4000
0xfffffff0095fc7a0: e59bb497  bl	#0xfffffff008323734
0xfffffff0095fc7a4: a01c00b4  cbz	x0, #0xfffffff0095fcb38
0xfffffff0095fc7a8: f40300aa  mov	x20, x0
0xfffffff0095fc7ac: 60008052  mov	w0, #3
0xfffffff0095fc7b0: 60d2b397  bl	#0xfffffff0082f1130
0xfffffff0095fc7b4: e01a00b4  cbz	x0, #0xfffffff0095fcb10
0xfffffff0095fc7b8: f50300aa  mov	x21, x0
0xfffffff0095fc7bc: 000080d2  mov	x0, #0
0xfffffff0095fc7c0: 01088052  mov	w1, #0x40
0xfffffff0095fc7c4: ca8ab497  bl	#0xfffffff00831f2ec
0xfffffff0095fc7c8: f60300aa  mov	x22, x0
0xfffffff0095fc7cc: c01500b4  cbz	x0, #0xfffffff0095fca84
0xfffffff0095fc7d0: b00240f9  ldr	x16, [x21]
0xfffffff0095fc7d4: fc0315aa  mov	x28, x21
0xfffffff0095fc7d8: 3cb4f9f2  movk	x28, #0xcda1, lsl #48
0xfffffff0095fc7dc: f10315aa  mov	x17, x21
0xfffffff0095fc7e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0095fc7e4: 301ac1da  autda	x16, x17
0xfffffff0095fc7e8: 112080d2  mov	x17, #0x100
0xfffffff0095fc7ec: 1002118b  add	x16, x16, x17
0xfffffff0095fc7f0: 080240f9  ldr	x8, [x16]
0xfffffff0095fc7f4: e90310aa  mov	x9, x16
0xfffffff0095fc7f8: 41fbfe90  adrp	x1, #0xfffffff007564000
0xfffffff0095fc7fc: 216c2091  add	x1, x1, #0x81b
0xfffffff0095fc800: e00315aa  mov	x0, x21
0xfffffff0095fc804: e20316aa  mov	x2, x22
0xfffffff0095fc808: f10309aa  mov	x17, x9
0xfffffff0095fc80c: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff0095fc810: 11093fd7  blraa	x8, x17
0xfffffff0095fc814: 00140034  cbz	w0, #0xfffffff0095fca94
0xfffffff0095fc818: 40fbfed0  adrp	x0, #0xfffffff007566000
0xfffffff0095fc81c: 00d43891  add	x0, x0, #0xe35
0xfffffff0095fc820: 1daab497  bl	#0xfffffff008327094
0xfffffff0095fc824: f80300aa  mov	x24, x0
0xfffffff0095fc828: 801300b4  cbz	x0, #0xfffffff0095fca98
0xfffffff0095fc82c: b00240f9  ldr	x16, [x21]
0xfffffff0095fc830: f10315aa  mov	x17, x21
0xfffffff0095fc834: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0095fc838: 301ac1da  autda	x16, x17
0xfffffff0095fc83c: 112080d2  mov	x17, #0x100
0xfffffff0095fc840: 1002118b  add	x16, x16, x17
0xfffffff0095fc844: 080240f9  ldr	x8, [x16]
0xfffffff0095fc848: e90310aa  mov	x9, x16
0xfffffff0095fc84c: 41fbfef0  adrp	x1, #0xfffffff007567000
0xfffffff0095fc850: 21e82b91  add	x1, x1, #0xafa
0xfffffff0095fc854: e00315aa  mov	x0, x21
0xfffffff0095fc858: e20318aa  mov	x2, x24
0xfffffff0095fc85c: f10309aa  mov	x17, x9
0xfffffff0095fc860: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff0095fc864: 11093fd7  blraa	x8, x17
0xfffffff0095fc868: 80110034  cbz	w0, #0xfffffff0095fca98
0xfffffff0095fc86c: e00317aa  mov	x0, x23
0xfffffff0095fc870: 78dcfe97  bl	#0xfffffff0095b3a50
0xfffffff0095fc874: e00317aa  mov	x0, x23
0xfffffff0095fc878: 3ddefe97  bl	#0xfffffff0095b416c
0xfffffff0095fc87c: e00f0034  cbz	w0, #0xfffffff0095fca78
0xfffffff0095fc880: 19008052  mov	w25, #0
0xfffffff0095fc884: faf301b2  mov	x26, #-0x5555555555555556
0xfffffff0095fc888: 5bfbfef0  adrp	x27, #0xfffffff007567000
0xfffffff0095fc88c: 7b6b2791  add	x27, x27, #0x9da
0xfffffff0095fc890: fa6b01a9  stp	x26, x26, [sp, #0x10]
0xfffffff0095fc894: fa0700f9  str	x26, [sp, #8]
