; Candidate 4670
; ADRP+ADD at VM 0xfffffff0087c1b14 (fileoff 0x17bdb14): page=0x1fe970000 add_imm=0xd90

0xfffffff0087c1a94: 22c1813c  stur	q2, [x9, #0x1c]
0xfffffff0087c1a98: 08b10091  add	x8, x8, #0x2c
0xfffffff0087c1a9c: 1fe123f1  cmp	x8, #0x8f8
0xfffffff0087c1aa0: 41feff54  b.ne	#0xfffffff0087c1a68
0xfffffff0087c1aa4: e00313aa  mov	x0, x19
0xfffffff0087c1aa8: 03deff97  bl	#0xfffffff0087b92b4
0xfffffff0087c1aac: 1f040031  cmn	w0, #1
0xfffffff0087c1ab0: 794cfff0  adrp	x25, #0xfffffff007150000
0xfffffff0087c1ab4: 39df2a91  add	x25, x25, #0xab7
0xfffffff0087c1ab8: f44cffd0  adrp	x20, #0xfffffff00715f000
0xfffffff0087c1abc: 947e1d91  add	x20, x20, #0x75f
0xfffffff0087c1ac0: 40260154  b.eq	#0xfffffff0087c3f88
0xfffffff0087c1ac4: 682a40f9  ldr	x8, [x19, #0x50]
0xfffffff0087c1ac8: 080940b9  ldr	w8, [x8, #8]
0xfffffff0087c1acc: 1f190071  cmp	w8, #6
0xfffffff0087c1ad0: a1220054  b.ne	#0xfffffff0087c1f24
0xfffffff0087c1ad4: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0087c1ad8: e803084b  neg	w8, w8
0xfffffff0087c1adc: 1f090072  tst	w8, #7
0xfffffff0087c1ae0: e0230054  b.eq	#0xfffffff0087c1f5c
0xfffffff0087c1ae4: e00313aa  mov	x0, x19
0xfffffff0087c1ae8: e10314aa  mov	x1, x20
0xfffffff0087c1aec: 22008052  mov	w2, #1
0xfffffff0087c1af0: f4e5ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c1af4: 00ffff34  cbz	w0, #0xfffffff0087c1ad4
0xfffffff0087c1af8: 24090014  b	#0xfffffff0087c3f88
0xfffffff0087c1afc: e00313aa  mov	x0, x19
0xfffffff0087c1b00: e10318aa  mov	x1, x24
0xfffffff0087c1b04: 3bf8ff97  bl	#0xfffffff0087bfbf0
0xfffffff0087c1b08: 684cfff0  adrp	x8, #0xfffffff007150000
0xfffffff0087c1b0c: 08310c91  add	x8, x8, #0x30c
0xfffffff0087c1b10: e80300f9  str	x8, [sp]
0xfffffff0087c1b14: 804bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087c1b18: 00403691  add	x0, x0, #0xd90
0xfffffff0087c1b1c: e191ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c1b20: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c1b24: 02008052  mov	w2, #0
0xfffffff0087c1b28: 634cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087c1b2c: 63b40791  add	x3, x3, #0x1ed
0xfffffff0087c1b30: 80c5ed97  bl	#0xfffffff008333130
0xfffffff0087c1b34: 17008052  mov	w23, #0
0xfffffff0087c1b38: fa070014  b	#0xfffffff0087c3b20
0xfffffff0087c1b3c: 9f2403d5  bti	j
0xfffffff0087c1b40: e0230291  add	x0, sp, #0x88
0xfffffff0087c1b44: 01dd8052  mov	w1, #0x6e8
0xfffffff0087c1b48: fe2bd697  bl	#0xfffffff007d4cb40
0xfffffff0087c1b4c: 612e40f9  ldr	x1, [x19, #0x58]
0xfffffff0087c1b50: e0230291  add	x0, sp, #0x88
0xfffffff0087c1b54: 02dd8052  mov	w2, #0x6e8
0xfffffff0087c1b58: 8e2bd697  bl	#0xfffffff007d4c990
0xfffffff0087c1b5c: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff0087c1b60: 680a40b9  ldr	w8, [x19, #8]
0xfffffff0087c1b64: e8a70729  stp	w8, w9, [sp, #0x3c]
0xfffffff0087c1b68: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0087c1b6c: e84700b9  str	w8, [sp, #0x44]
0xfffffff0087c1b70: e00313aa  mov	x0, x19
0xfffffff0087c1b74: e14cffd0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c1b78: 217c0691  add	x1, x1, #0x19f
0xfffffff0087c1b7c: 62008052  mov	w2, #3
0xfffffff0087c1b80: d0e5ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c1b84: e0d300b9  str	w0, [sp, #0xd0]
0xfffffff0087c1b88: 1f0c0071  cmp	w0, #3
0xfffffff0087c1b8c: 42260154  b.hs	#0xfffffff0087c4054
0xfffffff0087c1b90: e00313aa  mov	x0, x19
