; Candidate 10815
; ADRP+ADD at VM 0xfffffff008de7c60 (fileoff 0x1de3c60): page=0x1fe5dd000 add_imm=0xe15

0xfffffff008de7be0: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff008de7be4: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff008de7be8: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff008de7bec: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008de7bf0: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff008de7bf4: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff008de7bf8: ffc30291  add	sp, sp, #0xb0
0xfffffff008de7bfc: ff0f5fd6  retab	
0xfffffff008de7c00: e8188052  mov	w8, #0xc7
0xfffffff008de7c04: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de7c08: e82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de7c0c: 08493991  add	x8, x8, #0xe52
0xfffffff008de7c10: e92eff90  adrp	x9, #0xfffffff0073c3000
0xfffffff008de7c14: 29f93291  add	x9, x9, #0xcbe
0xfffffff008de7c18: 0e000014  b	#0xfffffff008de7c50
0xfffffff008de7c1c: 48198052  mov	w8, #0xca
0xfffffff008de7c20: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de7c24: e82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de7c28: 08493991  add	x8, x8, #0xe52
0xfffffff008de7c2c: e92eff90  adrp	x9, #0xfffffff0073c3000
0xfffffff008de7c30: 29493191  add	x9, x9, #0xc52
0xfffffff008de7c34: 07000014  b	#0xfffffff008de7c50
0xfffffff008de7c38: c8198052  mov	w8, #0xce
0xfffffff008de7c3c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de7c40: e82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de7c44: 08493991  add	x8, x8, #0xe52
0xfffffff008de7c48: e92eff90  adrp	x9, #0xfffffff0073c3000
0xfffffff008de7c4c: 29013491  add	x9, x9, #0xd00
0xfffffff008de7c50: ca2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de7c54: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de7c58: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff008de7c5c: e97f00a9  stp	x9, xzr, [sp]
0xfffffff008de7c60: e02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de7c64: 00543891  add	x0, x0, #0xe15
0xfffffff008de7c68: eebcd597  bl	#0xfffffff008357020
0xfffffff008de7c6c: c8088052  mov	w8, #0x46
0xfffffff008de7c70: 5b008012  mov	w27, #-3
0xfffffff008de7c74: 21000014  b	#0xfffffff008de7cf8
0xfffffff008de7c78: fb0300aa  mov	x27, x0
0xfffffff008de7c7c: 687f4093  sxtw	x8, w27
0xfffffff008de7c80: 291a8052  mov	w9, #0xd1
0xfffffff008de7c84: e91300f9  str	x9, [sp, #0x20]
0xfffffff008de7c88: e92effb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de7c8c: 29493991  add	x9, x9, #0xe52
0xfffffff008de7c90: ea2effb0  adrp	x10, #0xfffffff0073c4000
0xfffffff008de7c94: 4af13a91  add	x10, x10, #0xebc
0xfffffff008de7c98: cb2efff0  adrp	x11, #0xfffffff0073c2000
0xfffffff008de7c9c: 6be92e91  add	x11, x11, #0xbba
0xfffffff008de7ca0: e92f01a9  stp	x9, x11, [sp, #0x10]
0xfffffff008de7ca4: ea2300a9  stp	x10, x8, [sp]
0xfffffff008de7ca8: e02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de7cac: 00543891  add	x0, x0, #0xe15
0xfffffff008de7cb0: dcbcd597  bl	#0xfffffff008357020
0xfffffff008de7cb4: c8088052  mov	w8, #0x46
0xfffffff008de7cb8: 10000014  b	#0xfffffff008de7cf8
0xfffffff008de7cbc: ab1a8052  mov	w11, #0xd5
0xfffffff008de7cc0: e82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de7cc4: 08493991  add	x8, x8, #0xe52
0xfffffff008de7cc8: e92eff90  adrp	x9, #0xfffffff0073c3000
0xfffffff008de7ccc: 29d13491  add	x9, x9, #0xd34
0xfffffff008de7cd0: ca2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de7cd4: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de7cd8: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008de7cdc: ffa300a9  stp	xzr, x8, [sp, #8]
