; Candidate 10689
; ADRP+ADD at VM 0xfffffff008de337c (fileoff 0x1ddf37c): page=0x1fe5e1000 add_imm=0xe15

0xfffffff008de32fc: f85f00a9  stp	x24, x23, [sp]
0xfffffff008de3300: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de3304: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3308: 00503591  add	x0, x0, #0xd54
0xfffffff008de330c: 45cfd597  bl	#0xfffffff008357020
0xfffffff008de3310: e00313aa  mov	x0, x19
0xfffffff008de3314: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008de3318: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008de331c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008de3320: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008de3324: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008de3328: ff030291  add	sp, sp, #0x80
0xfffffff008de332c: ff0f5fd6  retab	
0xfffffff008de3330: 88af8052  mov	w8, #0x57c
0xfffffff008de3334: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de3338: 29490d91  add	x9, x9, #0x352
0xfffffff008de333c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de3340: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3344: 08493991  add	x8, x8, #0xe52
0xfffffff008de3348: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de334c: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de3350: 09000014  b	#0xfffffff008de3374
0xfffffff008de3354: a8af8052  mov	w8, #0x57d
0xfffffff008de3358: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de335c: 29490d91  add	x9, x9, #0x352
0xfffffff008de3360: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de3364: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3368: 08493991  add	x8, x8, #0xe52
0xfffffff008de336c: ea2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de3370: 4ae50691  add	x10, x10, #0x1b9
0xfffffff008de3374: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de3378: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de337c: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3380: 00543891  add	x0, x0, #0xe15
0xfffffff008de3384: 27cfd597  bl	#0xfffffff008357020
0xfffffff008de3388: c8088052  mov	w8, #0x46
0xfffffff008de338c: 53008012  mov	w19, #-3
0xfffffff008de3390: d6ffff17  b	#0xfffffff008de32e8
0xfffffff008de3394: 687e4093  sxtw	x8, w19
0xfffffff008de3398: 09b08052  mov	w9, #0x580
0xfffffff008de339c: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de33a0: 4a490d91  add	x10, x10, #0x352
0xfffffff008de33a4: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de33a8: 092fffb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de33ac: 29493991  add	x9, x9, #0xe52
0xfffffff008de33b0: 0b2fffb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de33b4: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de33b8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de33bc: eb0300f9  str	x11, [sp]
0xfffffff008de33c0: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de33c4: 00543891  add	x0, x0, #0xe15
0xfffffff008de33c8: 16cfd597  bl	#0xfffffff008357020
0xfffffff008de33cc: c8088052  mov	w8, #0x46
0xfffffff008de33d0: c6ffff17  b	#0xfffffff008de32e8
0xfffffff008de33d4: 7f2303d5  pacibsp	
0xfffffff008de33d8: ffc301d1  sub	sp, sp, #0x70
0xfffffff008de33dc: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008de33e0: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008de33e4: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008de33e8: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008de33ec: fd830191  add	x29, sp, #0x60
0xfffffff008de33f0: f70304aa  mov	x23, x4
0xfffffff008de33f4: f40303aa  mov	x20, x3
0xfffffff008de33f8: f50302aa  mov	x21, x2
