; Candidate 12443
; ADRP+ADD at VM 0xfffffff0090a12d4 (fileoff 0x209d2d4): page=0x1fe3b8000 add_imm=0xe24

0xfffffff0090a1254: 1174fff2  movk	x17, #0xfba0, lsl #48
0xfffffff0090a1258: 11093fd7  blraa	x8, x17
0xfffffff0090a125c: 700240f9  ldr	x16, [x19]
0xfffffff0090a1260: f10313aa  mov	x17, x19
0xfffffff0090a1264: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090a1268: 301ac1da  autda	x16, x17
0xfffffff0090a126c: 080e4ff8  ldr	x8, [x16, #0xf0]!
0xfffffff0090a1270: e90310aa  mov	x9, x16
0xfffffff0090a1274: e00313aa  mov	x0, x19
0xfffffff0090a1278: e10314aa  mov	x1, x20
0xfffffff0090a127c: f10309aa  mov	x17, x9
0xfffffff0090a1280: d18de4f2  movk	x17, #0x246e, lsl #48
0xfffffff0090a1284: 11093fd7  blraa	x8, x17
0xfffffff0090a1288: a0030035  cbnz	w0, #0xfffffff0090a12fc
0xfffffff0090a128c: 700240f9  ldr	x16, [x19]
0xfffffff0090a1290: f10313aa  mov	x17, x19
0xfffffff0090a1294: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090a1298: 301ac1da  autda	x16, x17
0xfffffff0090a129c: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff0090a12a0: e90310aa  mov	x9, x16
0xfffffff0090a12a4: e00313aa  mov	x0, x19
0xfffffff0090a12a8: f10309aa  mov	x17, x9
0xfffffff0090a12ac: d162f3f2  movk	x17, #0x9b16, lsl #48
0xfffffff0090a12b0: 11093fd7  blraa	x8, x17
0xfffffff0090a12b4: 13008052  mov	w19, #0
0xfffffff0090a12b8: 48018052  mov	w8, #0xa
0xfffffff0090a12bc: e9024039  ldrb	w9, [x23]
0xfffffff0090a12c0: 1f01096b  cmp	w8, w9
0xfffffff0090a12c4: e3000054  b.lo	#0xfffffff0090a12e0
0xfffffff0090a12c8: 687e4093  sxtw	x8, w19
0xfffffff0090a12cc: f65700a9  stp	x22, x21, [sp]
0xfffffff0090a12d0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090a12d4: c01dff90  adrp	x0, #0xfffffff007459000
0xfffffff0090a12d8: 00903891  add	x0, x0, #0xe24
0xfffffff0090a12dc: 51d7ca97  bl	#0xfffffff008357020
0xfffffff0090a12e0: e00313aa  mov	x0, x19
0xfffffff0090a12e4: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090a12e8: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090a12ec: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090a12f0: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090a12f4: ffc30191  add	sp, sp, #0x70
0xfffffff0090a12f8: ff0f5fd6  retab	
0xfffffff0090a12fc: 087c4093  sxtw	x8, w0
0xfffffff0090a1300: e9268052  mov	w9, #0x137
0xfffffff0090a1304: 0a1effb0  adrp	x10, #0xfffffff007462000
0xfffffff0090a1308: 4a851f91  add	x10, x10, #0x7e1
0xfffffff0090a130c: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff0090a1310: c91dff90  adrp	x9, #0xfffffff007459000
0xfffffff0090a1314: 29b92d91  add	x9, x9, #0xb6e
0xfffffff0090a1318: cb1dffb0  adrp	x11, #0xfffffff00745a000
0xfffffff0090a131c: 6b290291  add	x11, x11, #0x8a
0xfffffff0090a1320: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0090a1324: eb0300f9  str	x11, [sp]
0xfffffff0090a1328: c01dff90  adrp	x0, #0xfffffff007459000
0xfffffff0090a132c: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090a1330: 3cd7ca97  bl	#0xfffffff008357020
0xfffffff0090a1334: c8088052  mov	w8, #0x46
0xfffffff0090a1338: 93008012  mov	w19, #-5
0xfffffff0090a133c: e0ffff17  b	#0xfffffff0090a12bc
0xfffffff0090a1340: 7f2303d5  pacibsp	
0xfffffff0090a1344: ffc300d1  sub	sp, sp, #0x30
0xfffffff0090a1348: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0090a134c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0090a1350: fd830091  add	x29, sp, #0x20
