; Candidate 5526
; ADRP+ADD at VM 0xfffffff0087f6810 (fileoff 0x17f2810): page=0x1fe9f3000 add_imm=0xe80

0xfffffff0087f6790: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087f6794: 0851ff90  adrp	x8, #0xfffffff007216000
0xfffffff0087f6798: 086d1d91  add	x8, x8, #0x75b
0xfffffff0087f679c: 298b8052  mov	w9, #0x459
0xfffffff0087f67a0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f67a4: e850fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f67a8: 08213591  add	x8, x8, #0xd48
0xfffffff0087f67ac: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f67b0: e80e8052  mov	w8, #0x77
0xfffffff0087f67b4: 0051ff90  adrp	x0, #0xfffffff007216000
0xfffffff0087f67b8: 00f41b91  add	x0, x0, #0x6fd
0xfffffff0087f67bc: 3dfbff17  b	#0xfffffff0087f54b0
0xfffffff0087f67c0: 7bf60294  bl	#0xfffffff0088b41ac
0xfffffff0087f67c4: f40300aa  mov	x20, x0
0xfffffff0087f67c8: 80008052  mov	w0, #4
0xfffffff0087f67cc: 21140294  bl	#0xfffffff00887b850
0xfffffff0087f67d0: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f67d4: 095b40b9  ldr	w9, [x24, #0x58]
0xfffffff0087f67d8: e9ef04a9  stp	x9, x27, [sp, #0x48]
0xfffffff0087f67dc: e8e303a9  stp	x8, x24, [sp, #0x38]
0xfffffff0087f67e0: 0851ff90  adrp	x8, #0xfffffff007216000
0xfffffff0087f67e4: 08250791  add	x8, x8, #0x1c9
0xfffffff0087f67e8: 49728052  mov	w9, #0x392
0xfffffff0087f67ec: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f67f0: e850fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f67f4: 08213591  add	x8, x8, #0xd48
0xfffffff0087f67f8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f67fc: e80e8052  mov	w8, #0x77
0xfffffff0087f6800: 4352ffd0  adrp	x3, #0xfffffff007240000
0xfffffff0087f6804: 63003191  add	x3, x3, #0xc40
0xfffffff0087f6808: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f680c: f40300f9  str	x20, [sp]
0xfffffff0087f6810: 804ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f6814: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f6818: 8190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f681c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f6820: 02008052  mov	w2, #0
0xfffffff0087f6824: 43f2ec97  bl	#0xfffffff008333130
0xfffffff0087f6828: abfbff17  b	#0xfffffff0087f56d4
0xfffffff0087f682c: e00e8052  mov	w0, #0x77
0xfffffff0087f6830: 81008052  mov	w1, #4
0xfffffff0087f6834: e7130294  bl	#0xfffffff00887b7d0
0xfffffff0087f6838: e074ff34  cbz	w0, #0xfffffff0087f56d4
0xfffffff0087f683c: e00e8052  mov	w0, #0x77
0xfffffff0087f6840: f6130294  bl	#0xfffffff00887b818
0xfffffff0087f6844: f50300aa  mov	x21, x0
0xfffffff0087f6848: 59f60294  bl	#0xfffffff0088b41ac
0xfffffff0087f684c: f40300aa  mov	x20, x0
0xfffffff0087f6850: 80008052  mov	w0, #4
0xfffffff0087f6854: ff130294  bl	#0xfffffff00887b850
0xfffffff0087f6858: 95230034  cbz	w21, #0xfffffff0087f6cc8
0xfffffff0087f685c: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f6860: 095b40b9  ldr	w9, [x24, #0x58]
0xfffffff0087f6864: e9df04a9  stp	x9, x23, [sp, #0x48]
0xfffffff0087f6868: e8e303a9  stp	x8, x24, [sp, #0x38]
0xfffffff0087f686c: 0851ff90  adrp	x8, #0xfffffff007216000
0xfffffff0087f6870: 08f51291  add	x8, x8, #0x4bd
0xfffffff0087f6874: 29808052  mov	w9, #0x401
0xfffffff0087f6878: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f687c: e850fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f6880: 08213591  add	x8, x8, #0xd48
0xfffffff0087f6884: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f6888: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f688c: e80e8052  mov	w8, #0x77
