; Candidate 2669
; ADRP+ADD at VM 0xfffffff0086da9d4 (fileoff 0x16d69d4): page=0x1fea57000 add_imm=0xd90

0xfffffff0086da954: c9a98652  mov	w9, #0x354e
0xfffffff0086da958: 09696938  ldrb	w9, [x8, x9]
0xfffffff0086da95c: a9000034  cbz	w9, #0xfffffff0086da970
0xfffffff0086da960: 09a95af9  ldr	x9, [x8, #0x3550]
0xfffffff0086da964: 28210091  add	x8, x9, #8
0xfffffff0086da968: 29410091  add	x9, x9, #0x10
0xfffffff0086da96c: 04000014  b	#0xfffffff0086da97c
0xfffffff0086da970: 090d42f9  ldr	x9, [x8, #0x418]
0xfffffff0086da974: 28410091  add	x8, x9, #0x10
0xfffffff0086da978: 29610091  add	x9, x9, #0x18
0xfffffff0086da97c: 080140f9  ldr	x8, [x8]
0xfffffff0086da980: 280008cb  sub	x8, x1, x8
0xfffffff0086da984: 290140f9  ldr	x9, [x9]
0xfffffff0086da988: 0001098b  add	x0, x8, x9
0xfffffff0086da98c: c0035fd6  ret	
0xfffffff0086da990: 7f2303d5  pacibsp	
0xfffffff0086da994: ff4301d1  sub	sp, sp, #0x50
0xfffffff0086da998: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff0086da99c: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0086da9a0: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0086da9a4: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0086da9a8: fd030191  add	x29, sp, #0x40
0xfffffff0086da9ac: f40301aa  mov	x20, x1
0xfffffff0086da9b0: f30300aa  mov	x19, x0
0xfffffff0086da9b4: 36544129  ldp	w22, w21, [x1, #8]
0xfffffff0086da9b8: 370440b9  ldr	w23, [x1, #4]
0xfffffff0086da9bc: ff120071  cmp	w23, #4
0xfffffff0086da9c0: a3010054  b.lo	#0xfffffff0086da9f4
0xfffffff0086da9c4: e8cf8052  mov	w8, #0x67f
0xfffffff0086da9c8: a953ffb0  adrp	x9, #0xfffffff00714f000
0xfffffff0086da9cc: 29f90a91  add	x9, x9, #0x2be
0xfffffff0086da9d0: e92300a9  stp	x9, x8, [sp]
0xfffffff0086da9d4: a052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086da9d8: 00403691  add	x0, x0, #0xd90
0xfffffff0086da9dc: 0199fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086da9e0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086da9e4: c352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086da9e8: 63f40a91  add	x3, x3, #0x2bd
0xfffffff0086da9ec: 02008052  mov	w2, #0
0xfffffff0086da9f0: d061f197  bl	#0xfffffff008333130
0xfffffff0086da9f4: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0086da9f8: 0b3575b9  ldr	w11, [x8, #0x3534]
0xfffffff0086da9fc: 6b000034  cbz	w11, #0xfffffff0086daa08
0xfffffff0086daa00: 0a3975b9  ldr	w10, [x8, #0x3538]
0xfffffff0086daa04: 6a000035  cbnz	w10, #0xfffffff0086daa10
0xfffffff0086daa08: eb0316aa  mov	x11, x22
0xfffffff0086daa0c: ea0315aa  mov	x10, x21
0xfffffff0086daa10: 697d0011  add	w9, w11, #0x1f
0xfffffff0086daa14: 6cf90011  add	w12, w11, #0x3e
0xfffffff0086daa18: 3f010071  cmp	w9, #0
0xfffffff0086daa1c: 89b1891a  csel	w9, w12, w9, lt
0xfffffff0086daa20: 297d0513  asr	w9, w9, #5
0xfffffff0086daa24: 4c7d0011  add	w12, w10, #0x1f
0xfffffff0086daa28: 4df90011  add	w13, w10, #0x3e
0xfffffff0086daa2c: 9f010071  cmp	w12, #0
0xfffffff0086daa30: acb18c1a  csel	w12, w13, w12, lt
0xfffffff0086daa34: 8d7d0513  asr	w13, w12, #5
0xfffffff0086daa38: 2c050051  sub	w12, w9, #1
0xfffffff0086daa3c: 8e11c05a  clz	w14, w12
0xfffffff0086daa40: 0c048052  mov	w12, #0x20
0xfffffff0086daa44: 8e010e4b  sub	w14, w12, w14
0xfffffff0086daa48: 3f090071  cmp	w9, #2
0xfffffff0086daa4c: e9338e1a  csel	w9, wzr, w14, lo
0xfffffff0086daa50: ae050051  sub	w14, w13, #1
