; Candidate 6372
; ADRP+ADD at VM 0xfffffff008827c94 (fileoff 0x1823c94): page=0x1fe9c2000 add_imm=0xe80

0xfffffff008827c14: 1a210094  bl	#0xfffffff00883007c
0xfffffff008827c18: 1f0300eb  cmp	x24, x0
0xfffffff008827c1c: 80140054  b.eq	#0xfffffff008827eac
0xfffffff008827c20: e00317aa  mov	x0, x23
0xfffffff008827c24: 971e0094  bl	#0xfffffff00882f680
0xfffffff008827c28: f80300aa  mov	x24, x0
0xfffffff008827c2c: e0020191  add	x0, x23, #0x40
0xfffffff008827c30: fd1d0094  bl	#0xfffffff00882f424
0xfffffff008827c34: 40feff34  cbz	w0, #0xfffffff008827bfc
0xfffffff008827c38: e00317aa  mov	x0, x23
0xfffffff008827c3c: 3d1f0094  bl	#0xfffffff00882f930
0xfffffff008827c40: e00317aa  mov	x0, x23
0xfffffff008827c44: e3edff97  bl	#0xfffffff0088233d0
0xfffffff008827c48: 685a46b9  ldr	w8, [x19, #0x658]
0xfffffff008827c4c: 696246b9  ldr	w9, [x19, #0x660]
0xfffffff008827c50: 2801084b  sub	w8, w9, w8
0xfffffff008827c54: 686206b9  str	w8, [x19, #0x660]
0xfffffff008827c58: 95000014  b	#0xfffffff008827eac
0xfffffff008827c5c: 54310294  bl	#0xfffffff0088b41ac
0xfffffff008827c60: f50300aa  mov	x21, x0
0xfffffff008827c64: 00018052  mov	w0, #8
0xfffffff008827c68: fa4e0194  bl	#0xfffffff00887b850
0xfffffff008827c6c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008827c70: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008827c74: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827c78: 08153091  add	x8, x8, #0xc05
0xfffffff008827c7c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008827c80: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827c84: 08653291  add	x8, x8, #0xc99
0xfffffff008827c88: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008827c8c: e80a8052  mov	w8, #0x57
0xfffffff008827c90: f52300a9  stp	x21, x8, [sp]
0xfffffff008827c94: 004effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008827c98: 00003a91  add	x0, x0, #0xe80
0xfffffff008827c9c: 018fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008827ca0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008827ca4: 2351ff90  adrp	x3, #0xfffffff00724b000
0xfffffff008827ca8: 63bc3891  add	x3, x3, #0xe2f
0xfffffff008827cac: 02008052  mov	w2, #0
0xfffffff008827cb0: 202dec97  bl	#0xfffffff008333130
0xfffffff008827cb4: 34f7ffb5  cbnz	x20, #0xfffffff008827b98
0xfffffff008827cb8: e00a8052  mov	w0, #0x57
0xfffffff008827cbc: 81008052  mov	w1, #4
0xfffffff008827cc0: c44e0194  bl	#0xfffffff00887b7d0
0xfffffff008827cc4: 200f0034  cbz	w0, #0xfffffff008827ea8
0xfffffff008827cc8: e00a8052  mov	w0, #0x57
0xfffffff008827ccc: d34e0194  bl	#0xfffffff00887b818
0xfffffff008827cd0: f60300aa  mov	x22, x0
0xfffffff008827cd4: 36310294  bl	#0xfffffff0088b41ac
0xfffffff008827cd8: f50300aa  mov	x21, x0
0xfffffff008827cdc: 80008052  mov	w0, #4
0xfffffff008827ce0: dc4e0194  bl	#0xfffffff00887b850
0xfffffff008827ce4: f6050034  cbz	w22, #0xfffffff008827da0
0xfffffff008827ce8: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008827cec: c94fffd0  adrp	x9, #0xfffffff007221000
0xfffffff008827cf0: 2a3d0391  add	x10, x9, #0xcf
0xfffffff008827cf4: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008827cf8: 68a78052  mov	w8, #0x53b
0xfffffff008827cfc: c94fffd0  adrp	x9, #0xfffffff007221000
0xfffffff008827d00: 29153091  add	x9, x9, #0xc05
0xfffffff008827d04: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008827d08: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827d0c: 08653291  add	x8, x8, #0xc99
0xfffffff008827d10: e8a701a9  stp	x8, x9, [sp, #0x18]
