; Candidate 8587
; ADRP+ADD at VM 0xfffffff0088b3914 (fileoff 0x18af914): page=0x1fe936000 add_imm=0xe80

0xfffffff0088b3894: 090d4bf8  ldr	x9, [x8, #0xb0]!
0xfffffff0088b3898: f10308aa  mov	x17, x8
0xfffffff0088b389c: d162f3f2  movk	x17, #0x9b16, lsl #48
0xfffffff0088b38a0: 31093fd7  blraa	x9, x17
0xfffffff0088b38a4: 25000014  b	#0xfffffff0088b3938
0xfffffff0088b38a8: 09e10491  add	x9, x8, #0x138
0xfffffff0088b38ac: 089d40f9  ldr	x8, [x8, #0x138]
0xfffffff0088b38b0: f10309aa  mov	x17, x9
0xfffffff0088b38b4: 1174fff2  movk	x17, #0xfba0, lsl #48
0xfffffff0088b38b8: 11093fd7  blraa	x8, x17
0xfffffff0088b38bc: 600640f9  ldr	x0, [x19, #8]
0xfffffff0088b38c0: 100040f9  ldr	x16, [x0]
0xfffffff0088b38c4: f10300aa  mov	x17, x0
0xfffffff0088b38c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088b38cc: 301ac1da  autda	x16, x17
0xfffffff0088b38d0: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff0088b38d4: e90310aa  mov	x9, x16
0xfffffff0088b38d8: f10309aa  mov	x17, x9
0xfffffff0088b38dc: 3153f3f2  movk	x17, #0x9a99, lsl #48
0xfffffff0088b38e0: 11093fd7  blraa	x8, x17
0xfffffff0088b38e4: 15000014  b	#0xfffffff0088b3938
0xfffffff0088b38e8: 31020094  bl	#0xfffffff0088b41ac
0xfffffff0088b38ec: f50300aa  mov	x21, x0
0xfffffff0088b38f0: e0008052  mov	w0, #7
0xfffffff0088b38f4: d71fff97  bl	#0xfffffff00887b850
0xfffffff0088b38f8: e80314aa  mov	x8, x20
0xfffffff0088b38fc: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088b3900: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b3904: 088d0891  add	x8, x8, #0x223
0xfffffff0088b3908: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b390c: 880d8052  mov	w8, #0x6c
0xfffffff0088b3910: f52300a9  stp	x21, x8, [sp]
0xfffffff0088b3914: a049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b3918: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b391c: a18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b3920: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b3924: 834dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088b3928: 63d43c91  add	x3, x3, #0xf35
0xfffffff0088b392c: 02008052  mov	w2, #0
0xfffffff0088b3930: 00fee997  bl	#0xfffffff008333130
0xfffffff0088b3934: 93f9ffb5  cbnz	x19, #0xfffffff0088b3864
0xfffffff0088b3938: 800d8052  mov	w0, #0x6c
0xfffffff0088b393c: e1008052  mov	w1, #7
0xfffffff0088b3940: a41fff97  bl	#0xfffffff00887b7d0
0xfffffff0088b3944: e0040034  cbz	w0, #0xfffffff0088b39e0
0xfffffff0088b3948: 800d8052  mov	w0, #0x6c
0xfffffff0088b394c: b31fff97  bl	#0xfffffff00887b818
0xfffffff0088b3950: f60300aa  mov	x22, x0
0xfffffff0088b3954: 16020094  bl	#0xfffffff0088b41ac
0xfffffff0088b3958: f50300aa  mov	x21, x0
0xfffffff0088b395c: e0008052  mov	w0, #7
0xfffffff0088b3960: bc1fff97  bl	#0xfffffff00887b850
0xfffffff0088b3964: 96010034  cbz	w22, #0xfffffff0088b3994
0xfffffff0088b3968: f4ff02a9  stp	x20, xzr, [sp, #0x28]
0xfffffff0088b396c: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b3970: 088d0891  add	x8, x8, #0x223
0xfffffff0088b3974: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088b3978: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088b397c: 880d8052  mov	w8, #0x6c
0xfffffff0088b3980: 804bffd0  adrp	x0, #0xfffffff007225000
0xfffffff0088b3984: 00042891  add	x0, x0, #0xa01
0xfffffff0088b3988: f52300a9  stp	x21, x8, [sp]
0xfffffff0088b398c: b50ed497  bl	#0xfffffff007db7460
0xfffffff0088b3990: 14000014  b	#0xfffffff0088b39e0
