; Candidate 5130
; ADRP+ADD at VM 0xfffffff0087da9f8 (fileoff 0x17d69f8): page=0x1fea0f000 add_imm=0xe80

0xfffffff0087da978: 37020034  cbz	w23, #0xfffffff0087da9bc
0xfffffff0087da97c: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087da980: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087da984: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087da988: c851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087da98c: 09a52e91  add	x9, x8, #0xba9
0xfffffff0087da990: c851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087da994: 081d0291  add	x8, x8, #0x87
0xfffffff0087da998: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087da99c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087da9a0: 280a8052  mov	w8, #0x51
0xfffffff0087da9a4: c051ff90  adrp	x0, #0xfffffff007212000
0xfffffff0087da9a8: 000c2191  add	x0, x0, #0x843
0xfffffff0087da9ac: f62300a9  stp	x22, x8, [sp]
0xfffffff0087da9b0: ac72d797  bl	#0xfffffff007db7460
0xfffffff0087da9b4: 540300b5  cbnz	x20, #0xfffffff0087daa1c
0xfffffff0087da9b8: 26000014  b	#0xfffffff0087daa50
0xfffffff0087da9bc: fc650394  bl	#0xfffffff0088b41ac
0xfffffff0087da9c0: f60300aa  mov	x22, x0
0xfffffff0087da9c4: c0008052  mov	w0, #6
0xfffffff0087da9c8: a2830294  bl	#0xfffffff00887b850
0xfffffff0087da9cc: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087da9d0: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087da9d4: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087da9d8: c851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087da9dc: 09a52e91  add	x9, x8, #0xba9
0xfffffff0087da9e0: c851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087da9e4: 081d0291  add	x8, x8, #0x87
0xfffffff0087da9e8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087da9ec: 280a8052  mov	w8, #0x51
0xfffffff0087da9f0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087da9f4: f60300f9  str	x22, [sp]
0xfffffff0087da9f8: 6050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087da9fc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087daa00: 6191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087daa04: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087daa08: 0353ffd0  adrp	x3, #0xfffffff00723c000
0xfffffff0087daa0c: 63842b91  add	x3, x3, #0xae1
0xfffffff0087daa10: 02008052  mov	w2, #0
0xfffffff0087daa14: c761ed97  bl	#0xfffffff008333130
0xfffffff0087daa18: d40100b4  cbz	x20, #0xfffffff0087daa50
0xfffffff0087daa1c: b50100b4  cbz	x21, #0xfffffff0087daa50
0xfffffff0087daa20: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff0087daa24: 480500b4  cbz	x8, #0xfffffff0087daacc
0xfffffff0087daa28: 60aa40f9  ldr	x0, [x19, #0x150]
0xfffffff0087daa2c: 000500b4  cbz	x0, #0xfffffff0087daacc
0xfffffff0087daa30: 829640b9  ldr	w2, [x20, #0x94]
0xfffffff0087daa34: 83720291  add	x3, x20, #0x9c
0xfffffff0087daa38: 84c20691  add	x4, x20, #0x1b0
0xfffffff0087daa3c: 85520091  add	x5, x20, #0x14
0xfffffff0087daa40: e10314aa  mov	x1, x20
0xfffffff0087daa44: f4f60094  bl	#0xfffffff008818614
0xfffffff0087daa48: f60300aa  mov	x22, x0
0xfffffff0087daa4c: 7c000014  b	#0xfffffff0087dac3c
0xfffffff0087daa50: 200a8052  mov	w0, #0x51
0xfffffff0087daa54: 81008052  mov	w1, #4
0xfffffff0087daa58: 5e830294  bl	#0xfffffff00887b7d0
0xfffffff0087daa5c: 000b0034  cbz	w0, #0xfffffff0087dabbc
0xfffffff0087daa60: 200a8052  mov	w0, #0x51
0xfffffff0087daa64: 6d830294  bl	#0xfffffff00887b818
0xfffffff0087daa68: f70300aa  mov	x23, x0
0xfffffff0087daa6c: d0650394  bl	#0xfffffff0088b41ac
0xfffffff0087daa70: f60300aa  mov	x22, x0
0xfffffff0087daa74: 80008052  mov	w0, #4
