; Candidate 15317
; ADRP+ADD at VM 0xfffffff009b4e678 (fileoff 0x2b4a678): page=0x1fdada000 add_imm=0xed0

0xfffffff009b4e5f8: 40000054  b.eq	#0xfffffff009b4e600
0xfffffff009b4e5fc: 408e38d4  brk	#0xc472
0xfffffff009b4e600: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b4e604: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b4e608: e00313aa  mov	x0, x19
0xfffffff009b4e60c: 010080d2  mov	x1, #0
0xfffffff009b4e610: f10308aa  mov	x17, x8
0xfffffff009b4e614: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4e618: 31093fd7  blraa	x9, x17
0xfffffff009b4e61c: f70300aa  mov	x23, x0
0xfffffff009b4e620: 700240f9  ldr	x16, [x19]
0xfffffff009b4e624: f10313aa  mov	x17, x19
0xfffffff009b4e628: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4e62c: 301ac1da  autda	x16, x17
0xfffffff009b4e630: f10310aa  mov	x17, x16
0xfffffff009b4e634: f147c1da  xpacd	x17
0xfffffff009b4e638: 1f0211eb  cmp	x16, x17
0xfffffff009b4e63c: 40000054  b.eq	#0xfffffff009b4e644
0xfffffff009b4e640: 408e38d4  brk	#0xc472
0xfffffff009b4e644: 08620891  add	x8, x16, #0x218
0xfffffff009b4e648: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4e64c: e00313aa  mov	x0, x19
0xfffffff009b4e650: 010080d2  mov	x1, #0
0xfffffff009b4e654: f10308aa  mov	x17, x8
0xfffffff009b4e658: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4e65c: 31093fd7  blraa	x9, x17
0xfffffff009b4e660: e8d6fe90  adrp	x8, #0xfffffff00762a000
0xfffffff009b4e664: 08551491  add	x8, x8, #0x515
0xfffffff009b4e668: c9d6fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b4e66c: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b4e670: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b4e674: f70300a9  stp	x23, x0, [sp]
0xfffffff009b4e678: c0d6fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b4e67c: 00403b91  add	x0, x0, #0xed0
0xfffffff009b4e680: e3d6fed0  adrp	x3, #0xfffffff00762c000
0xfffffff009b4e684: 63700991  add	x3, x3, #0x25c
0xfffffff009b4e688: e10316aa  mov	x1, x22
0xfffffff009b4e68c: e20315aa  mov	x2, x21
0xfffffff009b4e690: a8929f97  bl	#0xfffffff008333130
0xfffffff009b4e694: 6c020014  b	#0xfffffff009b4f044
0xfffffff009b4e698: e96a1b53  lsl	w9, w23, #5
0xfffffff009b4e69c: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff009b4e6a0: 2901088b  add	x9, x9, x8
0xfffffff009b4e6a4: aa4a142a  orr	w10, w21, w20, lsl #18
0xfffffff009b4e6a8: 0b009052  mov	w11, #0x8000
0xfffffff009b4e6ac: 0b00a372  movk	w11, #0x1800, lsl #16
0xfffffff009b4e6b0: 4a010b2a  orr	w10, w10, w11
0xfffffff009b4e6b4: 2a010bb9  str	w10, [x9, #0xb00]
0xfffffff009b4e6b8: 5a020014  b	#0xfffffff009b4f020
0xfffffff009b4e6bc: 69d20e91  add	x9, x19, #0x3b4
0xfffffff009b4e6c0: a8008092  mov	x8, #-6
0xfffffff009b4e6c4: 2a0140b9  ldr	w10, [x9]
0xfffffff009b4e6c8: bf0a0a6b  cmp	w21, w10, lsl #2
0xfffffff009b4e6cc: a8000054  b.hi	#0xfffffff009b4e6e0
0xfffffff009b4e6d0: 2ac15f38  ldurb	w10, [x9, #-4]
0xfffffff009b4e6d4: 5f010071  cmp	w10, #0
0xfffffff009b4e6d8: e4124a7a  ccmp	w23, w10, #4, ne
0xfffffff009b4e6dc: 20010054  b.eq	#0xfffffff009b4e700
0xfffffff009b4e6e0: 29310091  add	x9, x9, #0xc
0xfffffff009b4e6e4: 080500b1  adds	x8, x8, #1
0xfffffff009b4e6e8: e3feff54  b.lo	#0xfffffff009b4e6c4
0xfffffff009b4e6ec: e8008052  mov	w8, #7
0xfffffff009b4e6f0: 081b00b9  str	w8, [x24, #0x18]
0xfffffff009b4e6f4: e00313aa  mov	x0, x19
