; Candidate 12336
; ADRP+ADD at VM 0xfffffff00908bdf0 (fileoff 0x2087df0): page=0x1fe3ce000 add_imm=0xe24

0xfffffff00908bd70: 080240f9  ldr	x8, [x16]
0xfffffff00908bd74: e90310aa  mov	x9, x16
0xfffffff00908bd78: 10000090  adrp	x16, #0xfffffff00908b000
0xfffffff00908bd7c: 10f23a91  add	x16, x16, #0xebc
0xfffffff00908bd80: 519a80d2  mov	x17, #0x4d2
0xfffffff00908bd84: 3002c1da  pacia	x16, x17
0xfffffff00908bd88: e20310aa  mov	x2, x16
0xfffffff00908bd8c: e30314aa  mov	x3, x20
0xfffffff00908bd90: 040080d2  mov	x4, #0
0xfffffff00908bd94: f10309aa  mov	x17, x9
0xfffffff00908bd98: f101f0f2  movk	x17, #0x800f, lsl #48
0xfffffff00908bd9c: 11093fd7  blraa	x8, x17
0xfffffff00908bda0: 808a00f9  str	x0, [x20, #0x110]
0xfffffff00908bda4: c00600b4  cbz	x0, #0xfffffff00908be7c
0xfffffff00908bda8: 14008052  mov	w20, #0
0xfffffff00908bdac: 58018052  mov	w24, #0xa
0xfffffff00908bdb0: 700240f9  ldr	x16, [x19]
0xfffffff00908bdb4: f10313aa  mov	x17, x19
0xfffffff00908bdb8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00908bdbc: 301ac1da  autda	x16, x17
0xfffffff00908bdc0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00908bdc4: e90310aa  mov	x9, x16
0xfffffff00908bdc8: e00313aa  mov	x0, x19
0xfffffff00908bdcc: f10309aa  mov	x17, x9
0xfffffff00908bdd0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00908bdd4: 11093fd7  blraa	x8, x17
0xfffffff00908bdd8: e8024039  ldrb	w8, [x23]
0xfffffff00908bddc: 1f03086b  cmp	w24, w8
0xfffffff00908bde0: e3000054  b.lo	#0xfffffff00908bdfc
0xfffffff00908bde4: 887e4093  sxtw	x8, w20
0xfffffff00908bde8: f65700a9  stp	x22, x21, [sp]
0xfffffff00908bdec: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908bdf0: 601effd0  adrp	x0, #0xfffffff007459000
0xfffffff00908bdf4: 00903891  add	x0, x0, #0xe24
0xfffffff00908bdf8: 8a2ccb97  bl	#0xfffffff008357020
0xfffffff00908bdfc: e00314aa  mov	x0, x20
0xfffffff00908be00: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00908be04: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00908be08: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00908be0c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00908be10: ffc30191  add	sp, sp, #0x70
0xfffffff00908be14: ff0f5fd6  retab	
0xfffffff00908be18: c8148052  mov	w8, #0xa6
0xfffffff00908be1c: 891effd0  adrp	x9, #0xfffffff00745d000
0xfffffff00908be20: 29a12f91  add	x9, x9, #0xbe8
0xfffffff00908be24: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00908be28: 681effd0  adrp	x8, #0xfffffff007459000
0xfffffff00908be2c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908be30: 8a1effb0  adrp	x10, #0xfffffff00745c000
0xfffffff00908be34: 4ad92091  add	x10, x10, #0x836
0xfffffff00908be38: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff00908be3c: ea0300f9  str	x10, [sp]
0xfffffff00908be40: 601effd0  adrp	x0, #0xfffffff007459000
0xfffffff00908be44: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908be48: 762ccb97  bl	#0xfffffff008357020
0xfffffff00908be4c: d8088052  mov	w24, #0x46
0xfffffff00908be50: 94008012  mov	w20, #-5
0xfffffff00908be54: e1ffff17  b	#0xfffffff00908bdd8
0xfffffff00908be58: 28158052  mov	w8, #0xa9
0xfffffff00908be5c: 891effd0  adrp	x9, #0xfffffff00745d000
0xfffffff00908be60: 29a12f91  add	x9, x9, #0xbe8
0xfffffff00908be64: e81300f9  str	x8, [sp, #0x20]
0xfffffff00908be68: 681effd0  adrp	x8, #0xfffffff007459000
0xfffffff00908be6c: 08b92d91  add	x8, x8, #0xb6e
