; Candidate 6154
; ADRP+ADD at VM 0xfffffff0088178fc (fileoff 0x18138fc): page=0x1fe9d2000 add_imm=0xe80

0xfffffff00881787c: a88357f8  ldur	x8, [x29, #-0x88]
0xfffffff008817880: e80300f9  str	x8, [sp]
0xfffffff008817884: f77ed697  bl	#0xfffffff007db7460
0xfffffff008817888: 62000014  b	#0xfffffff008817a10
0xfffffff00881788c: 48720294  bl	#0xfffffff0088b41ac
0xfffffff008817890: a00318f8  stur	x0, [x29, #-0x80]
0xfffffff008817894: 80008052  mov	w0, #4
0xfffffff008817898: ee8f0194  bl	#0xfffffff00887b850
0xfffffff00881789c: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0088178a0: e84700f9  str	x8, [sp, #0x88]
0xfffffff0088178a4: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff0088178a8: e84300f9  str	x8, [sp, #0x80]
0xfffffff0088178ac: e8031aaa  mov	x8, x26
0xfffffff0088178b0: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff0088178b4: e82707a9  stp	x8, x9, [sp, #0x70]
0xfffffff0088178b8: f86706a9  stp	x24, x25, [sp, #0x60]
0xfffffff0088178bc: f65f05a9  stp	x22, x23, [sp, #0x50]
0xfffffff0088178c0: f45704a9  stp	x20, x21, [sp, #0x40]
0xfffffff0088178c4: fb4f03a9  stp	x27, x19, [sp, #0x30]
0xfffffff0088178c8: c84fffb0  adrp	x8, #0xfffffff007210000
0xfffffff0088178cc: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088178d0: 69018152  mov	w9, #0x80b
0xfffffff0088178d4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088178d8: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff0088178dc: 080d3491  add	x8, x8, #0xd03
0xfffffff0088178e0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088178e4: 880e8052  mov	w8, #0x74
0xfffffff0088178e8: 8351ffb0  adrp	x3, #0xfffffff007248000
0xfffffff0088178ec: 630c2f91  add	x3, x3, #0xbc3
0xfffffff0088178f0: e80700f9  str	x8, [sp, #8]
0xfffffff0088178f4: a80358f8  ldur	x8, [x29, #-0x80]
0xfffffff0088178f8: e80300f9  str	x8, [sp]
0xfffffff0088178fc: 804effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008817900: 00003a91  add	x0, x0, #0xe80
0xfffffff008817904: 818fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008817908: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881790c: 02008052  mov	w2, #0
0xfffffff008817910: 086eec97  bl	#0xfffffff008333130
0xfffffff008817914: 3f000014  b	#0xfffffff008817a10
0xfffffff008817918: 25720294  bl	#0xfffffff0088b41ac
0xfffffff00881791c: fb0300aa  mov	x27, x0
0xfffffff008817920: 80008052  mov	w0, #4
0xfffffff008817924: cb8f0194  bl	#0xfffffff00887b850
0xfffffff008817928: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00881792c: e84300f9  str	x8, [sp, #0x80]
0xfffffff008817930: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff008817934: e83f00f9  str	x8, [sp, #0x78]
0xfffffff008817938: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff00881793c: e8031aaa  mov	x8, x26
0xfffffff008817940: e8a706a9  stp	x8, x9, [sp, #0x68]
0xfffffff008817944: f8e705a9  stp	x24, x25, [sp, #0x58]
0xfffffff008817948: f6df04a9  stp	x22, x23, [sp, #0x48]
0xfffffff00881794c: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008817950: 2850ffb0  adrp	x8, #0xfffffff00721c000
0xfffffff008817954: 08450491  add	x8, x8, #0x111
0xfffffff008817958: 89008152  mov	w9, #0x804
0xfffffff00881795c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008817960: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008817964: 080d3491  add	x8, x8, #0xd03
0xfffffff008817968: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881796c: 880e8052  mov	w8, #0x74
0xfffffff008817970: 8351ffb0  adrp	x3, #0xfffffff007248000
0xfffffff008817974: 63b42d91  add	x3, x3, #0xb6d
0xfffffff008817978: e88300a9  stp	x8, x0, [sp, #8]
