; Candidate 16868
; ADRP+ADD at VM 0xfffffff009f8d0b0 (fileoff 0x2f890b0): page=0x1fd8e1000 add_imm=0xead

0xfffffff009f8d030: 08c7feb0  adrp	x8, #0xfffffff00786e000
0xfffffff009f8d034: 08293a91  add	x8, x8, #0xe8a
0xfffffff009f8d038: 0bc7feb0  adrp	x11, #0xfffffff00786e000
0xfffffff009f8d03c: 6b713a91  add	x11, x11, #0xe9c
0xfffffff009f8d040: 5401899a  csel	x20, x10, x9, eq
0xfffffff009f8d044: 7301889a  csel	x19, x11, x8, eq
0xfffffff009f8d048: ffff03a9  stp	xzr, xzr, [sp, #0x38]
0xfffffff009f8d04c: 8002c03d  ldr	q0, [x20]
0xfffffff009f8d050: e00b803d  str	q0, [sp, #0x20]
0xfffffff009f8d054: 5c540094  bl	#0xfffffff009fa21c4
0xfffffff009f8d058: e8830091  add	x8, sp, #0x20
0xfffffff009f8d05c: 09028052  mov	w9, #0x10
0xfffffff009f8d060: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009f8d064: e8e30091  add	x8, sp, #0x38
0xfffffff009f8d068: ff2300a9  stp	xzr, x8, [sp]
0xfffffff009f8d06c: 02c7feb0  adrp	x2, #0xfffffff00786e000
0xfffffff009f8d070: 42e03891  add	x2, x2, #0xe38
0xfffffff009f8d074: 04c7feb0  adrp	x4, #0xfffffff00786e000
0xfffffff009f8d078: 84243991  add	x4, x4, #0xe49
0xfffffff009f8d07c: 01028052  mov	w1, #0x10
0xfffffff009f8d080: 83018052  mov	w3, #0xc
0xfffffff009f8d084: 050080d2  mov	x5, #0
0xfffffff009f8d088: 060080d2  mov	x6, #0
0xfffffff009f8d08c: 070080d2  mov	x7, #0
0xfffffff009f8d090: 903d0094  bl	#0xfffffff009f9c6d0
0xfffffff009f8d094: 80010034  cbz	w0, #0xfffffff009f8d0c4
0xfffffff009f8d098: 8e1c7d97  bl	#0xfffffff007ed42d0
0xfffffff009f8d09c: 68078052  mov	w8, #0x3b
0xfffffff009f8d0a0: 09c7feb0  adrp	x9, #0xfffffff00786e000
0xfffffff009f8d0a4: 29a53b91  add	x9, x9, #0xee9
0xfffffff009f8d0a8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009f8d0ac: e00300f9  str	x0, [sp]
0xfffffff009f8d0b0: 00c7feb0  adrp	x0, #0xfffffff00786e000
0xfffffff009f8d0b4: 00b43a91  add	x0, x0, #0xead
0xfffffff009f8d0b8: 26899397  bl	#0xfffffff00846f550
0xfffffff009f8d0bc: 00098012  mov	w0, #-0x49
0xfffffff009f8d0c0: 11000014  b	#0xfffffff009f8d104
0xfffffff009f8d0c4: f5830091  add	x21, sp, #0x20
0xfffffff009f8d0c8: e0830091  add	x0, sp, #0x20
0xfffffff009f8d0cc: e10314aa  mov	x1, x20
0xfffffff009f8d0d0: 02028052  mov	w2, #0x10
0xfffffff009f8d0d4: 68497c97  bl	#0xfffffff007e9f674
0xfffffff009f8d0d8: c0020034  cbz	w0, #0xfffffff009f8d130
0xfffffff009f8d0dc: 7d1c7d97  bl	#0xfffffff007ed42d0
0xfffffff009f8d0e0: 48088052  mov	w8, #0x42
0xfffffff009f8d0e4: 09c7feb0  adrp	x9, #0xfffffff00786e000
0xfffffff009f8d0e8: 29a53b91  add	x9, x9, #0xee9
0xfffffff009f8d0ec: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009f8d0f0: e00300f9  str	x0, [sp]
0xfffffff009f8d0f4: 00c7feb0  adrp	x0, #0xfffffff00786e000
0xfffffff009f8d0f8: 00b43a91  add	x0, x0, #0xead
0xfffffff009f8d0fc: 15899397  bl	#0xfffffff00846f550
0xfffffff009f8d100: 40098012  mov	w0, #-0x4b
0xfffffff009f8d104: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff009f8d108: a9edfef0  adrp	x9, #0xfffffff007d44000
0xfffffff009f8d10c: 292d43f9  ldr	x9, [x9, #0x658]
0xfffffff009f8d110: 290140f9  ldr	x9, [x9]
0xfffffff009f8d114: 3f0108eb  cmp	x9, x8
0xfffffff009f8d118: 21060054  b.ne	#0xfffffff009f8d1dc
0xfffffff009f8d11c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff009f8d120: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009f8d124: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff009f8d128: ff030291  add	sp, sp, #0x80
0xfffffff009f8d12c: ff0f5fd6  retab	
