; Candidate 7171
; ADRP+ADD at VM 0xfffffff00885cf60 (fileoff 0x1858f60): page=0x1fe98d000 add_imm=0xe80

0xfffffff00885cee0: 281b8052  mov	w8, #0xd9
0xfffffff00885cee4: 494efff0  adrp	x9, #0xfffffff007227000
0xfffffff00885cee8: 29651891  add	x9, x9, #0x619
0xfffffff00885ceec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885cef0: 484efff0  adrp	x8, #0xfffffff007227000
0xfffffff00885cef4: 08811191  add	x8, x8, #0x460
0xfffffff00885cef8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885cefc: 880c8052  mov	w8, #0x64
0xfffffff00885cf00: 404efff0  adrp	x0, #0xfffffff007227000
0xfffffff00885cf04: 00ec1b91  add	x0, x0, #0x6fb
0xfffffff00885cf08: f72300a9  stp	x23, x8, [sp]
0xfffffff00885cf0c: 5569d597  bl	#0xfffffff007db7460
0xfffffff00885cf10: a6000014  b	#0xfffffff00885d1a8
0xfffffff00885cf14: a65c0194  bl	#0xfffffff0088b41ac
0xfffffff00885cf18: f50300aa  mov	x21, x0
0xfffffff00885cf1c: 80008052  mov	w0, #4
0xfffffff00885cf20: 4c7a0094  bl	#0xfffffff00887b850
0xfffffff00885cf24: e88b40b9  ldr	w8, [sp, #0x88]
0xfffffff00885cf28: 290340b9  ldr	w9, [x25]
0xfffffff00885cf2c: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff00885cf30: 494efff0  adrp	x9, #0xfffffff007227000
0xfffffff00885cf34: 2abd1991  add	x10, x9, #0x66f
0xfffffff00885cf38: c8188052  mov	w8, #0xc6
0xfffffff00885cf3c: 494efff0  adrp	x9, #0xfffffff007227000
0xfffffff00885cf40: 29651891  add	x9, x9, #0x619
0xfffffff00885cf44: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00885cf48: 484efff0  adrp	x8, #0xfffffff007227000
0xfffffff00885cf4c: 08811191  add	x8, x8, #0x460
0xfffffff00885cf50: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885cf54: 880c8052  mov	w8, #0x64
0xfffffff00885cf58: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885cf5c: f50300f9  str	x21, [sp]
0xfffffff00885cf60: 604cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885cf64: 00003a91  add	x0, x0, #0xe80
0xfffffff00885cf68: 618dff90  adrp	x1, #0xfffffff007a08000
0xfffffff00885cf6c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885cf70: c34fffb0  adrp	x3, #0xfffffff007255000
0xfffffff00885cf74: 63380891  add	x3, x3, #0x20e
0xfffffff00885cf78: 02008052  mov	w2, #0
0xfffffff00885cf7c: 6d58eb97  bl	#0xfffffff008333130
0xfffffff00885cf80: d57e8012  mov	w21, #-0x3f7
0xfffffff00885cf84: 8fffff17  b	#0xfffffff00885cdc0
0xfffffff00885cf88: e13f40f9  ldr	x1, [sp, #0x78]
0xfffffff00885cf8c: 282840b9  ldr	w8, [x1, #0x28]
0xfffffff00885cf90: 08791f12  and	w8, w8, #0xfffffffe
0xfffffff00885cf94: 282800b9  str	w8, [x1, #0x28]
0xfffffff00885cf98: 3f3000f9  str	xzr, [x1, #0x60]
0xfffffff00885cf9c: e00314aa  mov	x0, x20
0xfffffff00885cfa0: 02008052  mov	w2, #0
0xfffffff00885cfa4: 4670fe97  bl	#0xfffffff0087f90bc
0xfffffff00885cfa8: f50300aa  mov	x21, x0
0xfffffff00885cfac: a0f0ff35  cbnz	w0, #0xfffffff00885cdc0
0xfffffff00885cfb0: 88ffff17  b	#0xfffffff00885cdd0
0xfffffff00885cfb4: 7e5c0194  bl	#0xfffffff0088b41ac
0xfffffff00885cfb8: f50300aa  mov	x21, x0
0xfffffff00885cfbc: 80008052  mov	w0, #4
0xfffffff00885cfc0: 247a0094  bl	#0xfffffff00887b850
0xfffffff00885cfc4: c8c640b9  ldr	w8, [x22, #0xc4]
0xfffffff00885cfc8: e8df03a9  stp	x8, x23, [sp, #0x38]
0xfffffff00885cfcc: a94dff90  adrp	x9, #0xfffffff007210000
0xfffffff00885cfd0: 2ab92791  add	x10, x9, #0x9ee
0xfffffff00885cfd4: c81d8052  mov	w8, #0xee
0xfffffff00885cfd8: 494efff0  adrp	x9, #0xfffffff007227000
0xfffffff00885cfdc: 29651891  add	x9, x9, #0x619
