; Candidate 3680
; ADRP+ADD at VM 0xfffffff00874dd0c (fileoff 0x1749d0c): page=0x1fe9e4000 add_imm=0xd90

0xfffffff00874dc8c: 081000b9  str	w8, [x0, #0x10]
0xfffffff00874dc90: 0d000014  b	#0xfffffff00874dcc4
0xfffffff00874dc94: 280840b9  ldr	w8, [x1, #8]
0xfffffff00874dc98: 4950fff0  adrp	x9, #0xfffffff007158000
0xfffffff00874dc9c: 293d2d91  add	x9, x9, #0xb4f
0xfffffff00874dca0: e92300a9  stp	x9, x8, [sp]
0xfffffff00874dca4: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874dca8: 00403691  add	x0, x0, #0xd90
0xfffffff00874dcac: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874dcb0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874dcb4: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874dcb8: 635c2d91  add	x3, x3, #0xb57
0xfffffff00874dcbc: 02008052  mov	w2, #0
0xfffffff00874dcc0: 1c95ef97  bl	#0xfffffff008333130
0xfffffff00874dcc4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00874dcc8: ff830091  add	sp, sp, #0x20
0xfffffff00874dccc: ff0f5fd6  retab	
0xfffffff00874dcd0: 7f2303d5  pacibsp	
0xfffffff00874dcd4: ff8301d1  sub	sp, sp, #0x60
0xfffffff00874dcd8: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00874dcdc: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00874dce0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00874dce4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00874dce8: fd430191  add	x29, sp, #0x50
0xfffffff00874dcec: f30301aa  mov	x19, x1
0xfffffff00874dcf0: f40300aa  mov	x20, x0
0xfffffff00874dcf4: 350840f9  ldr	x21, [x1, #0x10]
0xfffffff00874dcf8: 361840b9  ldr	w22, [x1, #0x18]
0xfffffff00874dcfc: f5db00a9  stp	x21, x22, [sp, #8]
0xfffffff00874dd00: 5750fff0  adrp	x23, #0xfffffff007158000
0xfffffff00874dd04: f7622b91  add	x23, x23, #0xad8
0xfffffff00874dd08: f70300f9  str	x23, [sp]
0xfffffff00874dd0c: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874dd10: 00403691  add	x0, x0, #0xd90
0xfffffff00874dd14: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874dd18: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874dd1c: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874dd20: 63002491  add	x3, x3, #0x900
0xfffffff00874dd24: 02008052  mov	w2, #0
0xfffffff00874dd28: 0295ef97  bl	#0xfffffff008333130
0xfffffff00874dd2c: 800640f9  ldr	x0, [x20, #8]
0xfffffff00874dd30: 4dabff97  bl	#0xfffffff008738a64
0xfffffff00874dd34: 80020034  cbz	w0, #0xfffffff00874dd84
0xfffffff00874dd38: 800640f9  ldr	x0, [x20, #8]
0xfffffff00874dd3c: 610a40b9  ldr	w1, [x19, #8]
0xfffffff00874dd40: 100040f9  ldr	x16, [x0]
0xfffffff00874dd44: f10300aa  mov	x17, x0
0xfffffff00874dd48: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff00874dd4c: 301ac1da  autda	x16, x17
0xfffffff00874dd50: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00874dd54: e90310aa  mov	x9, x16
0xfffffff00874dd58: e20315aa  mov	x2, x21
0xfffffff00874dd5c: e30316aa  mov	x3, x22
0xfffffff00874dd60: f10309aa  mov	x17, x9
0xfffffff00874dd64: 5116e6f2  movk	x17, #0x30b2, lsl #48
0xfffffff00874dd68: 11093fd7  blraa	x8, x17
0xfffffff00874dd6c: e00314aa  mov	x0, x20
0xfffffff00874dd70: e10313aa  mov	x1, x19
0xfffffff00874dd74: 7e030094  bl	#0xfffffff00874eb6c
0xfffffff00874dd78: f40300aa  mov	x20, x0
0xfffffff00874dd7c: 60000035  cbnz	w0, #0xfffffff00874dd88
0xfffffff00874dd80: 0d000014  b	#0xfffffff00874ddb4
0xfffffff00874dd84: 54008052  mov	w20, #2
0xfffffff00874dd88: 680a40b9  ldr	w8, [x19, #8]
