; Candidate 10545
; ADRP+ADD at VM 0xfffffff008db5708 (fileoff 0x1db1708): page=0x1fed3a000 add_imm=0xec0

0xfffffff008db5688: 10223b91  add	x16, x16, #0xec8
0xfffffff008db568c: 10420091  add	x16, x16, #0x10
0xfffffff008db5690: f10300aa  mov	x17, x0
0xfffffff008db5694: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008db5698: 300ac1da  pacda	x16, x17
0xfffffff008db569c: 100000f9  str	x16, [x0]
0xfffffff008db56a0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008db56a4: ff0f5fd6  retab	
0xfffffff008db56a8: 5f2403d5  bti	c
0xfffffff008db56ac: 17a2ff17  b	#0xfffffff008d9df08
0xfffffff008db56b0: 5f2403d5  bti	c
0xfffffff008db56b4: 15a2ff17  b	#0xfffffff008d9df08
0xfffffff008db56b8: 7f2303d5  pacibsp	
0xfffffff008db56bc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008db56c0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008db56c4: fd430091  add	x29, sp, #0x10
0xfffffff008db56c8: f30300aa  mov	x19, x0
0xfffffff008db56cc: 0fa2ff97  bl	#0xfffffff008d9df08
0xfffffff008db56d0: c069ffd0  adrp	x0, #0xfffffff007aef000
0xfffffff008db56d4: 00003b91  add	x0, x0, #0xec0
0xfffffff008db56d8: e10313aa  mov	x1, x19
0xfffffff008db56dc: 02078052  mov	w2, #0x38
0xfffffff008db56e0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008db56e4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008db56e8: ff2303d5  autibsp	
0xfffffff008db56ec: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008db56f0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008db56f8
0xfffffff008db56f4: 208e38d4  brk	#0xc471
0xfffffff008db56f8: e9c7d417  b	#0xfffffff0082e769c
0xfffffff008db56fc: 5f2403d5  bti	c
0xfffffff008db5700: e20301aa  mov	x2, x1
0xfffffff008db5704: e10300aa  mov	x1, x0
0xfffffff008db5708: c069ffd0  adrp	x0, #0xfffffff007aef000
0xfffffff008db570c: 00003b91  add	x0, x0, #0xec0
0xfffffff008db5710: e3c7d417  b	#0xfffffff0082e769c
0xfffffff008db5714: 5f2403d5  bti	c
0xfffffff008db5718: 40aa00b0  adrp	x0, #0xfffffff00a2fe000
0xfffffff008db571c: 00401991  add	x0, x0, #0x650
0xfffffff008db5720: c0035fd6  ret	
0xfffffff008db5724: 7f2303d5  pacibsp	
0xfffffff008db5728: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008db572c: fd030091  mov	x29, sp
0xfffffff008db5730: 2130fff0  adrp	x1, #0xfffffff0073bc000
0xfffffff008db5734: 21702d91  add	x1, x1, #0xb5c
0xfffffff008db5738: 42aa00b0  adrp	x2, #0xfffffff00a2fe000
0xfffffff008db573c: 42000991  add	x2, x2, #0x240
0xfffffff008db5740: 03078052  mov	w3, #0x38
0xfffffff008db5744: fdb8d497  bl	#0xfffffff0082e3b38
0xfffffff008db5748: 9069fff0  adrp	x16, #0xfffffff007ae8000
0xfffffff008db574c: 10c23d91  add	x16, x16, #0xf70
0xfffffff008db5750: 10420091  add	x16, x16, #0x10
0xfffffff008db5754: f10300aa  mov	x17, x0
0xfffffff008db5758: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008db575c: 300ac1da  pacda	x16, x17
0xfffffff008db5760: 100000f9  str	x16, [x0]
0xfffffff008db5764: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008db5768: ff0f5fd6  retab	
0xfffffff008db576c: 7f2303d5  pacibsp	
0xfffffff008db5770: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008db5774: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008db5778: fd430091  add	x29, sp, #0x10
0xfffffff008db577c: c069ffd0  adrp	x0, #0xfffffff007aef000
0xfffffff008db5780: 00003b91  add	x0, x0, #0xec0
0xfffffff008db5784: 01078052  mov	w1, #0x38
