; Candidate 8524
; ADRP+ADD at VM 0xfffffff0088af608 (fileoff 0x18ab608): page=0x1fe93a000 add_imm=0xe80

0xfffffff0088af588: a430ff97  bl	#0xfffffff00887b818
0xfffffff0088af58c: f90300aa  mov	x25, x0
0xfffffff0088af590: 07130094  bl	#0xfffffff0088b41ac
0xfffffff0088af594: f80300aa  mov	x24, x0
0xfffffff0088af598: e0008052  mov	w0, #7
0xfffffff0088af59c: ad30ff97  bl	#0xfffffff00887b850
0xfffffff0088af5a0: b9010034  cbz	w25, #0xfffffff0088af5d4
0xfffffff0088af5a4: f4df03a9  stp	x20, x23, [sp, #0x38]
0xfffffff0088af5a8: f5db02a9  stp	x21, x22, [sp, #0x28]
0xfffffff0088af5ac: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af5b0: 08c10691  add	x8, x8, #0x1b0
0xfffffff0088af5b4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088af5b8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088af5bc: c80f8052  mov	w8, #0x7e
0xfffffff0088af5c0: 204cffb0  adrp	x0, #0xfffffff007234000
0xfffffff0088af5c4: 00880891  add	x0, x0, #0x222
0xfffffff0088af5c8: f82300a9  stp	x24, x8, [sp]
0xfffffff0088af5cc: a51fd497  bl	#0xfffffff007db7460
0xfffffff0088af5d0: 16000014  b	#0xfffffff0088af628
0xfffffff0088af5d4: f6120094  bl	#0xfffffff0088b41ac
0xfffffff0088af5d8: f80300aa  mov	x24, x0
0xfffffff0088af5dc: e0008052  mov	w0, #7
0xfffffff0088af5e0: 9c30ff97  bl	#0xfffffff00887b850
0xfffffff0088af5e4: e80317aa  mov	x8, x23
0xfffffff0088af5e8: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff0088af5ec: f5db02a9  stp	x21, x22, [sp, #0x28]
0xfffffff0088af5f0: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af5f4: 08c10691  add	x8, x8, #0x1b0
0xfffffff0088af5f8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088af5fc: c80f8052  mov	w8, #0x7e
0xfffffff0088af600: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088af604: f80300f9  str	x24, [sp]
0xfffffff0088af608: c049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088af60c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088af610: c18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088af614: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088af618: a34dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088af61c: 63a40b91  add	x3, x3, #0x2e9
0xfffffff0088af620: 02008052  mov	w2, #0
0xfffffff0088af624: c30eea97  bl	#0xfffffff008333130
0xfffffff0088af628: e00317aa  mov	x0, x23
0xfffffff0088af62c: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0088af630: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0088af634: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0088af638: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0088af63c: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0088af640: ff830291  add	sp, sp, #0xa0
0xfffffff0088af644: ff0f5fd6  retab	
0xfffffff0088af648: 7f2303d5  pacibsp	
0xfffffff0088af64c: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0088af650: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff0088af654: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0088af658: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0088af65c: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff0088af660: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff0088af664: fd830291  add	x29, sp, #0xa0
0xfffffff0088af668: f70304aa  mov	x23, x4
0xfffffff0088af66c: f60303aa  mov	x22, x3
0xfffffff0088af670: f50302aa  mov	x21, x2
0xfffffff0088af674: f40301aa  mov	x20, x1
0xfffffff0088af678: f30300aa  mov	x19, x0
0xfffffff0088af67c: c00f8052  mov	w0, #0x7e
0xfffffff0088af680: e1008052  mov	w1, #7
0xfffffff0088af684: 5330ff97  bl	#0xfffffff00887b7d0
