; Candidate 3097
; ADRP+ADD at VM 0xfffffff008712550 (fileoff 0x170e550): page=0x1fea1f000 add_imm=0xd90

0xfffffff0087124d0: 1f020071  cmp	w16, #0
0xfffffff0087124d4: f0079f1a  cset	w16, ne
0xfffffff0087124d8: ef01100a  and	w15, w15, w16
0xfffffff0087124dc: ce0500f1  subs	x14, x14, #1
0xfffffff0087124e0: 61ffff54  b.ne	#0xfffffff0087124cc
0xfffffff0087124e4: 0f010036  tbz	w15, #0, #0xfffffff008712504
0xfffffff0087124e8: 5f3d00f1  cmp	x10, #0xf
0xfffffff0087124ec: 4d050091  add	x13, x10, #1
0xfffffff0087124f0: e8279f1a  cset	w8, lo
0xfffffff0087124f4: ea030daa  mov	x10, x13
0xfffffff0087124f8: bf4100f1  cmp	x13, #0x10
0xfffffff0087124fc: 01fdff54  b.ne	#0xfffffff00871249c
0xfffffff008712500: 0a008012  mov	w10, #-1
0xfffffff008712504: 48010037  tbnz	w8, #0, #0xfffffff00871252c
0xfffffff008712508: 0b0080d2  mov	x11, #0
0xfffffff00871250c: 0ca38452  mov	w12, #0x2518
0xfffffff008712510: 0c000c8b  add	x12, x0, x12
0xfffffff008712514: 8d014039  ldrb	w13, [x12]
0xfffffff008712518: 8d040034  cbz	w13, #0xfffffff0087125a8
0xfffffff00871251c: 6b050091  add	x11, x11, #1
0xfffffff008712520: 8ca10091  add	x12, x12, #0x28
0xfffffff008712524: 7f4100f1  cmp	x11, #0x10
0xfffffff008712528: 61ffff54  b.ne	#0xfffffff008712514
0xfffffff00871252c: 5f050031  cmn	w10, #1
0xfffffff008712530: 20020054  b.eq	#0xfffffff008712574
0xfffffff008712534: 5f410071  cmp	w10, #0x10
0xfffffff008712538: ab030054  b.lt	#0xfffffff0087125ac
0xfffffff00871253c: 087867b9  ldr	w8, [x0, #0x2778]
0xfffffff008712540: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008712544: 0952ffd0  adrp	x9, #0xfffffff007154000
0xfffffff008712548: 29793691  add	x9, x9, #0xd9e
0xfffffff00871254c: e90300f9  str	x9, [sp]
0xfffffff008712550: e050fff0  adrp	x0, #0xfffffff007131000
0xfffffff008712554: 00403691  add	x0, x0, #0xd90
0xfffffff008712558: 4197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871255c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008712560: 2351ffb0  adrp	x3, #0xfffffff007137000
0xfffffff008712564: 636c3691  add	x3, x3, #0xd9b
0xfffffff008712568: 02008052  mov	w2, #0
0xfffffff00871256c: f182f097  bl	#0xfffffff008333130
0xfffffff008712570: 40000014  b	#0xfffffff008712670
0xfffffff008712574: 13008012  mov	w19, #-1
0xfffffff008712578: 0852ffd0  adrp	x8, #0xfffffff007154000
0xfffffff00871257c: 08793691  add	x8, x8, #0xd9e
0xfffffff008712580: e84f00a9  stp	x8, x19, [sp]
0xfffffff008712584: e050fff0  adrp	x0, #0xfffffff007131000
0xfffffff008712588: 00403691  add	x0, x0, #0xd90
0xfffffff00871258c: 4197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008712590: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008712594: 2351ffb0  adrp	x3, #0xfffffff007137000
0xfffffff008712598: 63d03591  add	x3, x3, #0xd74
0xfffffff00871259c: 02008052  mov	w2, #0
0xfffffff0087125a0: e482f097  bl	#0xfffffff008333130
0xfffffff0087125a4: 34000014  b	#0xfffffff008712674
0xfffffff0087125a8: ea030baa  mov	x10, x11
0xfffffff0087125ac: 0b6c50f9  ldr	x11, [x0, #0x20d8]
0xfffffff0087125b0: 2d304329  ldp	w13, w12, [x1, #0x18]
0xfffffff0087125b4: 8c7d4093  sxtw	x12, w12
0xfffffff0087125b8: 6b050c8b  add	x11, x11, x12, lsl #1
0xfffffff0087125bc: 6b894479  ldrh	w11, [x11, #0x244]
0xfffffff0087125c0: 0c058052  mov	w12, #0x28
0xfffffff0087125c4: 4c012c9b  smaddl	x12, w10, w12, x0
0xfffffff0087125c8: 0a9f8452  mov	w10, #0x24f8
0xfffffff0087125cc: 8a010a8b  add	x10, x12, x10
