; Candidate 6810
; ADRP+ADD at VM 0xfffffff0088435a4 (fileoff 0x183f5a4): page=0x1fe9a6000 add_imm=0xe80

0xfffffff008843524: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff008843528: a8ba8052  mov	w8, #0x5d5
0xfffffff00884352c: 694effd0  adrp	x9, #0xfffffff007211000
0xfffffff008843530: 29952391  add	x9, x9, #0x8e5
0xfffffff008843534: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008843538: 084fff90  adrp	x8, #0xfffffff007223000
0xfffffff00884353c: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008843540: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008843544: 480a8052  mov	w8, #0x52
0xfffffff008843548: 004fffb0  adrp	x0, #0xfffffff007224000
0xfffffff00884354c: 00cc1691  add	x0, x0, #0x5b3
0xfffffff008843550: f82300a9  stp	x24, x8, [sp]
0xfffffff008843554: c3cfd597  bl	#0xfffffff007db7460
0xfffffff008843558: 1b000014  b	#0xfffffff0088435c4
0xfffffff00884355c: 14c30194  bl	#0xfffffff0088b41ac
0xfffffff008843560: f80300aa  mov	x24, x0
0xfffffff008843564: 80008052  mov	w0, #4
0xfffffff008843568: bae00094  bl	#0xfffffff00887b850
0xfffffff00884356c: 885a40b9  ldr	w8, [x20, #0x58]
0xfffffff008843570: e85f04a9  stp	x8, x23, [sp, #0x40]
0xfffffff008843574: 484efff0  adrp	x8, #0xfffffff00720e000
0xfffffff008843578: 08691291  add	x8, x8, #0x49a
0xfffffff00884357c: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008843580: a8ba8052  mov	w8, #0x5d5
0xfffffff008843584: 694effd0  adrp	x9, #0xfffffff007211000
0xfffffff008843588: 29952391  add	x9, x9, #0x8e5
0xfffffff00884358c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008843590: 084fff90  adrp	x8, #0xfffffff007223000
0xfffffff008843594: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008843598: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884359c: 480a8052  mov	w8, #0x52
0xfffffff0088435a0: f82300a9  stp	x24, x8, [sp]
0xfffffff0088435a4: 204dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088435a8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088435ac: 218effb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088435b0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088435b4: 6350ff90  adrp	x3, #0xfffffff00724f000
0xfffffff0088435b8: 63b43c91  add	x3, x3, #0xf2d
0xfffffff0088435bc: 02008052  mov	w2, #0
0xfffffff0088435c0: dcbeeb97  bl	#0xfffffff008333130
0xfffffff0088435c4: f77c8012  mov	w23, #-0x3e8
0xfffffff0088435c8: 85ffff17  b	#0xfffffff0088433dc
0xfffffff0088435cc: 0c000000  udf	#0xc
0xfffffff0088435d0: 50010000  udf	#0x150
0xfffffff0088435d4: b0000000  udf	#0xb0
0xfffffff0088435d8: 00020000  udf	#0x200
0xfffffff0088435dc: 80020000  udf	#0x280
0xfffffff0088435e0: cc030000  udf	#0x3cc
0xfffffff0088435e4: 14010000  udf	#0x114
0xfffffff0088435e8: 7f2303d5  pacibsp	
0xfffffff0088435ec: ff4302d1  sub	sp, sp, #0x90
0xfffffff0088435f0: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0088435f4: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0088435f8: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0088435fc: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008843600: fd030291  add	x29, sp, #0x80
0xfffffff008843604: 2a5041b9  ldr	w10, [x1, #0x150]
0xfffffff008843608: 5f090071  cmp	w10, #2
0xfffffff00884360c: cb090054  b.lt	#0xfffffff008843744
0xfffffff008843610: f30301aa  mov	x19, x1
0xfffffff008843614: 88849d52  mov	w8, #0xec24
0xfffffff008843618: c801a072  movk	w8, #0xe, lsl #16
0xfffffff00884361c: 286868b8  ldr	w8, [x1, x8]
0xfffffff008843620: 28090035  cbnz	w8, #0xfffffff008843744
