; Candidate 12201
; ADRP+ADD at VM 0xfffffff0090678d4 (fileoff 0x20638d4): page=0x1fe3eb000 add_imm=0xdee

0xfffffff009067854: d4578052  mov	w20, #0x2be
0xfffffff009067858: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00906785c: 60038052  mov	w0, #0x1b
0xfffffff009067860: 3426ca97  bl	#0xfffffff0082f1130
0xfffffff009067864: 409900b4  cbz	x0, #0xfffffff009068b8c
0xfffffff009067868: f30300aa  mov	x19, x0
0xfffffff00906786c: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067870: 00a83891  add	x0, x0, #0xe2a
0xfffffff009067874: 08feca97  bl	#0xfffffff008327094
0xfffffff009067878: b44319b8  stur	w20, [x29, #-0x6c]
0xfffffff00906787c: 409700b4  cbz	x0, #0xfffffff009068b64
0xfffffff009067880: fb0300aa  mov	x27, x0
0xfffffff009067884: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067888: 00e03891  add	x0, x0, #0xe38
0xfffffff00906788c: 02feca97  bl	#0xfffffff008327094
0xfffffff009067890: fa0300aa  mov	x26, x0
0xfffffff009067894: 009900b4  cbz	x0, #0xfffffff009068bb4
0xfffffff009067898: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff00906789c: 00643791  add	x0, x0, #0xdd9
0xfffffff0090678a0: fdfdca97  bl	#0xfffffff008327094
0xfffffff0090678a4: 809800b4  cbz	x0, #0xfffffff009068bb4
0xfffffff0090678a8: a08318f8  stur	x0, [x29, #-0x78]
0xfffffff0090678ac: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090678b0: 00803791  add	x0, x0, #0xde0
0xfffffff0090678b4: f8fdca97  bl	#0xfffffff008327094
0xfffffff0090678b8: 009800b4  cbz	x0, #0xfffffff009068bb8
0xfffffff0090678bc: a00318f8  stur	x0, [x29, #-0x80]
0xfffffff0090678c0: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090678c4: 009c3791  add	x0, x0, #0xde7
0xfffffff0090678c8: f3fdca97  bl	#0xfffffff008327094
0xfffffff0090678cc: 809700b4  cbz	x0, #0xfffffff009068bbc
0xfffffff0090678d0: a08317f8  stur	x0, [x29, #-0x88]
0xfffffff0090678d4: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090678d8: 00b83791  add	x0, x0, #0xdee
0xfffffff0090678dc: eefdca97  bl	#0xfffffff008327094
0xfffffff0090678e0: 009700b4  cbz	x0, #0xfffffff009068bc0
0xfffffff0090678e4: a00317f8  stur	x0, [x29, #-0x90]
0xfffffff0090678e8: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090678ec: 000c3891  add	x0, x0, #0xe03
0xfffffff0090678f0: e9fdca97  bl	#0xfffffff008327094
0xfffffff0090678f4: 809600b4  cbz	x0, #0xfffffff009068bc4
0xfffffff0090678f8: a08316f8  stur	x0, [x29, #-0x98]
0xfffffff0090678fc: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067900: 00143991  add	x0, x0, #0xe45
0xfffffff009067904: e4fdca97  bl	#0xfffffff008327094
0xfffffff009067908: 009600b4  cbz	x0, #0xfffffff009068bc8
0xfffffff00906790c: a00316f8  stur	x0, [x29, #-0xa0]
0xfffffff009067910: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067914: 006c3991  add	x0, x0, #0xe5b
0xfffffff009067918: dffdca97  bl	#0xfffffff008327094
0xfffffff00906791c: 809500b4  cbz	x0, #0xfffffff009068bcc
0xfffffff009067920: a08315f8  stur	x0, [x29, #-0xa8]
0xfffffff009067924: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067928: 00983991  add	x0, x0, #0xe66
0xfffffff00906792c: dafdca97  bl	#0xfffffff008327094
0xfffffff009067930: 009500b4  cbz	x0, #0xfffffff009068bd0
0xfffffff009067934: a00315f8  stur	x0, [x29, #-0xb0]
0xfffffff009067938: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff00906793c: 00cc3991  add	x0, x0, #0xe73
0xfffffff009067940: d5fdca97  bl	#0xfffffff008327094
0xfffffff009067944: 809400b4  cbz	x0, #0xfffffff009068bd4
0xfffffff009067948: a08314f8  stur	x0, [x29, #-0xb8]
0xfffffff00906794c: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067950: 00103a91  add	x0, x0, #0xe84
