; Candidate 2248
; ADRP+ADD at VM 0xfffffff0085bf758 (fileoff 0x15bb758): page=0x1feb39000 add_imm=0xe75

0xfffffff0085bf6d8: 7f0208eb  cmp	x19, x8
0xfffffff0085bf6dc: 68040054  b.hi	#0xfffffff0085bf768
0xfffffff0085bf6e0: 08074039  ldrb	w8, [x24, #1]
0xfffffff0085bf6e4: 89ea40b9  ldr	w9, [x20, #0xe8]
0xfffffff0085bf6e8: 3f01086b  cmp	w9, w8
0xfffffff0085bf6ec: a1000054  b.ne	#0xfffffff0085bf700
0xfffffff0085bf6f0: 080b4039  ldrb	w8, [x24, #2]
0xfffffff0085bf6f4: 89ee40b9  ldr	w9, [x20, #0xec]
0xfffffff0085bf6f8: 3f01086b  cmp	w9, w8
0xfffffff0085bf6fc: a0080054  b.eq	#0xfffffff0085bf810
0xfffffff0085bf700: 080b4079  ldrh	w8, [x24, #4]
0xfffffff0085bf704: 1803088b  add	x24, x24, x8
0xfffffff0085bf708: 9c070011  add	w28, w28, #1
0xfffffff0085bf70c: 884a4a39  ldrb	w8, [x20, #0x292]
0xfffffff0085bf710: 9f03086b  cmp	w28, w8
0xfffffff0085bf714: 23fbff54  b.lo	#0xfffffff0085bf678
0xfffffff0085bf718: 27000014  b	#0xfffffff0085bf7b4
0xfffffff0085bf71c: 900240f9  ldr	x16, [x20]
0xfffffff0085bf720: f10314aa  mov	x17, x20
0xfffffff0085bf724: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085bf728: 301ac1da  autda	x16, x17
0xfffffff0085bf72c: 113d80d2  mov	x17, #0x1e8
0xfffffff0085bf730: 1002118b  add	x16, x16, x17
0xfffffff0085bf734: 080240f9  ldr	x8, [x16]
0xfffffff0085bf738: e90310aa  mov	x9, x16
0xfffffff0085bf73c: e00314aa  mov	x0, x20
0xfffffff0085bf740: 010080d2  mov	x1, #0
0xfffffff0085bf744: f10309aa  mov	x17, x9
0xfffffff0085bf748: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0085bf74c: 11093fd7  blraa	x8, x17
0xfffffff0085bf750: f30700f9  str	x19, [sp, #8]
0xfffffff0085bf754: e00300f9  str	x0, [sp]
0xfffffff0085bf758: c059ffb0  adrp	x0, #0xfffffff0070f8000
0xfffffff0085bf75c: 00d43991  add	x0, x0, #0xe75
0xfffffff0085bf760: 305ef697  bl	#0xfffffff008357020
0xfffffff0085bf764: a8ffff17  b	#0xfffffff0085bf604
0xfffffff0085bf768: 900240f9  ldr	x16, [x20]
0xfffffff0085bf76c: f10314aa  mov	x17, x20
0xfffffff0085bf770: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085bf774: 301ac1da  autda	x16, x17
0xfffffff0085bf778: 113d80d2  mov	x17, #0x1e8
0xfffffff0085bf77c: 1002118b  add	x16, x16, x17
0xfffffff0085bf780: 080240f9  ldr	x8, [x16]
0xfffffff0085bf784: e90310aa  mov	x9, x16
0xfffffff0085bf788: e00314aa  mov	x0, x20
0xfffffff0085bf78c: 010080d2  mov	x1, #0
0xfffffff0085bf790: f10309aa  mov	x17, x9
0xfffffff0085bf794: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0085bf798: 11093fd7  blraa	x8, x17
0xfffffff0085bf79c: c859ff90  adrp	x8, #0xfffffff0070f7000
0xfffffff0085bf7a0: 08c93291  add	x8, x8, #0xcb2
0xfffffff0085bf7a4: e02300a9  stp	x0, x8, [sp]
0xfffffff0085bf7a8: c059ffb0  adrp	x0, #0xfffffff0070f8000
0xfffffff0085bf7ac: 00603a91  add	x0, x0, #0xe98
0xfffffff0085bf7b0: 1c5ef697  bl	#0xfffffff008357020
0xfffffff0085bf7b4: 900240f9  ldr	x16, [x20]
0xfffffff0085bf7b8: f10314aa  mov	x17, x20
0xfffffff0085bf7bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085bf7c0: 301ac1da  autda	x16, x17
0xfffffff0085bf7c4: 113d80d2  mov	x17, #0x1e8
0xfffffff0085bf7c8: 1002118b  add	x16, x16, x17
0xfffffff0085bf7cc: 080240f9  ldr	x8, [x16]
0xfffffff0085bf7d0: e90310aa  mov	x9, x16
0xfffffff0085bf7d4: e00314aa  mov	x0, x20
