; Candidate 6749
; ADRP+ADD at VM 0xfffffff00883e97c (fileoff 0x183a97c): page=0x1fe9ab000 add_imm=0xe80

0xfffffff00883e8fc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00883e900: f70300f9  str	x23, [sp]
0xfffffff00883e904: 404dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883e908: 00003a91  add	x0, x0, #0xe80
0xfffffff00883e90c: 418effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00883e910: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883e914: 02008052  mov	w2, #0
0xfffffff00883e918: 06d2eb97  bl	#0xfffffff008333130
0xfffffff00883e91c: 177d8012  mov	w23, #-0x3e9
0xfffffff00883e920: 1e000014  b	#0xfffffff00883e998
0xfffffff00883e924: 22d60194  bl	#0xfffffff0088b41ac
0xfffffff00883e928: f80300aa  mov	x24, x0
0xfffffff00883e92c: 80008052  mov	w0, #4
0xfffffff00883e930: c8f30094  bl	#0xfffffff00887b850
0xfffffff00883e934: 885a40b9  ldr	w8, [x20, #0x58]
0xfffffff00883e938: 09048052  mov	w9, #0x20
0xfffffff00883e93c: f72705a9  stp	x23, x9, [sp, #0x50]
0xfffffff00883e940: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00883e944: 284fffd0  adrp	x8, #0xfffffff007224000
0xfffffff00883e948: 08c50691  add	x8, x8, #0x1b1
0xfffffff00883e94c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00883e950: 683e8052  mov	w8, #0x1f3
0xfffffff00883e954: 294fffd0  adrp	x9, #0xfffffff007224000
0xfffffff00883e958: 29a90491  add	x9, x9, #0x12a
0xfffffff00883e95c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00883e960: 284fffb0  adrp	x8, #0xfffffff007223000
0xfffffff00883e964: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883e968: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883e96c: 680a8052  mov	w8, #0x53
0xfffffff00883e970: 8350ffb0  adrp	x3, #0xfffffff00724f000
0xfffffff00883e974: 63041c91  add	x3, x3, #0x701
0xfffffff00883e978: f82300a9  stp	x24, x8, [sp]
0xfffffff00883e97c: 404dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883e980: 00003a91  add	x0, x0, #0xe80
0xfffffff00883e984: 418effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00883e988: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883e98c: 02008052  mov	w2, #0
0xfffffff00883e990: e8d1eb97  bl	#0xfffffff008333130
0xfffffff00883e994: 777f8012  mov	w23, #-0x3fc
0xfffffff00883e998: 40130011  add	w0, w26, #4
0xfffffff00883e99c: c1008052  mov	w1, #6
0xfffffff00883e9a0: 020080d2  mov	x2, #0
0xfffffff00883e9a4: 030080d2  mov	x3, #0
0xfffffff00883e9a8: 040080d2  mov	x4, #0
0xfffffff00883e9ac: 050080d2  mov	x5, #0
0xfffffff00883e9b0: 55fde497  bl	#0xfffffff00817df04
0xfffffff00883e9b4: 600a8052  mov	w0, #0x53
0xfffffff00883e9b8: e1008052  mov	w1, #7
0xfffffff00883e9bc: 85f30094  bl	#0xfffffff00887b7d0
0xfffffff00883e9c0: c0050034  cbz	w0, #0xfffffff00883ea78
0xfffffff00883e9c4: 600a8052  mov	w0, #0x53
0xfffffff00883e9c8: 94f30094  bl	#0xfffffff00887b818
0xfffffff00883e9cc: f90300aa  mov	x25, x0
0xfffffff00883e9d0: f7d50194  bl	#0xfffffff0088b41ac
0xfffffff00883e9d4: f80300aa  mov	x24, x0
0xfffffff00883e9d8: e0008052  mov	w0, #7
0xfffffff00883e9dc: 9df30094  bl	#0xfffffff00887b850
0xfffffff00883e9e0: f9010034  cbz	w25, #0xfffffff00883ea1c
0xfffffff00883e9e4: f65f04a9  stp	x22, x23, [sp, #0x40]
0xfffffff00883e9e8: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff00883e9ec: 284fffd0  adrp	x8, #0xfffffff007224000
0xfffffff00883e9f0: 08a90491  add	x8, x8, #0x12a
0xfffffff00883e9f4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00883e9f8: 284fffb0  adrp	x8, #0xfffffff007223000
