; Candidate 14956
; ADRP+ADD at VM 0xfffffff009a0d8e0 (fileoff 0x2a098e0): page=0x1fdbf4000 add_imm=0xcfa

0xfffffff009a0d860: 080d4079  ldrh	w8, [x8, #6]
0xfffffff009a0d864: ea03182a  mov	w10, w24
0xfffffff009a0d868: ea2302a9  stp	x10, x8, [sp, #0x20]
0xfffffff009a0d86c: e95f01a9  stp	x9, x23, [sp, #0x10]
0xfffffff009a0d870: e05b00a9  stp	x0, x22, [sp]
0xfffffff009a0d874: a0dffe90  adrp	x0, #0xfffffff007601000
0xfffffff009a0d878: 002c3791  add	x0, x0, #0xdcb
0xfffffff009a0d87c: 3587a997  bl	#0xfffffff00846f550
0xfffffff009a0d880: 6e000014  b	#0xfffffff009a0da38
0xfffffff009a0d884: 010d4039  ldrb	w1, [x8, #3]
0xfffffff009a0d888: e00316aa  mov	x0, x22
0xfffffff009a0d88c: 12fcff97  bl	#0xfffffff009a0c8d4
0xfffffff009a0d890: f80300aa  mov	x24, x0
0xfffffff009a0d894: c2ffff17  b	#0xfffffff009a0d79c
0xfffffff009a0d898: a8020036  tbz	w8, #0, #0xfffffff009a0d8ec
0xfffffff009a0d89c: 4e009397  bl	#0xfffffff007ecd9d4
0xfffffff009a0d8a0: 60020035  cbnz	w0, #0xfffffff009a0d8ec
0xfffffff009a0d8a4: d00240f9  ldr	x16, [x22]
0xfffffff009a0d8a8: f10316aa  mov	x17, x22
0xfffffff009a0d8ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a0d8b0: 301ac1da  autda	x16, x17
0xfffffff009a0d8b4: 113d80d2  mov	x17, #0x1e8
0xfffffff009a0d8b8: 1002118b  add	x16, x16, x17
0xfffffff009a0d8bc: 080240f9  ldr	x8, [x16]
0xfffffff009a0d8c0: e90310aa  mov	x9, x16
0xfffffff009a0d8c4: e00316aa  mov	x0, x22
0xfffffff009a0d8c8: 010080d2  mov	x1, #0
0xfffffff009a0d8cc: f10309aa  mov	x17, x9
0xfffffff009a0d8d0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009a0d8d4: 11093fd7  blraa	x8, x17
0xfffffff009a0d8d8: f6df00a9  stp	x22, x23, [sp, #8]
0xfffffff009a0d8dc: e00300f9  str	x0, [sp]
0xfffffff009a0d8e0: a0dffe90  adrp	x0, #0xfffffff007601000
0xfffffff009a0d8e4: 00e83391  add	x0, x0, #0xcfa
0xfffffff009a0d8e8: ce25a597  bl	#0xfffffff008357020
0xfffffff009a0d8ec: 08034039  ldrb	w8, [x24]
0xfffffff009a0d8f0: 88020836  tbz	w8, #1, #0xfffffff009a0d940
0xfffffff009a0d8f4: d00240f9  ldr	x16, [x22]
0xfffffff009a0d8f8: f10316aa  mov	x17, x22
0xfffffff009a0d8fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a0d900: 301ac1da  autda	x16, x17
0xfffffff009a0d904: 113d80d2  mov	x17, #0x1e8
0xfffffff009a0d908: 1002118b  add	x16, x16, x17
0xfffffff009a0d90c: 080240f9  ldr	x8, [x16]
0xfffffff009a0d910: e90310aa  mov	x9, x16
0xfffffff009a0d914: e00316aa  mov	x0, x22
0xfffffff009a0d918: 010080d2  mov	x1, #0
0xfffffff009a0d91c: f10309aa  mov	x17, x9
0xfffffff009a0d920: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009a0d924: 11093fd7  blraa	x8, x17
0xfffffff009a0d928: e80317aa  mov	x8, x23
0xfffffff009a0d92c: f6a300a9  stp	x22, x8, [sp, #8]
0xfffffff009a0d930: e00300f9  str	x0, [sp]
0xfffffff009a0d934: a0dffe90  adrp	x0, #0xfffffff007601000
0xfffffff009a0d938: 00e83391  add	x0, x0, #0xcfa
0xfffffff009a0d93c: 0587a997  bl	#0xfffffff00846f550
0xfffffff009a0d940: c85240f9  ldr	x8, [x22, #0xa0]
0xfffffff009a0d944: 010d4039  ldrb	w1, [x8, #3]
0xfffffff009a0d948: e00316aa  mov	x0, x22
0xfffffff009a0d94c: e20317aa  mov	x2, x23
0xfffffff009a0d950: 09fcff97  bl	#0xfffffff009a0c974
0xfffffff009a0d954: 08034039  ldrb	w8, [x24]
0xfffffff009a0d958: 68030036  tbz	w8, #0, #0xfffffff009a0d9c4
0xfffffff009a0d95c: 1e009397  bl	#0xfffffff007ecd9d4
