; Candidate 12587
; ADRP+ADD at VM 0xfffffff0090c1ce8 (fileoff 0x20bdce8): page=0x1fe398000 add_imm=0xe24

0xfffffff0090c1c68: f40300aa  mov	x20, x0
0xfffffff0090c1c6c: e2bf0039  strb	w2, [sp, #0x2f]
0xfffffff0090c1c70: 779200d0  adrp	x23, #0xfffffff00a30f000
0xfffffff0090c1c74: f7420c91  add	x23, x23, #0x310
0xfffffff0090c1c78: e8024039  ldrb	w8, [x23]
0xfffffff0090c1c7c: 551dff90  adrp	x21, #0xfffffff007469000
0xfffffff0090c1c80: b5c20991  add	x21, x21, #0x270
0xfffffff0090c1c84: f61cff90  adrp	x22, #0xfffffff00745d000
0xfffffff0090c1c88: d6423c91  add	x22, x22, #0xf10
0xfffffff0090c1c8c: 1f290071  cmp	w8, #0xa
0xfffffff0090c1c90: a8000054  b.hi	#0xfffffff0090c1ca4
0xfffffff0090c1c94: f65700a9  stp	x22, x21, [sp]
0xfffffff0090c1c98: c01cff90  adrp	x0, #0xfffffff007459000
0xfffffff0090c1c9c: 00583191  add	x0, x0, #0xc56
0xfffffff0090c1ca0: e054ca97  bl	#0xfffffff008357020
0xfffffff0090c1ca4: e6bf0091  add	x6, sp, #0x2f
0xfffffff0090c1ca8: e00314aa  mov	x0, x20
0xfffffff0090c1cac: e10313aa  mov	x1, x19
0xfffffff0090c1cb0: c2038052  mov	w2, #0x1e
0xfffffff0090c1cb4: 030080d2  mov	x3, #0
0xfffffff0090c1cb8: 040080d2  mov	x4, #0
0xfffffff0090c1cbc: 050080d2  mov	x5, #0
0xfffffff0090c1cc0: 27008052  mov	w7, #1
0xfffffff0090c1cc4: 50f4ff97  bl	#0xfffffff0090bee04
0xfffffff0090c1cc8: 137c4093  sxtw	x19, w0
0xfffffff0090c1ccc: 20020035  cbnz	w0, #0xfffffff0090c1d10
0xfffffff0090c1cd0: 48018052  mov	w8, #0xa
0xfffffff0090c1cd4: e9024039  ldrb	w9, [x23]
0xfffffff0090c1cd8: 1f01096b  cmp	w8, w9
0xfffffff0090c1cdc: c3000054  b.lo	#0xfffffff0090c1cf4
0xfffffff0090c1ce0: f5cf00a9  stp	x21, x19, [sp, #8]
0xfffffff0090c1ce4: f60300f9  str	x22, [sp]
0xfffffff0090c1ce8: c01cff90  adrp	x0, #0xfffffff007459000
0xfffffff0090c1cec: 00903891  add	x0, x0, #0xe24
0xfffffff0090c1cf0: cc54ca97  bl	#0xfffffff008357020
0xfffffff0090c1cf4: e00313aa  mov	x0, x19
0xfffffff0090c1cf8: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090c1cfc: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090c1d00: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090c1d04: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090c1d08: ffc30191  add	sp, sp, #0x70
0xfffffff0090c1d0c: ff0f5fd6  retab	
0xfffffff0090c1d10: c8008152  mov	w8, #0x806
0xfffffff0090c1d14: 291dffd0  adrp	x9, #0xfffffff007467000
0xfffffff0090c1d18: 29693f91  add	x9, x9, #0xfda
0xfffffff0090c1d1c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090c1d20: c81cff90  adrp	x8, #0xfffffff007459000
0xfffffff0090c1d24: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090c1d28: ca1cffb0  adrp	x10, #0xfffffff00745a000
0xfffffff0090c1d2c: 4a290291  add	x10, x10, #0x8a
0xfffffff0090c1d30: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff0090c1d34: ea0300f9  str	x10, [sp]
0xfffffff0090c1d38: c01cff90  adrp	x0, #0xfffffff007459000
0xfffffff0090c1d3c: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090c1d40: b854ca97  bl	#0xfffffff008357020
0xfffffff0090c1d44: c8088052  mov	w8, #0x46
0xfffffff0090c1d48: e3ffff17  b	#0xfffffff0090c1cd4
0xfffffff0090c1d4c: 7f2303d5  pacibsp	
0xfffffff0090c1d50: ff4302d1  sub	sp, sp, #0x90
0xfffffff0090c1d54: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff0090c1d58: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0090c1d5c: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0090c1d60: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0090c1d64: fd7b08a9  stp	x29, x30, [sp, #0x80]
