; Candidate 10098
; ADRP+ADD at VM 0xfffffff008ca38f0 (fileoff 0x1c9f8f0): page=0x1fe6aa000 add_imm=0xdba

0xfffffff008ca3870: d17ff9f2  movk	x17, #0xcbfe, lsl #48
0xfffffff008ca3874: 11093fd7  blraa	x8, x17
0xfffffff008ca3878: d5010034  cbz	w21, #0xfffffff008ca38b0
0xfffffff008ca387c: 700240f9  ldr	x16, [x19]
0xfffffff008ca3880: f10313aa  mov	x17, x19
0xfffffff008ca3884: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca3888: 301ac1da  autda	x16, x17
0xfffffff008ca388c: 113681d2  mov	x17, #0x9b0
0xfffffff008ca3890: 1002118b  add	x16, x16, x17
0xfffffff008ca3894: 080240f9  ldr	x8, [x16]
0xfffffff008ca3898: e90310aa  mov	x9, x16
0xfffffff008ca389c: e00313aa  mov	x0, x19
0xfffffff008ca38a0: e10315aa  mov	x1, x21
0xfffffff008ca38a4: f10309aa  mov	x17, x9
0xfffffff008ca38a8: 71b1fef2  movk	x17, #0xf58b, lsl #48
0xfffffff008ca38ac: 11093fd7  blraa	x8, x17
0xfffffff008ca38b0: e00316aa  mov	x0, x22
0xfffffff008ca38b4: a1048052  mov	w1, #0x25
0xfffffff008ca38b8: 32cdda97  bl	#0xfffffff008356d80
0xfffffff008ca38bc: 03000014  b	#0xfffffff008ca38c8
0xfffffff008ca38c0: 15008052  mov	w21, #0
0xfffffff008ca38c4: 14008052  mov	w20, #0
0xfffffff008ca38c8: e8c64339  ldrb	w8, [x23, #0xf1]
0xfffffff008ca38cc: a80c0035  cbnz	w8, #0xfffffff008ca3a60
0xfffffff008ca38d0: 686247f9  ldr	x8, [x19, #0xec0]
0xfffffff008ca38d4: 680c00b5  cbnz	x8, #0xfffffff008ca3a60
0xfffffff008ca38d8: 40008052  mov	w0, #2
0xfffffff008ca38dc: cad12994  bl	#0xfffffff009718004
0xfffffff008ca38e0: 606207f9  str	x0, [x19, #0xec0]
0xfffffff008ca38e4: 68d647f9  ldr	x8, [x19, #0xfa8]
0xfffffff008ca38e8: c80b00b4  cbz	x8, #0xfffffff008ca3a60
0xfffffff008ca38ec: a00b00b4  cbz	x0, #0xfffffff008ca3a60
0xfffffff008ca38f0: 4035ffd0  adrp	x0, #0xfffffff00734d000
0xfffffff008ca38f4: 00e83691  add	x0, x0, #0xdba
0xfffffff008ca38f8: cacdda97  bl	#0xfffffff008357020
0xfffffff008ca38fc: 606247f9  ldr	x0, [x19, #0xec0]
0xfffffff008ca3900: 61d647f9  ldr	x1, [x19, #0xfa8]
0xfffffff008ca3904: 100040f9  ldr	x16, [x0]
0xfffffff008ca3908: f10300aa  mov	x17, x0
0xfffffff008ca390c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca3910: 301ac1da  autda	x16, x17
0xfffffff008ca3914: 116c80d2  mov	x17, #0x360
0xfffffff008ca3918: 1002118b  add	x16, x16, x17
0xfffffff008ca391c: 080240f9  ldr	x8, [x16]
0xfffffff008ca3920: e90310aa  mov	x9, x16
0xfffffff008ca3924: f10309aa  mov	x17, x9
0xfffffff008ca3928: 317df3f2  movk	x17, #0x9be9, lsl #48
0xfffffff008ca392c: 11093fd7  blraa	x8, x17
0xfffffff008ca3930: 606247f9  ldr	x0, [x19, #0xec0]
0xfffffff008ca3934: 61d647f9  ldr	x1, [x19, #0xfa8]
0xfffffff008ca3938: 100040f9  ldr	x16, [x0]
0xfffffff008ca393c: f10300aa  mov	x17, x0
0xfffffff008ca3940: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca3944: 301ac1da  autda	x16, x17
0xfffffff008ca3948: f10310aa  mov	x17, x16
0xfffffff008ca394c: f147c1da  xpacd	x17
0xfffffff008ca3950: 1f0211eb  cmp	x16, x17
0xfffffff008ca3954: 40000054  b.eq	#0xfffffff008ca395c
0xfffffff008ca3958: 408e38d4  brk	#0xc472
0xfffffff008ca395c: 08c20a91  add	x8, x16, #0x2b0
0xfffffff008ca3960: 095a41f9  ldr	x9, [x16, #0x2b0]
0xfffffff008ca3964: f10308aa  mov	x17, x8
0xfffffff008ca3968: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff008ca396c: 31093fd7  blraa	x9, x17
